"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1957.4,522.4,511.7,533.2,964.4,566.7,550.3,583.5,993,496.4,482,511.1,610,157.5,151.8,163.4,301.4,184.6,175.1,194.4,308.6,139.2,132.1,146.7
"Oral cavity and pharynx",51.6,13.3,11.7,15.1,36.2,20.5,17.5,23.8,15.4,7.3,5.7,9.3,9.2,2.2,1.6,3,6.8,3.6,2.5,5.1,2.4,1,0.5,1.9
"Esophagus",18.4,4.7,3.8,5.8,13.8,8.1,6.3,10.3,4.6,2.1,1.3,3.2,14,3.7,2.9,4.7,11.8,7.3,5.5,9.5,2.2,0.9,0.5,1.8
"Stomach",26.4,7.2,6,8.6,16.6,10.2,8.1,12.7,9.8,5.1,3.7,6.8,12,3.3,2.5,4.3,6.6,4.3,2.9,6,5.4,2.6,1.7,3.8
"Colorectal",141,37.2,34.4,40.1,69.8,41.7,37.3,46.5,71.2,32.9,29.4,36.8,45.8,11.7,10.2,13.4,19,11.5,9.2,14.1,26.8,11.8,9.8,14.1
"Colon excluding rectum",104,27.2,24.9,29.8,46.8,28.4,24.8,32.4,57.2,26,23,29.4,35.8,9.2,7.9,10.8,14.8,9.1,7.1,11.5,21,9.3,7.5,11.4
"Rectum & rectosigmoid",37,10,8.5,11.6,23,13.3,10.9,16.1,14,6.9,5.3,8.8,10,2.5,1.8,3.3,4.2,2.4,1.4,3.7,5.8,2.5,1.6,3.7
"Liver / intrahepatic bile duct",38.2,9.7,8.3,11.2,29.6,16.4,13.8,19.4,8.6,4.2,3,5.8,24.6,6.4,5.3,7.7,17.2,9.6,7.6,11.9,7.4,3.7,2.5,5.2
"Pancreas",60.6,15.8,14,17.8,29.2,17.9,15,21.1,31.4,14.2,12,16.7,45.4,11.8,10.3,13.5,21.8,13.3,10.9,16.2,23.6,10.5,8.7,12.7
"Larynx",13.8,3.4,2.6,4.4,10.4,5.8,4.3,7.6,3.4,1.6,0.9,2.6,3.6,0.8,0.5,1.4,2.4,1.3,0.7,2.4,1.2,0.5,0.2,1.2
"Lung and bronchus",271.6,70.2,66.4,74.1,129.8,77.6,71.6,84,141.8,65.2,60.4,70.3,162.6,42.5,39.5,45.6,81.2,49.2,44.4,54.4,81.4,37.4,33.7,41.4
"Melanoma of the skin",79.4,22.3,20.1,24.7,47.6,29.7,25.9,33.9,31.8,17.3,14.6,20.3,8.6,2.1,1.5,2.9,4.8,2.7,1.7,4.2,3.8,1.6,1,2.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,287.4,151,142.9,159.4,NA,NA,NA,NA,NA,NA,NA,NA,43.8,20.5,17.7,23.5
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,10.6,6.5,4.8,8.6,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.3,0.7,2.3
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,65.8,31.5,28.1,35.3,NA,NA,NA,NA,NA,NA,NA,NA,11,5,3.7,6.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,18.6,9.1,7.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,15.6,7,5.5,8.9
"Prostate",NA,NA,NA,NA,232.4,125.7,118.3,133.4,NA,NA,NA,NA,NA,NA,NA,NA,28.8,18.6,15.6,22,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,11,7.6,5.7,10,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0,1.1,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",107.4,27.8,25.5,30.4,80,48.5,43.8,53.7,27.4,12.5,10.4,14.9,17.8,4.5,3.6,5.6,12.8,8.2,6.3,10.6,5,2.1,1.3,3.2
"Kidney and renal pelvis",75,20.4,18.3,22.7,47,28.2,24.5,32.2,28,13.8,11.5,16.4,13.4,3.5,2.7,4.4,8.8,5.4,3.9,7.3,4.6,2.1,1.3,3.2
"Brain and other central nervous system",21.8,6.1,5,7.4,11,6.6,4.9,8.7,10.8,5.6,4.2,7.5,15.2,3.9,3.1,5,9.4,5.4,4,7.3,5.8,2.8,1.8,4.1
"Thyroid",61.2,18.8,16.6,21.1,11.8,6.7,5,8.7,49.4,30.3,26.5,34.6,2,0.5,0.2,1,1,0.5,0.2,1.3,1,0.5,0.1,1.2
"Hodgkin lymphoma",9,2.8,2,3.8,5.2,3.4,2.2,5.1,3.8,2.2,1.3,3.6,0.4,0.1,0,0.4,0.2,0.1,0,0.8,0.2,0.1,0,0.7
"Non-Hodgkin lymphomas",87.8,23.6,21.4,26,46.6,28.8,25.1,32.8,41.2,19.8,17.1,22.9,22,5.7,4.7,7,11.8,7.7,5.9,10,10.2,4.4,3.2,5.9
"Myeloma",30.6,7.9,6.7,9.4,16.8,10.4,8.2,12.9,13.8,6.2,4.8,8,10.8,2.7,2,3.5,5.4,3.3,2.2,4.9,5.4,2.2,1.4,3.3
"Leukemias",58.8,16.2,14.4,18.3,32.8,19.9,16.8,23.3,26,13.3,11,15.9,19.2,4.8,3.9,5.9,10,6,4.4,8,9.2,4,2.9,5.5
