"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",6416.2,441.2,436.3,446.1,3099.6,505.2,497,513.4,3316.6,401.1,394.9,407.3,2264.6,158.1,155.2,161.1,1112.4,196.3,191,201.6,1152.2,134.9,131.4,138.5
"Oral cavity and pharynx",145.6,9.9,9.2,10.6,97.6,15.5,14.1,17,48,5.7,5,6.5,43.4,3,2.6,3.4,29.8,5,4.2,5.9,13.6,1.6,1.2,2
"Esophagus",50.6,3.5,3,3.9,35.8,6,5.1,6.9,14.8,1.7,1.4,2.2,43,3,2.6,3.4,29.8,5.1,4.3,6,13.2,1.6,1.2,2
"Stomach",141.8,10,9.2,10.8,75,12.9,11.6,14.3,66.8,8.1,7.2,9,66,4.7,4.2,5.3,39,6.9,6,8,27,3.3,2.8,3.9
"Colorectal",536,37.3,35.9,38.7,270.8,45,42.6,47.5,265.2,31.8,30.1,33.6,211.6,14.8,13.9,15.8,106,18.8,17.2,20.5,105.6,12.2,11.2,13.4
"Colon excluding rectum",377.8,26.4,25.2,27.6,185,31.2,29.2,33.3,192.8,23,21.6,24.5,171.8,12,11.2,12.8,81.8,14.5,13.1,16.1,90,10.4,9.5,11.5
"Rectum & rectosigmoid",158.2,10.9,10.1,11.7,85.8,13.8,12.5,15.2,72.4,8.8,7.9,9.7,39.8,2.8,2.5,3.3,24.2,4.3,3.5,5.1,15.6,1.8,1.4,2.3
"Liver / intrahepatic bile duct",237.4,15.7,14.8,16.6,166.8,25.7,24,27.6,70.6,8.1,7.3,9,147.4,9.9,9.2,10.7,102,16.4,15,17.9,45.4,5.2,4.5,5.9
"Pancreas",192,13.4,12.5,14.2,94.8,16,14.6,17.6,97.2,11.4,10.4,12.5,169.6,11.8,11,12.7,81.6,14.2,12.8,15.7,88,10.3,9.3,11.3
"Larynx",58.6,4,3.5,4.5,43,7,6.1,8,15.6,1.9,1.5,2.3,21.6,1.5,1.2,1.8,17,3,2.4,3.7,4.6,0.5,0.3,0.8
"Lung and bronchus",674,46.6,45,48.2,339.2,57.6,54.8,60.5,334.8,39.1,37.3,41.1,438.8,30.6,29.3,31.9,233.8,40.7,38.4,43.2,205,23.8,22.4,25.4
"Melanoma of the skin",59.2,4.3,3.8,4.8,30.8,5.6,4.7,6.5,28.4,3.4,2.9,4.1,11.8,0.8,0.6,1.1,6.8,1.2,0.8,1.7,5,0.6,0.4,0.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,931.8,114.2,110.9,117.5,NA,NA,NA,NA,NA,NA,NA,NA,190.2,22.5,21.1,24
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,75.8,9.8,8.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,26.6,3.3,2.7,3.9
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,262.4,31,29.3,32.7,NA,NA,NA,NA,NA,NA,NA,NA,74.4,8.7,7.8,9.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,86,10.5,9.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,54.6,6.5,5.7,7.3
"Prostate",NA,NA,NA,NA,925,144.8,140.5,149.1,NA,NA,NA,NA,NA,NA,NA,NA,139.4,27.4,25.3,29.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,24.2,3.6,2.9,4.3,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.4,0.2,0.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",192.4,13.5,12.7,14.4,131.6,23.4,21.6,25.3,60.8,7.1,6.4,8,51.6,3.7,3.3,4.2,31.8,6.2,5.2,7.2,19.8,2.2,1.8,2.7
"Kidney and renal pelvis",235.2,16.1,15.2,17,144.8,23.5,21.7,25.3,90.4,10.7,9.7,11.7,43.4,3,2.6,3.5,29.2,5.1,4.3,6,14.2,1.6,1.3,2.1
"Brain and other central nervous system",75,5.3,4.8,5.9,38.2,6.1,5.2,7,36.8,4.6,4,5.4,49.4,3.4,3,3.9,24.8,4.2,3.5,5,24.6,2.9,2.4,3.5
"Thyroid",227.4,16.1,15.1,17,40.4,6.4,5.6,7.4,187,24.1,22.6,25.7,10,0.7,0.5,0.9,3.8,0.7,0.4,1,6.2,0.7,0.5,1
"Hodgkin lymphoma",44.4,3.1,2.7,3.5,23.8,3.7,3.1,4.5,20.6,2.6,2.1,3.2,4.6,0.3,0.2,0.5,2.2,0.4,0.2,0.7,2.4,0.3,0.1,0.5
"Non-Hodgkin lymphomas",278.6,19.4,18.4,20.4,142.8,23.6,21.8,25.4,135.8,16.4,15.2,17.7,74.8,5.3,4.8,5.9,41.8,7.4,6.4,8.5,33,3.9,3.3,4.6
"Myeloma",167.4,11.5,10.7,12.3,86.8,14.3,12.9,15.7,80.6,9.6,8.7,10.6,52.4,3.6,3.2,4.1,28,4.8,4,5.7,24.4,2.8,2.3,3.4
"Leukemias",182.8,12.7,11.9,13.5,95.4,15.8,14.4,17.3,87.4,10.6,9.7,11.7,77,5.4,4.9,6,40.8,7.2,6.2,8.3,36.2,4.2,3.6,4.9
