"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1287.4,502.8,490,515.9,643.4,533.5,514.6,552.9,644,484.8,467,503.1,428.4,154.4,147.7,161.3,220.4,181.8,171,193.2,208,135.2,126.6,144.2
"Oral cavity and pharynx",35.4,13.9,11.8,16.2,27,23,19.1,27.5,8.4,6,4.3,8.4,8.4,3.1,2.2,4.3,6.4,5.2,3.6,7.5,2,1.3,0.6,2.6
"Esophagus",16.6,6.3,5,7.9,12,10,7.6,13.1,4.6,3.3,2,5,13.2,4.6,3.5,5.9,11,8.7,6.5,11.5,2.2,1.4,0.7,2.7
"Stomach",15.4,5.8,4.6,7.3,9.8,8.3,6.1,11.1,5.6,3.7,2.4,5.5,5.4,2.2,1.4,3.2,3.6,3.1,1.8,5,1.8,1.3,0.6,2.6
"Colorectal",92.6,35.5,32.2,39.1,49,41.6,36.4,47.4,43.6,30.2,26.1,34.9,34,12.4,10.5,14.5,17,14.5,11.5,18.1,17,10.5,8.2,13.2
"Colon excluding rectum",62.8,23.9,21.2,26.8,31.6,27.1,22.9,31.9,31.2,21.1,17.7,25,26.4,9.5,7.9,11.4,12.4,10.7,8.1,13.8,14,8.5,6.5,11
"Rectum & rectosigmoid",29.8,11.7,9.8,13.8,17.4,14.5,11.5,18.1,12.4,9.1,6.8,12,7.6,2.9,2,4.1,4.6,3.8,2.4,5.9,3,2,1.1,3.5
"Liver / intrahepatic bile duct",20.2,7.6,6.1,9.3,15.8,12.6,9.9,15.9,4.4,3.2,2,4.9,16.4,6,4.8,7.6,11,9,6.7,11.8,5.4,3.6,2.3,5.5
"Pancreas",43.4,15,13.1,17.2,21.8,17,13.9,20.6,21.6,13.1,10.7,16.1,34.8,12,10.3,14,17,13.5,10.7,16.8,17.8,10.6,8.4,13.2
"Larynx",7,2.7,1.8,3.8,4.8,3.7,2.3,5.6,2.2,1.8,0.8,3.4,1.8,0.7,0.3,1.5,1,0.7,0.2,1.9,0.8,0.7,0.2,2.1
"Lung and bronchus",170.8,63.6,59.3,68.2,87.2,71.6,64.9,78.9,83.6,57.6,52,63.7,111.8,40.4,37.1,44,57.2,46.7,41.3,52.5,54.6,36.1,31.8,40.9
"Melanoma of the skin",69.4,28.3,25.2,31.6,41.2,35.1,30.3,40.4,28.2,23.5,19.5,28.1,5.4,2.2,1.4,3.3,2.8,2.7,1.4,4.7,2.6,1.7,0.8,3.1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,185.2,145.6,135.7,156,NA,NA,NA,NA,NA,NA,NA,NA,24,16.5,13.4,20.1
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.5,5.1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.6,1.5,4.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,45.2,34.7,30,40,NA,NA,NA,NA,NA,NA,NA,NA,7.8,5.1,3.6,7.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,19.6,16.1,12.9,20,NA,NA,NA,NA,NA,NA,NA,NA,11.4,7.4,5.6,9.8
"Prostate",NA,NA,NA,NA,140,106.8,98.9,115.2,NA,NA,NA,NA,NA,NA,NA,NA,21.8,17.6,14.4,21.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,8.2,10,7.1,13.7,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,0.1,2.3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",62.4,22.8,20.3,25.6,48.8,39.9,35,45.4,13.6,9.8,7.5,12.7,13.2,4.4,3.3,5.7,9.2,7.5,5.4,10.1,4,2.5,1.5,4
"Kidney and renal pelvis",44.2,17.4,15.1,20,28.4,24.2,20.3,28.8,15.8,11.2,8.7,14.3,11,3.8,2.9,5.1,7,5.5,3.8,7.8,4,2.6,1.5,4.1
"Brain and other central nervous system",16.8,7.6,6,9.5,9,8.6,6.2,11.7,7.8,6.7,4.6,9.4,10.2,4.4,3.2,5.9,6.2,5.7,3.8,8.2,4,3.1,1.8,5.1
"Thyroid",36.4,18.5,15.7,21.6,10.2,10.4,7.6,13.9,26.2,26.4,21.8,31.7,1.8,0.6,0.3,1.2,0.8,0.5,0.1,1.6,1,0.6,0.2,1.7
"Hodgkin lymphoma",6,3.2,2.1,4.6,3.4,3.6,2,5.9,2.6,2.8,1.4,4.9,0.6,0.2,0,0.8,0,0,0,0.8,0.6,0.5,0.1,1.5
"Non-Hodgkin lymphomas",49.8,19.6,17.1,22.3,26.6,23.1,19.2,27.6,23.2,16.7,13.6,20.4,15.4,5.5,4.3,7,9.2,7.7,5.6,10.3,6.2,4.1,2.7,6.1
"Myeloma",20,7.7,6.2,9.4,11.4,9.3,7,12.2,8.6,6.2,4.4,8.5,8,2.8,2,3.8,4.6,3.7,2.3,5.6,3.4,2,1.2,3.4
"Leukemias",44.4,16.9,14.7,19.4,26,22.4,18.6,26.7,18.4,12.3,9.8,15.3,17.8,6.5,5.1,8.1,9.6,8.4,6.2,11.3,8.2,5,3.5,7.1
