"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",523,515.1,495,535.9,271.2,551.7,521.9,582.8,251.8,493.8,465.6,523.3,157,154.2,143.4,165.6,87.4,187.3,169.7,206.3,69.6,129.1,115.5,144
"Oral cavity and pharynx",12.4,12.2,9.2,15.8,8.4,17,12.1,23.3,4,7.5,4.5,12,2,2,0.9,3.8,1.2,2.4,0.8,5.5,0.8,1.3,0.4,3.9
"Esophagus",6,5.3,3.6,7.8,4.8,9.1,5.7,13.8,1.2,2,0.7,4.9,4.8,4.6,2.9,6.9,3.8,7.4,4.4,11.9,1,2.1,0.6,5.1
"Stomach",6.6,6.6,4.4,9.4,5,9.7,6.2,14.7,1.6,3.7,1.5,7.6,2.2,2,1,3.8,1.8,3.3,1.5,6.7,0.4,0.8,0.1,3.3
"Colorectal",37.8,39.1,33.6,45.4,20.6,44.9,36.5,54.8,17.2,33.9,26.8,42.5,11.4,11.2,8.5,14.6,7,15,10.4,21.1,4.4,7.8,4.8,12.2
"Colon excluding rectum",26.2,26.7,22.2,31.8,14.4,31.4,24.4,39.8,11.8,21.9,16.5,28.7,8.6,8.6,6.2,11.6,5.4,11.8,7.7,17.3,3.2,5.5,3.1,9.4
"Rectum & rectosigmoid",11.6,12.5,9.4,16.3,6.2,13.5,9.1,19.4,5.4,12,7.7,18,2.8,2.7,1.4,4.6,1.6,3.2,1.4,6.6,1.2,2.3,0.8,5.4
"Liver / intrahepatic bile duct",9,8.4,6.1,11.4,6,11.5,7.7,16.8,3,5.5,3,9.5,5,4.7,3,7.1,2.8,5.2,2.8,9.1,2.2,4.2,2,7.9
"Pancreas",13.8,13,10.1,16.6,6.6,12.9,8.8,18.4,7.2,13,9.1,18.3,10.2,9.6,7.1,12.8,4.8,9.6,6.1,14.6,5.4,9.4,6.2,14.1
"Larynx",3.8,3.2,1.9,5.1,3,5.2,2.9,8.9,0.8,1.2,0.3,3.7,0.8,0.7,0.2,2,0.8,1.4,0.4,4.1,0,0,0,2
"Lung and bronchus",102,97.8,89.3,106.9,51.8,106,93.2,120.2,50.2,91.9,80.6,104.5,47.8,46.4,40.6,52.8,26.4,55.1,45.9,65.7,21.4,39.1,31.9,47.7
"Melanoma of the skin",24.4,25,20.6,30,13.4,27.2,20.9,34.9,11,23.5,17.4,31.1,1.6,1.7,0.7,3.4,1.2,2.7,1,6.1,0.4,0.8,0.1,3.2
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,57.6,117.1,103.2,132.5,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15.3,10.7,21.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.8,5.2,2.3,10,NA,NA,NA,NA,NA,NA,NA,NA,1,2.9,0.9,6.9
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15,26,20.3,32.9,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.5,1,5.5
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.2,10.7,6.8,16.1,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5,2.7,8.7
"Prostate",NA,NA,NA,NA,49.6,92,80.7,104.7,NA,NA,NA,NA,NA,NA,NA,NA,7.8,17.5,12.3,24.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.8,6.8,3.7,11.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",24.8,23.8,19.7,28.5,20,41.9,33.9,51.4,4.8,8.1,5.1,12.3,4.6,4.5,2.8,6.8,3.8,8.4,5,13.3,0.8,1.3,0.4,3.9
"Kidney and renal pelvis",26.2,25.9,21.5,30.9,17,33.7,26.7,42,9.2,18.1,13,24.6,4.8,4.8,3.1,7.3,3.4,7.4,4.3,12.1,1.4,2.6,1,5.7
"Brain and other central nervous system",6,6.4,4.2,9.3,4,8.8,5.3,14,2,3.9,1.8,7.5,3.4,3.6,2,5.9,1.8,4.2,1.8,8.2,1.6,2.9,1.2,6.1
"Thyroid",14.8,16.8,13.1,21.3,4.6,9.5,5.9,14.5,10.2,25.2,18.4,33.6,0.6,0.7,0.1,2,0.2,0.5,0,2.8,0.4,0.9,0.1,3.4
"Hodgkin lymphoma",2.6,3.2,1.6,5.5,1.4,3.2,1.3,6.7,1.2,3.3,1.1,7.3,0,0,0,1,0,0,0,1.9,0,0,0,2
"Non-Hodgkin lymphomas",25.2,25.1,20.8,30.1,13.8,29,22.4,37,11.4,22.3,16.7,29.3,5.2,5.3,3.4,7.9,3.2,7.5,4.3,12.4,2,3.9,1.8,7.6
"Myeloma",11.8,12.2,9.2,15.9,6.8,13.6,9.3,19.3,5,11.2,7.1,16.9,4,4,2.4,6.4,2.6,6.2,3.3,10.8,1.4,2.5,1,5.5
"Leukemias",15.4,15.8,12.3,19.9,9.4,20.7,15.1,27.8,6,11.1,7.3,16.3,5.6,5.6,3.7,8.3,3.4,8,4.6,12.9,2.2,4.3,2,8.1
