"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",301.6,530.3,503.1,558.8,153.6,567.5,526.9,610.6,148,504.1,466.8,543.6,90.6,155.8,141.5,171.2,46.6,179.4,156.5,204.9,44,138.9,120.7,159.4
"Oral cavity and pharynx",8.4,14.2,10.1,19.5,5.8,20.1,13.3,29.5,2.6,8.6,4.5,15.3,0.6,1.1,0.2,3.4,0,0,0,3.5,0.6,2,0.4,6.5
"Esophagus",3.6,6.4,3.8,10.3,2.2,9,4.5,16.4,1.4,4.3,1.7,9.5,3.4,6.3,3.6,10.2,2.2,9,4.4,16.3,1.2,4.4,1.6,10
"Stomach",4.8,8.1,5.1,12.3,3.6,12.4,7.2,20.1,1.2,4.4,1.5,10.1,1.8,3,1.4,6,1.4,5.2,2,11.2,0.4,1.2,0.1,5.1
"Colorectal",22.8,39.9,32.8,48.3,10.2,40.1,29.6,53.2,12.6,39.5,30.1,51.2,8.4,14.5,10.3,19.9,4.4,17.3,10.6,26.8,4,11.4,6.9,18.2
"Colon excluding rectum",16.6,28.8,22.8,35.9,7.8,30.7,21.6,42.4,8.8,26.8,19.3,36.7,6.4,11.3,7.6,16.2,3.2,13.2,7.3,21.9,3.2,9.1,5.2,15.5
"Rectum & rectosigmoid",6.2,11.2,7.5,16.1,2.4,9.4,4.7,16.9,3.8,12.7,7.5,20.4,2,3.2,1.5,6.2,1.2,4.2,1.5,9.6,0.8,2.3,0.6,6.6
"Liver / intrahepatic bile duct",5,8.4,5.3,12.7,3.8,14.1,8.3,22.6,1.2,3.7,1.3,8.6,4,6.9,4.2,11,3.2,12.6,7.1,21,0.8,2.3,0.6,6.7
"Pancreas",8.4,15,10.7,20.5,4.2,15.6,9.5,24.4,4.2,14.7,8.9,23,5.4,9.6,6.3,14.1,2.8,10.4,5.6,17.9,2.6,8.8,4.6,15.5
"Larynx",1.6,2.5,1.1,5.3,1.2,3.9,1.4,9,0.4,1.2,0.1,5.1,0.6,1.1,0.2,3.4,0.4,1.8,0.2,6.7,0.2,0.5,0,4.1
"Lung and bronchus",49.6,84.8,74.4,96.3,24.6,92.5,76.5,111,25,78.9,65.5,94.5,27.4,45.7,38.3,54.3,14.8,53.4,41.7,67.6,12.6,39.8,30.4,51.4
"Melanoma of the skin",14.4,28.7,22.1,36.5,7.8,31.9,22.3,44.2,6.6,25.9,17.3,37.2,1.8,3,1.4,6,0.8,2.8,0.7,7.8,1,3.2,1,8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,38.8,133.7,114.7,155.1,NA,NA,NA,NA,NA,NA,NA,NA,5.2,16.7,10.6,25.3
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.4,7.9,3.1,15.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,13.8,48.9,37.4,62.8,NA,NA,NA,NA,NA,NA,NA,NA,1.4,4,1.6,8.9
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4,13.5,8.2,21.4,NA,NA,NA,NA,NA,NA,NA,NA,3.4,11.4,6.6,18.7
"Prostate",NA,NA,NA,NA,40.4,135.4,116.9,156.1,NA,NA,NA,NA,NA,NA,NA,NA,2,7.9,3.7,14.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,0.6,2.4,0.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.5,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",17.6,30.1,24,37.3,13.6,52.3,40.3,66.8,4,12.1,7.4,19.2,2.2,4.4,2.1,8.1,2,8.9,4.2,16.6,0.2,0.8,0,4.7
"Kidney and renal pelvis",8.8,15.9,11.4,21.7,5.2,20.2,13,30.2,3.6,11.7,6.8,19.2,1.4,2.8,1.1,5.9,0.6,2.4,0.5,7.5,0.8,3.2,0.8,8.7
"Brain and other central nervous system",3,5.6,3.1,9.5,1.2,4.8,1.7,10.9,1.8,6.4,2.8,12.7,1.2,2.1,0.8,4.9,0.4,1.7,0.2,6.4,0.8,2.6,0.7,7.2
"Thyroid",7.6,15.2,10.5,21.2,1.4,5.6,2.1,12.1,6.2,24.3,16,35.3,0,0,0,1.7,0,0,0,3.5,0,0,0,3.4
"Hodgkin lymphoma",1.2,2.4,0.8,5.5,1,4.5,1.4,10.7,0.2,0.4,0,3.9,0,0,0,1.7,0,0,0,3.5,0,0,0,3.4
"Non-Hodgkin lymphomas",8.8,15.3,11,20.8,5.2,18.2,11.7,27.2,3.6,12.3,7.1,20.1,1.8,2.9,1.3,5.7,0.8,3,0.8,8.2,1,2.8,0.9,7.3
"Myeloma",2.6,4.7,2.4,8.3,1.4,5.8,2.2,12.4,1.2,3.9,1.4,9.1,2.4,4.4,2.2,7.8,1.4,6,2.4,12.6,1,3.2,1,8.1
"Leukemias",9.4,16.6,12.1,22.3,6.4,25.1,17,35.9,3,9.1,5.1,15.6,4.2,7.4,4.5,11.5,2.8,12.3,6.6,20.8,1.4,4.7,1.8,10.2
