"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",6458.2,541.5,535.4,547.6,3225.6,597.3,587.9,606.9,3232.6,506.4,498.2,514.7,2109,168.6,165.3,172,1064.8,201.7,196.2,207.3,1044.2,146.3,142.2,150.5
"Oral cavity and pharynx",159.2,12.9,12,13.9,111.4,19.8,18.2,21.6,47.8,7.1,6.2,8.1,36,2.8,2.4,3.3,27.2,4.9,4.1,5.8,8.8,1.2,0.9,1.6
"Esophagus",73.8,5.9,5.3,6.5,56.4,10.1,9,11.4,17.4,2.5,2,3.1,62.6,5,4.4,5.6,50.2,9.1,8,10.4,12.4,1.7,1.3,2.2
"Stomach",97.6,8.2,7.5,9,61.2,11.7,10.4,13.1,36.4,5.5,4.7,6.4,36.2,2.9,2.5,3.4,24.2,4.7,3.9,5.6,12,1.6,1.2,2.1
"Colorectal",459,38.7,37.1,40.4,227.2,43.5,40.9,46.2,231.8,34.8,32.7,37,160,12.9,12,13.8,83.6,15.9,14.4,17.5,76.4,10.5,9.4,11.7
"Colon excluding rectum",316.8,26.5,25.2,27.9,146.8,28.1,26.1,30.3,170,25.3,23.5,27.2,123,9.8,9,10.7,62.8,12,10.6,13.4,60.2,8.2,7.2,9.2
"Rectum & rectosigmoid",142.2,12.2,11.2,13.1,80.4,15.4,13.8,17,61.8,9.5,8.4,10.7,37,3,2.6,3.5,20.8,3.9,3.2,4.8,16.2,2.3,1.8,2.9
"Liver / intrahepatic bile duct",107.8,8.4,7.7,9.2,81.4,14.1,12.7,15.6,26.4,3.8,3.1,4.5,74.8,5.8,5.2,6.5,54,9.5,8.3,10.7,20.8,3,2.4,3.6
"Pancreas",188,15.3,14.3,16.3,93,17.4,15.8,19.1,95,13.7,12.4,15,144.4,11.5,10.7,12.4,70.8,13.2,11.9,14.7,73.6,10.2,9.2,11.4
"Larynx",44,3.6,3.2,4.2,32.6,5.9,5,6.9,11.4,1.9,1.4,2.5,14,1.1,0.9,1.4,10.2,1.8,1.4,2.4,3.8,0.6,0.3,0.9
"Lung and bronchus",886.4,71.2,69.1,73.4,417.8,77.7,74.3,81.2,468.6,67.3,64.5,70.1,542.4,43.4,41.7,45.1,269.8,50.7,47.9,53.5,272.6,38.2,36.1,40.4
"Melanoma of the skin",335.8,29,27.6,30.5,197.4,37.3,34.9,39.8,138.4,23.2,21.4,25.1,25.8,2.1,1.7,2.5,14.4,2.8,2.2,3.6,11.4,1.6,1.2,2.1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,913,147.8,143.3,152.4,NA,NA,NA,NA,NA,NA,NA,NA,159.4,23,21.3,24.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,35.8,7.3,6.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,11.2,1.9,1.4,2.5
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,216.8,32.9,30.9,35,NA,NA,NA,NA,NA,NA,NA,NA,37.2,5.3,4.5,6.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,75.6,12.1,10.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,53.6,7.9,7,9
"Prostate",NA,NA,NA,NA,825.2,142.1,137.7,146.6,NA,NA,NA,NA,NA,NA,NA,NA,94.8,18.8,17.1,20.6,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,31.8,7.4,6.3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,1,0.2,0.1,0.5,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",353,28.5,27.1,29.9,247.2,46.7,44.1,49.5,105.8,15,13.7,16.4,65.8,5.1,4.5,5.7,43,8.3,7.2,9.6,22.8,2.9,2.4,3.5
"Kidney and renal pelvis",220.2,18.6,17.5,19.7,141,26.3,24.3,28.4,79.2,12.2,10.9,13.5,41.6,3.3,2.8,3.8,25.8,4.8,4,5.7,15.8,2.2,1.7,2.7
"Brain and other central nervous system",75,7.3,6.6,8.1,43.2,8.8,7.6,10.1,31.8,6,5.1,7.1,48.4,4.2,3.7,4.8,27.6,5.2,4.4,6.2,20.8,3.2,2.6,4
"Thyroid",172,17.7,16.5,19,42.8,8.8,7.6,10.1,129.2,26.3,24.2,28.5,4.4,0.3,0.2,0.5,1.6,0.3,0.1,0.7,2.8,0.3,0.2,0.6
"Hodgkin lymphoma",29.4,3.1,2.6,3.7,15.4,3.4,2.7,4.3,14,2.8,2.2,3.6,2.2,0.2,0.1,0.4,1.2,0.2,0.1,0.5,1,0.2,0,0.4
"Non-Hodgkin lymphomas",274.6,23.4,22.1,24.7,145.6,28,25.9,30.2,129,20,18.4,21.7,74,5.9,5.3,6.6,47.8,9.4,8.2,10.6,26.2,3.6,3,4.3
"Myeloma",91,7.6,6.9,8.3,47.6,9.2,8.1,10.5,43.4,6.4,5.6,7.4,44,3.5,3,4,23.6,4.6,3.8,5.5,20.4,2.8,2.3,3.5
"Leukemias",197.6,16.9,15.9,18.1,121.8,23.6,21.7,25.6,75.8,11.7,10.5,13.1,86,7,6.3,7.7,51,10,8.8,11.4,35,4.7,4,5.5
