"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",267.8,445.6,420.8,471.7,141.2,482,445.7,520.8,126.6,424.8,389.7,462.6,96.4,154.2,140.3,169.4,53.8,190.5,168,215.7,42.6,129.3,111.4,149.8
"Oral cavity and pharynx",6.4,9.9,6.7,14.5,4.4,14.1,8.7,22.3,2,5.5,2.6,11.6,0.8,1.4,0.4,4.2,0.8,2.9,0.8,8.5,0,0,0,4.7
"Esophagus",4.4,7.1,4.4,11.1,3.2,10.1,5.7,17.3,1.2,4,1.5,10,3.8,6.1,3.6,10,2.8,9.9,5.4,17.4,1,2.5,0.8,7.7
"Stomach",3.4,5.4,3.1,9.1,2.4,8,4.1,14.9,1,2.9,0.9,8.4,0.2,0.3,0,2.6,0,0,0,4.3,0.2,0.6,0,5.5
"Colorectal",22.6,39.2,31.9,47.8,11.4,43.2,32.3,57,11.2,36.8,27.1,49.3,9.2,15.8,11.4,21.6,5.4,20.5,13.4,30.6,3.8,12.4,6.9,21
"Colon excluding rectum",16.2,27.6,21.6,35,6.6,24.7,16.7,35.7,9.6,32.2,23.1,44.3,7.6,13,9,18.4,4,15.5,9.4,24.7,3.6,11.9,6.6,20.6
"Rectum & rectosigmoid",6.4,11.6,7.7,17,4.8,18.5,11.6,28.4,1.6,4.6,1.9,10.6,1.6,2.8,1.1,6,1.4,5,1.9,11.3,0.2,0.4,0,5.2
"Liver / intrahepatic bile duct",5.4,8.4,5.4,12.8,3.4,11,6.3,18.6,2,6.7,2.9,14.1,3.4,5.5,3.1,9.5,2.4,7.6,3.9,14.2,1,4,1.1,11
"Pancreas",7.2,12.1,8.3,17.4,4.2,14.6,8.8,23.4,3,9.8,5.4,17.4,6.2,10.5,7,15.4,3.4,12.3,6.9,20.7,2.8,8.6,4.7,15.7
"Larynx",2.2,4.4,2.1,8.4,1.6,6.8,2.8,14.3,0.6,1.9,0.4,7.3,0.8,1.6,0.4,4.9,0.6,2.4,0.4,8.3,0.2,0.7,0,5.7
"Lung and bronchus",43,66.9,58,77,20.8,68.9,56,84.5,22.2,67.1,54.8,81.9,25.8,40.4,33.6,48.4,13.2,46.3,35.6,59.6,12.6,37.5,28.7,49.1
"Melanoma of the skin",12.6,21.5,16.2,28.2,8.6,31,22.1,42.8,4,14.2,8.3,23.4,2,3.1,1.5,6.3,1.8,6.9,3.1,13.7,0.2,0.5,0,5.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,34,115.3,97.4,136,NA,NA,NA,NA,NA,NA,NA,NA,4.8,14.3,9,22.6
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.8,10.3,4.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,5.3
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,8.4,26.2,18.6,36.6,NA,NA,NA,NA,NA,NA,NA,NA,1.6,4.2,1.8,9.9
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.4,8.9,4.2,17,NA,NA,NA,NA,NA,NA,NA,NA,1.4,6.4,2.2,14.4
"Prostate",NA,NA,NA,NA,27,80.7,67.4,96.4,NA,NA,NA,NA,NA,NA,NA,NA,4.6,17.4,11,26.7,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1,5.7,1.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",17,27.3,21.6,34.4,14.6,51,39.7,65.1,2.4,6.2,3.2,12.4,2.8,4.3,2.3,7.8,1.8,6.8,3,13.7,1,2.2,0.7,7.3
"Kidney and renal pelvis",9.4,14.8,10.7,20.3,5.6,17.8,11.7,26.6,3.8,11.6,6.6,19.8,2.6,3.8,2,7.1,2,6.2,2.9,12.5,0.6,1.7,0.3,6.8
"Brain and other central nervous system",3.4,5.9,3.2,10.1,2,7.6,3.3,15.2,1.4,4,1.6,9.8,3.8,6.1,3.6,10.1,2.2,7.9,3.8,15,1.6,4.4,1.9,10.2
"Thyroid",5.6,13.5,8.7,20.1,1.2,5.8,1.9,13.5,4.4,22.2,13.4,34.9,0.2,0.3,0,2.6,0,0,0,4.3,0.2,0.6,0,5.5
"Hodgkin lymphoma",1.4,4.6,1.8,9.4,0.8,4.4,1.1,11.6,0.6,4.7,1,13.1,0.2,0.3,0,2.6,0.2,0.6,0,5.1,0,0,0,4.7
"Non-Hodgkin lymphomas",11.6,18.2,13.7,24.1,6.4,21.1,14.3,30.8,5.2,16.3,10.3,25.3,3,4.4,2.4,7.8,1.8,5.9,2.7,12.2,1.2,3.2,1.2,8.7
"Myeloma",3,4.9,2.7,8.7,1.8,6.2,2.8,12.7,1.2,4.2,1.4,10.6,2,3.2,1.5,6.6,0.6,2.1,0.4,7.3,1.4,4.4,1.6,10.6
"Leukemias",8.8,14.5,10.4,20.1,5.4,19.2,12.5,28.9,3.4,10.3,5.7,18.2,3.6,5.7,3.2,9.6,1.6,5.2,2.2,11.3,2,6.4,2.7,13.6
