"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",313.6,495,470.2,520.8,177.4,562.6,525.1,602.2,136.2,442.2,408.1,478.6,98.6,156.2,142.5,170.9,48.6,170.1,148.8,193.5,50,147.3,129.3,167.4
"Oral cavity and pharynx",5.6,8.6,5.6,12.6,4,11.9,7.2,18.9,1.6,5.2,2.2,10.8,0.6,1,0.2,3,0.4,1.3,0.1,5.2,0.2,0.5,0,4.1
"Esophagus",4.8,7.3,4.6,11.1,4.6,13.8,8.7,21.2,0.2,0.5,0,4.1,3,4.7,2.6,8,2.6,8.5,4.5,14.9,0.4,1.1,0.1,5
"Stomach",3,4.5,2.5,7.6,1.6,4.8,2,9.9,1.4,4.1,1.6,9.1,0.6,1,0.2,3.2,0.2,0.6,0,4,0.4,1.2,0.2,5.3
"Colorectal",28.2,45.5,38.1,54,13.8,44.2,34.1,56.4,14.4,46.2,35.8,59.1,10.2,16.6,12.3,21.9,4,13.4,8,21,6.2,18.6,12.6,26.9
"Colon excluding rectum",22.8,36.4,29.9,44,10.6,33.9,25.1,44.8,12.2,38,28.8,49.5,7.6,12.3,8.6,17,2.4,7.8,3.9,14,5.2,15.7,10.2,23.5
"Rectum & rectosigmoid",5.4,9.1,5.9,13.6,3.2,10.3,5.8,17.1,2.2,8.2,3.8,15.5,2.6,4.3,2.3,7.5,1.6,5.6,2.3,11.2,1,2.9,0.9,7.5
"Liver / intrahepatic bile duct",4,6.4,3.8,10.1,2.4,7.8,3.9,14,1.6,4.9,2.1,10.3,3,4.5,2.5,7.6,2.2,6.6,3.2,12.2,0.8,2.3,0.6,6.6
"Pancreas",9.4,14.4,10.5,19.3,4.6,16,10,24.3,4.8,14,8.9,21.5,7,10.6,7.3,14.9,3.4,11.6,6.6,18.9,3.6,10,5.9,16.5
"Larynx",3.4,4.8,2.7,7.9,2.6,7.2,3.8,12.8,0.8,2.2,0.6,6.5,1.4,2.1,0.8,4.6,1.2,3.7,1.3,8.5,0.2,0.5,0,4.1
"Lung and bronchus",52.8,82.3,72.5,93.2,27.6,88.2,73.7,104.8,25.2,78.6,65.1,94.4,30,47.1,39.7,55.5,14.6,49.8,38.7,63.1,15.4,47,36.9,59.4
"Melanoma of the skin",10.8,17.1,12.7,22.5,5.4,16.9,11,25,5.4,18.5,11.9,27.6,0.6,0.9,0.2,3,0.4,1.7,0.2,6,0.2,0.5,0,4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,32.4,106.2,89.7,125.1,NA,NA,NA,NA,NA,NA,NA,NA,5.2,15.6,10.1,23.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,5.5,2.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.3,0.1,5.3
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,9.8,31,22.6,41.8,NA,NA,NA,NA,NA,NA,NA,NA,1.4,4.1,1.6,9.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.2,7.6,3.5,14.4,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.9,1.5,8.7
"Prostate",NA,NA,NA,NA,50.8,150.6,132.2,171,NA,NA,NA,NA,NA,NA,NA,NA,3.8,14.8,8.8,23.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.4,4.3,1.7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.7,0,4,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",17,27.7,22,34.4,13,45.6,34.9,58.5,4,12.1,7.2,19.4,3.8,6,3.6,9.6,2.2,8.3,4.1,15.1,1.6,4.2,1.8,9.1
"Kidney and renal pelvis",10.6,16.5,12.2,21.8,6.8,19.8,13.6,28.2,3.8,12.3,7.2,20,2.2,3.6,1.8,6.7,1.4,5.1,2,10.7,0.8,2.2,0.6,6.5
"Brain and other central nervous system",3.8,7,4.1,11.1,1.8,6.3,2.8,12.3,2,7.4,3.4,14.2,2.8,4.6,2.5,8,1,3.5,1.1,8.4,1.8,5.8,2.6,11.6
"Thyroid",5,9.1,5.8,13.6,2.2,6.6,3.2,12.3,2.8,12.6,6.7,21.4,0.2,0.2,0,1.9,0.2,0.5,0,3.6,0,0,0,3.4
"Hodgkin lymphoma",1.6,3.4,1.4,6.7,1,3.6,1.1,8.7,0.6,3.3,0.7,9.2,0.4,0.6,0.1,2.4,0.4,1.1,0.1,4.6,0,0,0,3.4
"Non-Hodgkin lymphomas",12.4,20.4,15.6,26.4,8,28.1,19.8,38.6,4.4,14.3,8.8,22.3,2.6,4.6,2.4,7.9,1.8,7,3.2,13.4,0.8,2.5,0.7,7
"Myeloma",4.6,7.3,4.6,11.2,2.6,9,4.7,15.7,2,6,2.9,11.7,2.6,4,2.1,7,1.2,4,1.4,9,1.4,4.1,1.6,9.1
"Leukemias",11,18.8,14,24.6,7.8,28.2,19.9,38.9,3.2,10.9,6.1,18.2,3,5.1,2.8,8.5,2,8.6,4.1,15.6,1,2.5,0.8,6.8
