"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",402,541.8,517.5,567.1,204.2,585.3,548.8,623.7,197.8,514,480.8,549.1,123.6,159.2,146.5,172.7,65.8,188.7,168.4,211.1,57.8,136.8,120.9,154.6
"Oral cavity and pharynx",9.2,11.8,8.6,16,6.6,17.2,11.8,24.7,2.6,6.9,3.6,12.4,2,2.6,1.2,5,1.6,4.2,1.8,8.8,0.4,1.4,0.2,5.2
"Esophagus",7.6,10.3,7.1,14.4,6.6,18.5,12.5,26.6,1,2.8,0.8,7.3,6.2,8.3,5.6,12,5.6,15.6,10.2,23,0.6,2,0.4,6.4
"Stomach",4.2,5.4,3.3,8.5,3.2,9.1,5.1,15.2,1,2.4,0.8,6.3,0.6,0.8,0.2,2.6,0.4,1,0.1,4.3,0.2,0.6,0,3.9
"Colorectal",31.2,42,35.4,49.5,14.2,42.2,32.7,53.9,17,42.4,33.5,53.1,9.8,13.4,9.7,18,4,11.3,6.8,17.9,5.8,15.2,9.9,22.6
"Colon excluding rectum",22.2,30.5,24.9,37.1,9.4,29.7,21.6,40,12.8,31.9,24.3,41.5,7.6,10.5,7.3,14.7,2.6,7.7,4,13.7,5,12.9,8,19.8
"Rectum & rectosigmoid",9,11.4,8.3,15.6,4.8,12.5,7.8,19.2,4.2,10.5,6.4,16.5,2.2,2.9,1.4,5.4,1.4,3.5,1.4,7.9,0.8,2.3,0.6,6.5
"Liver / intrahepatic bile duct",4.6,5.8,3.6,9,2.8,7.6,4,13.3,1.8,4.1,1.7,8.7,2.6,3.2,1.7,5.7,1,3,1,7.4,1.6,3.2,1.4,7.2
"Pancreas",13.6,17.6,13.6,22.6,7.4,19.3,13.5,27.2,6.2,16.1,10.7,23.4,11,14,10.5,18.5,6,16.4,10.9,23.9,5,12.1,7.8,18.4
"Larynx",2.6,3.5,1.8,6.2,2.4,6.9,3.5,12.4,0.2,0.5,0,3.6,0.8,1,0.3,2.8,0.6,1.4,0.3,5,0.2,0.5,0,3.6
"Lung and bronchus",65.4,84.6,75.5,94.7,32.8,90.5,76.8,106.1,32.6,80.8,68.5,94.9,36.4,46.8,40.2,54.4,19.2,54.6,43.9,67.2,17.2,41.3,32.8,51.6
"Melanoma of the skin",15.6,23.5,18.4,29.8,9.6,29.6,21.7,39.7,6,20.2,13.2,29.5,1,1.2,0.4,3.2,0.8,2.5,0.7,6.8,0.2,0.3,0,3.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,48.8,126.3,110.2,144.4,NA,NA,NA,NA,NA,NA,NA,NA,6,13.9,9.2,20.5
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,7.9,4.1,14,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,0.5,5.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,13.6,34.7,26.7,44.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,3.4,1.2,7.9
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5,12.6,8,19.3,NA,NA,NA,NA,NA,NA,NA,NA,2,4.1,1.9,8.4
"Prostate",NA,NA,NA,NA,45.2,118.9,103.6,136.2,NA,NA,NA,NA,NA,NA,NA,NA,4.2,13.4,8.3,20.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,7.6,3.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3.6,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",27,35.6,29.7,42.4,19.6,58.9,47.6,72.3,7.4,17.7,12.3,25,3.4,4.1,2.3,6.8,3,9,5,15.2,0.4,0.9,0.1,4.2
"Kidney and renal pelvis",14.2,20.1,15.5,25.6,8.6,25.8,18.4,35.3,5.6,14.6,9.5,21.7,2.6,3.4,1.7,6.1,1.4,4.1,1.6,9.1,1.2,2.7,1,6.5
"Brain and other central nervous system",5,7.4,4.7,11.3,2.6,8.4,4.3,14.9,2.4,6.2,3.1,11.5,1.8,2,0.9,4.1,1,2.1,0.7,5.7,0.8,1.9,0.5,5.6
"Thyroid",7.8,13.4,9.3,18.7,2,6.4,2.9,12.3,5.8,20.6,13.4,30.2,0,0,0,1.4,0,0,0,2.9,0,0,0,2.9
"Hodgkin lymphoma",2,3.5,1.6,6.6,0.8,2.5,0.6,6.9,1.2,4.5,1.6,10.1,0.2,0.3,0,1.9,0,0,0,2.9,0.2,0.5,0,3.7
"Non-Hodgkin lymphomas",14.6,20.3,15.8,25.9,7.2,21.9,15.1,30.9,7.4,18,12.5,25.4,3.6,5.1,2.9,8.3,2.4,7.9,3.9,14.1,1.2,2.6,0.9,6.4
"Myeloma",6.8,9.3,6.4,13.2,4,11.8,7.1,18.7,2.8,6.8,3.6,12,1.4,1.7,0.7,3.9,0.6,1.8,0.4,5.8,0.8,1.5,0.4,5
"Leukemias",12.2,16.7,12.6,21.8,6.8,19.9,13.6,28.3,5.4,14.5,9.2,22,3.6,4.5,2.6,7.4,1.6,5,2.1,10.3,2,4.3,2,8.6
