"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",456,519.1,497,542,240.4,568.3,535.4,602.9,215.6,478.8,448.9,510.3,146.2,160.1,148.3,172.6,79.6,194,174.9,214.8,66.6,132.5,118.1,148.5
"Oral cavity and pharynx",12.6,14,10.7,18.2,7.4,16.9,11.8,23.8,5.2,12,7.7,18.2,2.4,2.6,1.3,4.9,1.8,4.6,2,9.1,0.6,1.2,0.3,4.3
"Esophagus",4.8,4.7,3,7.3,4,8.7,5.2,13.8,0.8,1.3,0.3,4.2,6.6,6.8,4.7,9.8,5.8,13.2,8.8,19.3,0.8,1.3,0.4,4.3
"Stomach",8.2,8.7,6.2,12,6,13.9,9.3,20.3,2.2,4,2,7.8,2.4,2.4,1.2,4.4,1.4,3.4,1.3,7.4,1,1.7,0.5,4.8
"Colorectal",38,44.2,37.8,51.3,19,48.5,38.8,60.1,19,38.8,31.2,48,13,15.4,11.7,19.9,7.8,21.1,14.8,29.3,5.2,10.2,6.5,15.4
"Colon excluding rectum",26.8,31,25.8,37.1,11.4,30.1,22.4,39.6,15.4,30.7,24.1,39,9.8,11.2,8.2,15,5.8,14.8,9.8,21.7,4,8,4.8,12.8
"Rectum & rectosigmoid",11.2,13.1,9.8,17.4,7.6,18.5,12.8,26,3.6,8.1,4.7,13.3,3.2,4.2,2.3,7.1,2,6.3,3,11.8,1.2,2.2,0.8,5.5
"Liver / intrahepatic bile duct",7.2,7,4.9,9.9,6.2,13.4,9.1,19.5,1,1.8,0.6,4.9,3.8,3.9,2.3,6.3,3.4,7.7,4.4,12.8,0.4,0.7,0.1,3.4
"Pancreas",14.8,16.2,12.6,20.6,7.4,17.1,11.9,24.1,7.4,14.9,10.3,21.2,11,11.6,8.7,15.4,5,11.3,7.2,17.1,6,11.5,7.6,17
"Larynx",2.4,2.9,1.4,5.5,1.6,4.1,1.7,8.6,0.8,2,0.4,5.8,0.6,0.6,0.1,2.1,0.4,0.7,0.1,3.5,0.2,0.4,0,3.1
"Lung and bronchus",69.6,76.5,68.5,85.3,34.4,81.9,69.7,95.7,35.2,71.2,60.9,83.1,40.2,43.9,37.9,50.7,21.4,51.1,41.6,62.2,18.8,38,30.4,47.1
"Melanoma of the skin",16.8,21.3,16.7,26.7,9.2,24.2,17.5,32.7,7.6,19.8,13.5,28,2.4,3.1,1.5,5.7,1.8,4.9,2.1,9.7,0.6,1.8,0.3,5.6
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,54.6,121.6,106.9,138,NA,NA,NA,NA,NA,NA,NA,NA,8.2,16.9,11.9,23.5
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,9,4.7,15.6,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,0.1,4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15.2,33.1,25.7,42.2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6,3.4,10.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.6,11.5,7.4,17.2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.6,3.6,11.5
"Prostate",NA,NA,NA,NA,63.6,134.9,120.1,151.2,NA,NA,NA,NA,NA,NA,NA,NA,7.2,17.8,12.4,24.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2,6.9,3.2,12.9,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.6,0.3,5.1,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",25.6,27.9,23.1,33.5,19.8,47.7,38.4,58.6,5.8,11.9,7.9,17.6,3,3.3,1.8,5.7,2.2,5.6,2.8,10.4,0.8,1.6,0.4,4.7
"Kidney and renal pelvis",16.4,19.9,15.6,25.1,10.6,27.5,20.3,36.5,5.8,13.2,8.6,19.6,2,2.4,1.1,4.6,1.2,3.3,1.2,7.5,0.8,1.5,0.4,4.6
"Brain and other central nervous system",7,9.3,6.3,13.3,3.6,9.6,5.6,15.6,3.4,9.3,5.1,15.5,5,5.5,3.5,8.3,2.4,5.9,3,10.7,2.6,5,2.6,9.1
"Thyroid",10.8,16.9,12.4,22.4,2.2,5.7,2.7,10.8,8.6,28.2,19.9,38.6,1,1.2,0.4,3,0.6,1.5,0.3,4.8,0.4,0.9,0.1,3.9
"Hodgkin lymphoma",2.2,3,1.4,5.7,1.2,3,1.1,7.1,1,3,0.8,7.4,0.6,0.8,0.2,2.6,0.4,1.1,0.1,4.4,0.2,0.4,0,3.1
"Non-Hodgkin lymphomas",17.4,19.7,15.6,24.6,10,24,17.6,32.2,7.4,15.6,10.7,22.1,4.6,5.2,3.3,8.1,2,4.9,2.3,9.4,2.6,5.3,2.7,9.6
"Myeloma",4.4,5.3,3.2,8.2,2.4,6.1,3.1,11,2,4.9,2.2,9.5,1.2,1.4,0.5,3.2,0.6,1.4,0.3,4.5,0.6,1.4,0.3,4.7
"Leukemias",16.2,18.6,14.6,23.4,9.6,23.9,17.3,32.3,6.6,13.9,9.4,20.1,6.8,7.4,5.1,10.6,4.4,11,6.8,17,2.4,4.5,2.2,8.7
