"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",12082.6,441.7,438.1,445.3,5758.6,487.8,482,493.6,6324,414.4,409.8,419.1,3543.2,129.5,127.5,131.4,1707.8,152.9,149.7,156.3,1835.4,114.5,112.1,116.9
"Oral cavity and pharynx",256,9.4,8.9,9.9,167,14,13,15,89,5.8,5.3,6.4,52.2,1.9,1.7,2.2,37.2,3.2,2.8,3.7,15,0.9,0.7,1.2
"Esophagus",88.2,3.2,2.9,3.5,62.8,5.4,4.8,6.1,25.4,1.6,1.3,1.9,58,2.1,1.9,2.4,43.2,3.8,3.3,4.4,14.8,0.9,0.7,1.2
"Stomach",309,11.4,10.8,12,179.2,15.6,14.6,16.7,129.8,8.3,7.6,8.9,143,5.3,5,5.8,82.8,7.5,6.8,8.3,60.2,3.8,3.3,4.2
"Colorectal",1076.8,39.5,38.4,40.6,541,46.8,45,48.6,535.8,34.3,33,35.6,352.4,12.8,12.2,13.4,169,15.1,14.1,16.2,183.4,11.1,10.4,11.9
"Colon excluding rectum",754.6,27.6,26.7,28.5,364.2,31.6,30.2,33.2,390.4,24.9,23.8,26,294,10.6,10.1,11.2,139,12.4,11.5,13.4,155,9.4,8.7,10
"Rectum & rectosigmoid",322.2,11.9,11.3,12.5,176.8,15.1,14.1,16.2,145.4,9.4,8.7,10.1,58.4,2.1,1.9,2.4,30,2.7,2.2,3.1,28.4,1.8,1.5,2.1
"Liver / intrahepatic bile duct",287.4,10.2,9.7,10.7,204.8,16.6,15.6,17.7,82.6,5.2,4.7,5.7,175.2,6.3,5.9,6.7,118,9.8,9,10.7,57.2,3.6,3.2,4
"Pancreas",378.2,13.7,13.1,14.4,177.4,15.2,14.2,16.3,200.8,12.5,11.8,13.4,275.6,10,9.5,10.6,130,11.4,10.5,12.3,145.6,9,8.3,9.7
"Larynx",75.6,2.7,2.4,3,60.6,5.1,4.5,5.7,15,0.9,0.7,1.2,22.6,0.8,0.7,1,18.8,1.6,1.3,2,3.8,0.2,0.1,0.4
"Lung and bronchus",1245.4,45.5,44.3,46.6,669.4,58.7,56.6,60.7,576,36.4,35,37.8,682,25,24.1,25.9,383.8,34.4,32.9,36,298.2,18.5,17.6,19.5
"Melanoma of the skin",228.6,8.5,8,9,118,10.4,9.5,11.3,110.6,7.2,6.6,7.9,20,0.7,0.6,0.9,12.4,1.1,0.8,1.4,7.6,0.5,0.3,0.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1791.4,120.5,118,123.1,NA,NA,NA,NA,NA,NA,NA,NA,316.6,20.2,19.2,21.3
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,140.6,9.8,9.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,41.2,2.7,2.4,3.2
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,528.4,33.7,32.4,35,NA,NA,NA,NA,NA,NA,NA,NA,124.2,7.7,7.1,8.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,176.6,11.6,10.8,12.4,NA,NA,NA,NA,NA,NA,NA,NA,106.2,6.7,6.1,7.3
"Prostate",NA,NA,NA,NA,1551.8,126.3,123.5,129.2,NA,NA,NA,NA,NA,NA,NA,NA,209.4,19.8,18.6,21,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,64.2,4.9,4.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.1,0.1,0.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",433.2,15.9,15.3,16.6,329.8,29.7,28.3,31.2,103.4,6.6,6,7.2,90.4,3.3,3,3.6,60.8,5.8,5.1,6.5,29.6,1.7,1.5,2.1
"Kidney and renal pelvis",402.4,14.6,14,15.3,257.2,21.4,20.2,22.6,145.2,9.4,8.7,10.1,61.4,2.2,2,2.5,41.4,3.6,3.2,4.2,20,1.2,1,1.5
"Brain and other central nervous system",159.2,5.9,5.5,6.3,86.4,7.1,6.4,7.8,72.8,5,4.5,5.5,77.8,2.9,2.6,3.2,43.6,3.7,3.2,4.2,34.2,2.3,1.9,2.6
"Thyroid",575.6,21.5,20.7,22.4,133.2,10.9,10.1,11.8,442.4,30.8,29.5,32.2,14.8,0.5,0.4,0.7,4.4,0.4,0.2,0.6,10.4,0.6,0.5,0.8
"Hodgkin lymphoma",84.8,3.2,2.9,3.5,43.8,3.5,3.1,4,41,2.9,2.5,3.3,7,0.3,0.2,0.4,3.4,0.3,0.2,0.5,3.6,0.2,0.1,0.4
"Non-Hodgkin lymphomas",512.8,18.9,18.2,19.7,272,23.1,21.9,24.4,240.8,15.7,14.8,16.6,102.8,3.8,3.5,4.1,50.4,4.6,4,5.2,52.4,3.3,2.9,3.7
"Myeloma",259,9.5,9,10,129,11.2,10.3,12.1,130,8.3,7.6,8.9,79.6,2.9,2.6,3.2,38.4,3.5,3,4,41.2,2.5,2.2,2.9
"Leukemias",364.8,13.6,12.9,14.2,194.4,16.8,15.7,17.9,170.4,11.2,10.4,12,125.2,4.6,4.3,5,63.2,5.7,5.1,6.4,62,3.9,3.5,4.4
