"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",409.8,497.1,475,520.1,224.4,567.1,533.2,602.7,185.4,442.1,412.6,473.3,140.2,168.6,156.1,182.1,72.8,191.8,172.1,213.3,67.4,151.1,134.7,169
"Oral cavity and pharynx",9.6,12.7,9.2,17.2,6.6,17.7,11.9,25.4,3,7.5,4.1,13,2.2,2.7,1.4,5.1,1.4,3.6,1.4,7.8,0.8,1.8,0.5,5.3
"Esophagus",6.2,6.9,4.6,10,4.6,11.3,7.1,17.4,1.6,3.6,1.5,7.7,4,4.3,2.6,6.8,2.6,6.3,3.3,11.3,1.4,2.8,1.1,6.4
"Stomach",6,7.4,4.9,10.9,3.8,9.9,5.9,16,2.2,5.6,2.7,10.6,3.2,4,2.2,6.6,1.8,4.9,2.2,9.6,1.4,3.2,1.3,7.2
"Colorectal",31.8,39,33,45.9,18.4,47,37.6,58.2,13.4,32.2,24.7,41.6,11.8,15,11.3,19.7,6.2,17,11.4,24.5,5.6,13.7,8.7,20.6
"Colon excluding rectum",21.2,26.6,21.6,32.5,11.8,30.8,23.2,40.1,9.4,23.3,16.8,31.7,10,12.5,9.2,16.8,5.2,14.7,9.4,21.8,4.8,10.9,6.8,16.8
"Rectum & rectosigmoid",10.6,12.4,9.2,16.5,6.6,16.3,11,23.4,4,8.9,5.4,14.2,1.8,2.5,1.1,5,1,2.3,0.7,5.9,0.8,2.8,0.6,7.6
"Liver / intrahepatic bile duct",6.6,7.3,5,10.5,4.6,11,6.9,16.9,2,4.3,2.1,8.6,6,7.2,4.8,10.5,3.8,9.7,5.7,15.5,2.2,5,2.4,9.4
"Pancreas",10,11.9,8.8,15.9,5.4,14,9.1,20.8,4.6,9.9,6.2,15.5,9,10.6,7.7,14.4,4.6,12,7.5,18.3,4.4,9.1,5.6,14.3
"Larynx",1.6,1.8,0.8,3.8,0.6,1.4,0.3,4.7,1,2.3,0.7,5.9,1.2,1.5,0.5,3.5,0.8,2,0.5,5.6,0.4,1,0.1,4.2
"Lung and bronchus",60.2,70.2,62.3,78.9,30.8,76.9,64.9,90.6,29.4,64.9,54.7,76.8,41.8,49.3,42.7,56.7,22.8,57.9,47.5,70.1,19,41.9,33.8,51.8
"Melanoma of the skin",21.8,27.9,22.6,34,15,40.4,31.5,51.2,6.8,17.2,11.5,24.9,1.6,2,0.8,4.3,0.8,2.5,0.6,6.7,0.8,1.6,0.4,4.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,56,135.3,119.1,153.3,NA,NA,NA,NA,NA,NA,NA,NA,8.4,18.5,13.1,25.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1,4.3,1.3,9.9,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2.7,0.7,7.2
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,14.8,35.1,27.2,44.8,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.1,1.8,8.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.4,12.5,8.1,18.7,NA,NA,NA,NA,NA,NA,NA,NA,3.8,7.8,4.7,12.8
"Prostate",NA,NA,NA,NA,59,134.6,119.3,151.5,NA,NA,NA,NA,NA,NA,NA,NA,5.6,14.8,9.7,21.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,4.9,2.1,9.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.6,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",19,22.9,18.4,28.2,15.6,40.9,32.1,51.5,3.4,7.1,4.1,12,4.4,5.3,3.3,8.2,3.6,9.7,5.7,15.6,0.8,2.1,0.5,5.8
"Kidney and renal pelvis",16.8,20.9,16.5,26.2,12.4,31.7,24.1,41.1,4.4,11.3,6.8,17.8,2.2,3.2,1.5,5.9,1.4,4.4,1.7,9.2,0.8,2.2,0.5,6.4
"Brain and other central nervous system",7.2,10.2,7,14.4,4.2,12.4,7.5,19.3,3,7.8,4.2,13.4,4.4,5.6,3.4,8.7,1.8,4.6,2.1,9.2,2.6,6.4,3.3,11.6
"Thyroid",7,10.1,6.8,14.4,3,8.5,4.6,14.5,4,12.2,7.1,19.6,0.2,0.2,0,1.6,0,0,0,2.6,0.2,0.4,0,3.2
"Hodgkin lymphoma",1.6,2.4,1,5,1.2,3.6,1.2,8.2,0.4,1.4,0.2,5.2,0.2,0.2,0,1.6,0.2,0.4,0,3.1,0,0,0,2.7
"Non-Hodgkin lymphomas",15.4,18.6,14.6,23.5,8.6,22.3,15.9,30.4,6.8,15.9,10.8,22.7,4.6,5.3,3.3,8.1,3,8.5,4.7,14.3,1.6,3.2,1.4,6.9
"Myeloma",4.6,5.9,3.6,9.1,2.8,8,4.3,13.7,1.8,4.4,1.9,9.1,1.2,1.4,0.5,3.3,0.6,1.5,0.3,4.9,0.6,1.3,0.3,4.6
"Leukemias",12.6,15.3,11.6,19.8,6.4,17.1,11.5,24.6,6.2,13.2,8.8,19.5,5.2,6.5,4.2,9.7,2,5.5,2.6,10.5,3.2,7.5,4.1,12.8
