"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",348.6,529.3,503.7,555.8,177.2,580.2,541.3,621.3,171.4,491.3,457.3,527.4,113.2,164.8,151.1,179.7,57.2,191.9,169.7,216.3,56,145.4,127.9,164.8
"Oral cavity and pharynx",8.6,13.4,9.5,18.4,6.2,20.9,13.9,30.3,2.4,6.6,3.2,12.3,2.8,4.4,2.3,7.6,2,7,3.3,13.2,0.8,2.1,0.5,6.1
"Esophagus",4,5.7,3.5,9.1,3.6,10.7,6.3,17.4,0.4,1.4,0.2,5.4,2.8,5.1,2.7,8.7,2,7.3,3.4,13.7,0.8,3.3,0.8,8.5
"Stomach",3.8,6.1,3.6,9.8,1.8,5.7,2.5,11.4,2,6.5,3,12.5,1,1.5,0.5,3.7,0.4,1.1,0.1,4.7,0.6,1.8,0.3,5.8
"Colorectal",31,49.9,42.1,58.9,15.8,55.3,43.4,69.5,15.2,46,35.6,58.5,8.6,12.3,8.8,17,3.8,13.3,7.9,21.1,4.8,11.9,7.3,18.6
"Colon excluding rectum",22.8,35.5,29.1,43,11.6,40.5,30.5,52.9,11.2,31.7,23.5,42.1,7,9.6,6.6,13.7,2.6,8.8,4.6,15.4,4.4,10.6,6.4,17
"Rectum & rectosigmoid",8.2,14.4,10.2,19.8,4.2,14.8,8.9,23.2,4,14.3,8.5,22.6,1.6,2.7,1.1,5.5,1.2,4.4,1.6,10,0.4,1.2,0.1,5
"Liver / intrahepatic bile duct",5,6.3,4,9.5,3,7.5,4.2,13,2,4.9,2.3,9.7,2.6,3.5,1.8,6.2,1.2,3.5,1.2,8.2,1.4,3.3,1.3,7.7
"Pancreas",13.8,19,14.7,24.4,6.6,20.4,13.9,29.2,7.2,17.7,12.2,25.4,10.4,14.8,11,19.7,4.8,16.3,10.3,24.6,5.6,13.4,8.8,20
"Larynx",1.2,1.9,0.7,4.4,0.4,1.3,0.2,5.2,0.8,2.3,0.6,6.5,0.6,0.9,0.2,3,0.4,1.5,0.2,5.7,0.2,0.3,0,3.4
"Lung and bronchus",56,80,70.6,90.3,28.4,88.9,74.5,105.4,27.6,73.7,61.5,87.8,31.6,44.6,37.7,52.5,17,52.7,41.9,65.7,14.6,38.5,29.9,49.1
"Melanoma of the skin",10.4,16.3,12,21.8,6.2,20.9,13.9,30.4,4.2,12.7,7.6,20.2,1.6,3,1.2,6.2,1,4.2,1.3,10.1,0.6,2.1,0.4,6.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,44,129.2,112,148.5,NA,NA,NA,NA,NA,NA,NA,NA,5.6,14.6,9.4,21.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.2,5.1,1.8,11.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.2,0.4,6.9
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,9.2,24.5,17.7,33.4,NA,NA,NA,NA,NA,NA,NA,NA,2.2,5.5,2.7,10.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.8,8.3,4.3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,2.4,6.2,3.2,11.5
"Prostate",NA,NA,NA,NA,37.4,111.3,95.5,129.3,NA,NA,NA,NA,NA,NA,NA,NA,5,16.4,10.5,24.7,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,8,3.6,15.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.1,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",19,27.3,22,33.7,13,42.5,32.5,54.7,6,15.6,10.3,23,4,5.6,3.4,9,3,10.6,5.9,17.8,1,2.5,0.8,6.6
"Kidney and renal pelvis",15.6,25.2,19.7,31.9,9.2,31.7,22.9,42.8,6.4,20.1,13.4,29,2,2.6,1.2,5,1.4,4.5,1.7,9.7,0.6,1.2,0.2,4.7
"Brain and other central nervous system",4.4,7.9,4.9,12.2,3.2,11.6,6.5,19.3,1.2,4.4,1.5,9.9,3.4,6.3,3.6,10.3,1.8,7.3,3.3,14.1,1.6,5.5,2.2,11.3
"Thyroid",7.8,14.2,9.9,19.7,2,6.9,3.1,13.3,5.8,21.4,14.1,31.3,0.8,1.2,0.3,3.3,0.4,1.5,0.2,5.8,0.4,0.9,0.1,4.3
"Hodgkin lymphoma",1.2,2.2,0.8,4.9,0.6,2.4,0.5,7.2,0.6,2,0.4,6.2,0.2,0.4,0,2.2,0.2,0.9,0,4.8,0,0,0,3
"Non-Hodgkin lymphomas",13,20.5,15.6,26.5,6.6,23.6,15.9,33.6,6.4,17.9,12.1,25.9,3.4,5,2.9,8.3,1.8,6.3,2.8,12.2,1.6,3.9,1.6,8.5
"Myeloma",7.4,11.8,8.2,16.5,4,15.1,9.1,23.6,3.4,8.8,5,14.8,1.8,2.6,1.1,5.2,0.8,2.9,0.8,7.8,1,2.1,0.6,5.9
"Leukemias",15.4,24.2,18.9,30.7,9.6,34.1,24.9,45.8,5.8,14.7,9.6,22,4.8,7,4.4,10.7,2.2,7.8,3.8,14.2,2.6,5.9,3,10.9
