"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",8641.2,449.2,444.9,453.6,4126,486.1,479.3,492.8,4515.2,430.1,424.4,436,2772.8,140,137.6,142.3,1351.4,163.1,159.2,167.1,1421.4,124.8,121.8,127.8
"Oral cavity and pharynx",222.8,11.5,10.8,12.2,147.2,17.2,15.9,18.5,75.6,7,6.3,7.8,45.8,2.3,2,2.6,31.4,3.7,3.1,4.3,14.4,1.2,1,1.6
"Esophagus",66.8,3.4,3,3.7,44.2,5.2,4.5,5.9,22.6,2,1.6,2.4,54.6,2.7,2.4,3.1,37.4,4.5,3.8,5.2,17.2,1.4,1.2,1.8
"Stomach",148.8,7.7,7.1,8.3,85,10.2,9.2,11.2,63.8,5.8,5.2,6.5,79.6,4,3.7,4.5,48.6,5.8,5.1,6.6,31,2.7,2.3,3.2
"Colorectal",648,33.8,32.6,35,337.4,40.3,38.4,42.4,310.6,28.7,27.2,30.2,234.6,11.9,11.2,12.6,114.8,13.9,12.8,15.1,119.8,10.3,9.5,11.2
"Colon excluding rectum",449.6,23.3,22.3,24.3,223.4,27,25.4,28.6,226.2,20.6,19.4,21.9,178.8,9,8.4,9.6,84.2,10.2,9.2,11.2,94.6,8.1,7.4,8.9
"Rectum & rectosigmoid",198.4,10.5,9.8,11.2,114,13.4,12.3,14.5,84.4,8.1,7.3,9,55.8,2.9,2.6,3.3,30.6,3.7,3.2,4.4,25.2,2.2,1.8,2.6
"Liver / intrahepatic bile duct",212.2,10.6,10,11.3,142.4,16.2,15,17.4,69.8,6,5.4,6.7,141,7.1,6.5,7.6,95,11,10,12.1,46,3.9,3.4,4.5
"Pancreas",265.8,13.4,12.7,14.2,133.4,15.9,14.7,17.2,132.4,11.5,10.6,12.4,237.8,11.9,11.2,12.6,116.2,13.9,12.8,15.1,121.6,10.3,9.5,11.2
"Larynx",49.2,2.5,2.2,2.8,38.2,4.4,3.8,5.1,11,1,0.8,1.3,18.4,0.9,0.7,1.1,15.2,1.8,1.4,2.2,3.2,0.3,0.1,0.5
"Lung and bronchus",905.2,45.6,44.3,47,407,48.4,46.3,50.6,498.2,43.8,42.1,45.6,521.6,26,25,27,252.2,30.3,28.6,32,269.4,23,21.8,24.3
"Melanoma of the skin",338.8,17.4,16.6,18.3,197.2,23.4,22,25,141.6,13.1,12.1,14.1,28.8,1.5,1.2,1.7,19.2,2.3,1.9,2.8,9.6,0.8,0.6,1.1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1410.6,141,137.6,144.4,NA,NA,NA,NA,NA,NA,NA,NA,216.4,19.8,18.6,21.1
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,66.2,6.9,6.1,7.7,NA,NA,NA,NA,NA,NA,NA,NA,20.6,2,1.6,2.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,318,29.9,28.4,31.4,NA,NA,NA,NA,NA,NA,NA,NA,73.4,6.4,5.8,7.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,115.8,11.4,10.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,80.4,7.3,6.6,8.1
"Prostate",NA,NA,NA,NA,1073.4,121.7,118.4,125,NA,NA,NA,NA,NA,NA,NA,NA,154.2,19,17.7,20.4,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,63.4,6.9,6.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.2,0.1,0.3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",346.2,17.4,16.5,18.2,253.2,30.7,29,32.4,93,8,7.3,8.8,73.6,3.5,3.2,3.9,50.4,6.2,5.5,7,23.2,1.8,1.5,2.2
"Kidney and renal pelvis",233.6,12.3,11.6,13.1,151,17.8,16.5,19.1,82.6,7.9,7.2,8.8,45,2.3,2,2.6,30.4,3.6,3.1,4.3,14.6,1.2,1,1.6
"Brain and other central nervous system",120.4,7,6.4,7.6,71.6,9.1,8.2,10.2,48.8,5.2,4.5,6,64.6,3.5,3.1,3.9,36.2,4.4,3.8,5.2,28.4,2.8,2.3,3.3
"Thyroid",348.4,19.2,18.3,20.2,97.6,11.4,10.4,12.5,250.8,26.5,25,28.1,11.6,0.6,0.4,0.8,5,0.6,0.4,0.9,6.6,0.6,0.4,0.8
"Hodgkin lymphoma",54,3,2.6,3.4,26.4,3.2,2.6,3.8,27.6,2.9,2.4,3.4,6,0.3,0.2,0.4,3.2,0.4,0.2,0.6,2.8,0.3,0.1,0.5
"Non-Hodgkin lymphomas",430,22.6,21.6,23.6,228,27.6,26,29.3,202,18.7,17.6,20,118.8,6,5.6,6.6,63.6,7.8,6.9,8.7,55.2,4.8,4.2,5.4
"Myeloma",155,7.9,7.3,8.5,83.6,10,9,11,71.4,6.3,5.6,7,65.2,3.3,2.9,3.7,36.2,4.3,3.7,5,29,2.5,2.1,3
"Leukemias",280.2,14.9,14.1,15.7,159.6,19.7,18.3,21.1,120.6,11.2,10.3,12.2,150.2,7.9,7.3,8.5,79.4,9.9,8.9,10.9,70.8,6.5,5.8,7.2
