"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1585.6,550.5,537.9,563.3,826.6,615.2,595.9,635.1,759,506.1,489.2,523.4,513.2,171.6,164.9,178.7,278.2,213.9,202.5,225.9,235,142.6,134.2,151.4
"Oral cavity and pharynx",39.4,13.2,11.4,15.3,26,18.4,15.3,22,13.4,8.8,6.7,11.4,7,2.3,1.6,3.2,5,3.5,2.3,5.3,2,1.2,0.6,2.4
"Esophagus",19.8,6.4,5.2,7.9,16.6,11.4,9,14.3,3.2,2.2,1.2,3.7,17.2,5.5,4.3,6.8,14.8,10.1,7.8,12.8,2.4,1.6,0.8,2.9
"Stomach",21.8,7.2,5.9,8.8,13.6,10,7.7,12.9,8.2,5,3.6,7,7.2,2.3,1.6,3.2,5.2,3.7,2.4,5.5,2,1.2,0.6,2.4
"Colorectal",115,40.5,37.2,44.2,62.4,48,42.7,53.9,52.6,34.7,30.4,39.5,32.6,11,9.3,13,16,12.1,9.5,15.3,16.6,10,7.9,12.7
"Colon excluding rectum",80,27.9,25.1,30.9,40.8,31.4,27.1,36.2,39.2,25.2,21.7,29.3,27.4,9.3,7.8,11.1,13,9.9,7.6,12.8,14.4,8.7,6.7,11.2
"Rectum & rectosigmoid",35,12.7,10.8,14.8,21.6,16.7,13.6,20.3,13.4,9.5,7.2,12.3,5.2,1.7,1.1,2.6,3,2.2,1.2,3.7,2.2,1.3,0.6,2.5
"Liver / intrahepatic bile duct",23.6,7.5,6.1,9,16.6,11,8.7,13.8,7,4.3,2.9,6.1,18.2,6,4.8,7.5,10.8,7.7,5.7,10.3,7.4,4.5,3.1,6.4
"Pancreas",45.8,15.4,13.4,17.6,23.4,17.6,14.5,21.3,22.4,13.7,11.2,16.6,32,10.8,9.2,12.7,15.8,12.2,9.6,15.4,16.2,9.8,7.7,12.3
"Larynx",10.8,3.7,2.7,4.9,9,6.7,4.8,9.1,1.8,1.2,0.5,2.4,3,0.9,0.5,1.6,2,1.5,0.7,2.9,1,0.5,0.2,1.4
"Lung and bronchus",230.2,76.8,72.3,81.5,113.6,84.4,77.4,91.9,116.6,72.5,66.6,78.9,150.6,49.7,46.1,53.5,85,64.6,58.5,71.3,65.6,39.5,35.3,44.2
"Melanoma of the skin",82.6,30.7,27.7,34.1,44.8,34.4,29.9,39.5,37.8,28.7,24.4,33.4,4.6,1.7,1,2.6,2.6,2.2,1.2,3.9,2,1.2,0.6,2.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,211.8,142.6,133.7,152,NA,NA,NA,NA,NA,NA,NA,NA,32.6,20.6,17.4,24.3
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,8.6,7.9,5.6,10.8,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.5,0.7,2.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,47.8,31.4,27.3,35.9,NA,NA,NA,NA,NA,NA,NA,NA,7.4,4.7,3.2,6.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,19,12.7,10.1,15.7,NA,NA,NA,NA,NA,NA,NA,NA,12.6,7.9,6,10.3
"Prostate",NA,NA,NA,NA,202,138.3,129.6,147.4,NA,NA,NA,NA,NA,NA,NA,NA,22.8,18.6,15.3,22.4,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,8.2,8.3,5.8,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.1,1.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",104.8,34.7,31.7,37.9,77.6,59,53.1,65.4,27.2,16,13.4,19,14.8,4.9,3.8,6.2,11.2,8.8,6.6,11.6,3.6,2.2,1.2,3.6
"Kidney and renal pelvis",53.2,18.3,16.1,20.8,34.6,25.6,21.8,30,18.6,11.8,9.4,14.7,11.4,3.7,2.8,4.9,6.8,5.1,3.5,7.2,4.6,2.6,1.6,4.1
"Brain and other central nervous system",21.2,8.5,6.9,10.4,12.2,10.2,7.7,13.2,9,7.3,5.2,9.9,11.4,4.2,3.1,5.5,7.4,5.6,3.9,7.8,4,3,1.8,4.8
"Thyroid",37.4,16.6,14.2,19.3,12.2,10.9,8.2,14.2,25.2,22.2,18.3,26.7,1.6,0.5,0.2,1.1,1,0.9,0.3,2.1,0.6,0.3,0.1,1.2
"Hodgkin lymphoma",8.8,4.1,3,5.6,5,5,3.2,7.5,3.8,3.3,2,5.3,0.4,0.2,0,0.6,0.4,0.4,0,1.4,0,0,0,0.7
"Non-Hodgkin lymphomas",65,22.4,20,25.2,34.2,25.4,21.6,29.7,30.8,20.2,17,23.9,19.4,6.5,5.2,8,11.2,8.7,6.5,11.5,8.2,4.9,3.5,6.8
"Myeloma",17.6,6.1,4.9,7.6,10.6,8.2,6.1,10.9,7,4.2,2.9,6,9,3.2,2.3,4.3,5.6,4.6,3,6.7,3.4,2.2,1.2,3.6
"Leukemias",48.6,17.8,15.5,20.3,28.8,23.7,19.8,28.1,19.8,13.4,10.7,16.6,19,6.3,5.1,7.8,11.8,9.6,7.3,12.5,7.2,4.1,2.8,5.8
