"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1565.8,515.2,503.4,527.2,815.4,566.6,548.9,584.8,750.4,480.6,464.5,497.2,524,163.4,157,170,284,199.7,189.2,210.6,240,136,128,144.4
"Oral cavity and pharynx",40.6,13.7,11.8,15.8,30.4,20.9,17.6,24.7,10.2,7.1,5.2,9.6,9.2,2.9,2.1,3.9,7,4.7,3.2,6.6,2.2,1.3,0.6,2.4
"Esophagus",18.2,5.8,4.7,7.2,12.8,8.8,6.8,11.4,5.4,3.4,2.2,5.2,16.4,4.9,3.9,6.2,13.4,8.9,6.9,11.4,3,1.7,1,3
"Stomach",22.6,7.4,6.1,9,13.8,9.6,7.4,12.2,8.8,5.9,4.2,8,5.6,1.9,1.2,2.8,2.8,2,1.1,3.4,2.8,1.9,1,3.4
"Colorectal",111.8,37.6,34.4,41,55.6,40.4,35.7,45.6,56.2,35.7,31.4,40.5,40.2,12.4,10.7,14.4,22.4,15.8,13,19.2,17.8,9.9,7.8,12.4
"Colon excluding rectum",78,26,23.4,28.9,35.6,26.5,22.6,30.8,42.4,26.2,22.6,30.3,34,10.4,8.8,12.1,18.2,12.9,10.3,15.9,15.8,8.6,6.7,10.9
"Rectum & rectosigmoid",33.8,11.5,9.8,13.5,20,13.9,11.3,17.1,13.8,9.5,7.3,12.3,6.2,2.1,1.4,3,4.2,3,1.8,4.6,2,1.3,0.6,2.6
"Liver / intrahepatic bile duct",25,8,6.6,9.6,17,11.6,9.2,14.5,8,4.8,3.4,6.6,16.6,5.1,4,6.3,11.4,7.7,5.8,10.1,5.2,3,1.9,4.5
"Pancreas",49.2,15.3,13.4,17.4,26.2,18,15,21.5,23,13,10.7,15.8,34.8,10.7,9.1,12.5,19.8,13.7,11.1,16.9,15,8.2,6.4,10.5
"Larynx",17.8,5.8,4.6,7.2,13,8.8,6.8,11.4,4.8,3.2,2,4.9,4.8,1.5,0.9,2.3,3.2,2.1,1.2,3.5,1.6,0.9,0.4,1.9
"Lung and bronchus",230.2,72.6,68.4,77.1,123,85.4,78.6,92.6,107.2,62.8,57.5,68.6,139.2,43.5,40.3,47,78.4,54.2,48.8,60,60.8,35.2,31.2,39.6
"Melanoma of the skin",52.4,18.6,16.3,21.1,28.8,21.1,17.7,25,23.6,17.5,14.3,21.2,7,2.2,1.5,3.2,4,2.9,1.7,4.6,3,1.6,0.9,2.9
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,199.8,130.2,121.8,139.1,NA,NA,NA,NA,NA,NA,NA,NA,28,16.3,13.6,19.5
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7.6,5.7,3.9,8,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.4,0.8,2.6
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,59.4,37.6,33.3,42.5,NA,NA,NA,NA,NA,NA,NA,NA,10,5.8,4.3,7.8
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,22.6,14.6,11.9,17.8,NA,NA,NA,NA,NA,NA,NA,NA,13.6,8.3,6.4,10.8
"Prostate",NA,NA,NA,NA,205.6,131.3,123.3,139.9,NA,NA,NA,NA,NA,NA,NA,NA,23,16.5,13.6,19.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,7.8,6.9,4.9,9.6,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0,0.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",88,27.5,25,30.3,68,48.3,43.2,53.8,20,11.2,9,13.8,19.4,5.9,4.7,7.2,13.8,10.1,7.9,12.9,5.6,2.9,1.9,4.3
"Kidney and renal pelvis",54.6,18.3,16.1,20.7,34.2,24.2,20.6,28.3,20.4,13.4,10.8,16.5,8.8,2.7,1.9,3.6,5.4,3.6,2.4,5.4,3.4,2,1.1,3.3
"Brain and other central nervous system",21.8,8.3,6.7,10.1,12.4,9.9,7.5,12.7,9.4,6.8,4.9,9.2,13.6,4.5,3.5,5.8,8.6,6,4.3,8.1,5,3.3,2.1,5.1
"Thyroid",47.8,19.5,17,22.3,15,11.6,9.1,14.7,32.8,27.9,23.6,32.8,1.6,0.5,0.2,1.1,1,0.8,0.3,1.9,0.6,0.3,0.1,1.1
"Hodgkin lymphoma",8.6,3.7,2.6,5,3.6,2.7,1.6,4.4,5,4.6,2.9,6.9,1.2,0.4,0.1,1,1,0.8,0.2,1.9,0.2,0.1,0,0.8
"Non-Hodgkin lymphomas",67.4,22.3,19.9,24.9,37.2,27.1,23.2,31.4,30.2,18.2,15.3,21.6,23.2,7.4,6.1,9,13.4,10.2,7.9,13.1,9.8,5.1,3.7,7
"Myeloma",23,7.4,6,8.9,13.6,9.8,7.6,12.5,9.4,5.3,3.9,7.2,8.6,2.7,1.9,3.6,4.2,3.1,1.9,4.8,4.4,2.3,1.4,3.7
"Leukemias",53,18,15.8,20.5,31.4,23,19.4,27,21.6,13.8,11.2,17,20.2,6.3,5.1,7.8,11.8,8.4,6.4,10.9,8.4,4.8,3.3,6.7
