"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",786.6,541.8,524.4,559.7,403.6,570.9,545.2,597.6,383,520.7,496.7,545.5,247.6,171.5,161.9,181.7,134,204.4,188.6,221.1,113.6,146.6,134.5,159.5
"Oral cavity and pharynx",22,13.9,11.4,17,16.4,21.5,16.9,27,5.6,7,4.6,10.4,4.2,2.7,1.7,4.3,2.8,4,2.1,7,1.4,1.9,0.7,4
"Esophagus",8.2,5.1,3.6,7,6.6,8.5,5.8,12.3,1.6,1.9,0.8,4,8.6,5.4,3.9,7.4,7.8,10.3,7.2,14.4,0.8,1,0.3,2.9
"Stomach",12.6,8.7,6.6,11.2,9.4,13,9.4,17.6,3.2,4.8,2.7,7.9,2.8,1.9,1,3.3,2.2,3.4,1.6,6.3,0.6,0.8,0.2,2.6
"Colorectal",56.4,40,35.3,45.1,28.8,42,35.2,49.9,27.6,37.5,31.3,44.6,20,14.1,11.4,17.2,11,17,12.7,22.4,9,11.4,8.2,15.4
"Colon excluding rectum",40,28.4,24.5,32.8,18.6,26.6,21.3,33,21.4,29.2,23.8,35.6,15.2,10.8,8.4,13.6,8.4,12.8,9.1,17.5,6.8,8.9,6.1,12.6
"Rectum & rectosigmoid",16.4,11.6,9.2,14.5,10.2,15.4,11.3,20.5,6.2,8.2,5.5,11.9,4.8,3.3,2.1,5,2.6,4.2,2.2,7.4,2.2,2.5,1.2,4.7
"Liver / intrahepatic bile duct",12.4,8.5,6.5,11,8.4,12.5,8.8,17.1,4,4.9,3,7.8,8,5.6,4,7.8,4.4,6.7,4.1,10.5,3.6,4.4,2.6,7.1
"Pancreas",23.4,16.1,13.2,19.4,13.6,20.3,15.5,26,9.8,12.4,9.1,16.6,17.4,11.9,9.5,14.8,8.4,13.1,9.3,17.9,9,11.3,8.2,15.3
"Larynx",7.2,4.7,3.2,6.6,5.4,7.3,4.7,10.8,1.8,2.1,1,4.3,1.6,0.9,0.4,1.9,1.2,1.3,0.5,3.1,0.4,0.5,0.1,2
"Lung and bronchus",148.2,98.8,91.7,106.5,75.8,107.5,96.5,119.4,72.4,91.8,82.4,102,79,53.3,48,59,43.2,63.1,54.7,72.6,35.8,45,38.5,52.3
"Melanoma of the skin",27.8,20.9,17.4,24.8,14.2,21.5,16.6,27.4,13.6,21,16.1,26.9,2.6,1.9,1,3.4,1.8,2.8,1.2,5.5,0.8,1.1,0.3,3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,105,143.8,131.3,157.2,NA,NA,NA,NA,NA,NA,NA,NA,14.8,18.7,14.6,23.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,4.8,2.5,8.3,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3,1.2,5.9
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,31.4,42.3,35.7,49.9,NA,NA,NA,NA,NA,NA,NA,NA,3,3.8,2.1,6.5
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,8.2,11.4,8.1,15.8,NA,NA,NA,NA,NA,NA,NA,NA,5.2,7,4.5,10.4
"Prostate",NA,NA,NA,NA,92,117.2,106.3,128.9,NA,NA,NA,NA,NA,NA,NA,NA,8.8,15.6,11.3,21.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,4.8,9.4,5.9,14.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0,1.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",40.8,27.5,23.7,31.6,31.6,46.3,39.1,54.5,9.2,11.6,8.5,15.7,5.6,3.9,2.6,5.7,3.8,5.8,3.4,9.3,1.8,2.4,1.1,4.8
"Kidney and renal pelvis",31,21.4,18,25.2,20.8,28.2,22.9,34.6,10.2,15,11,20,5.6,3.8,2.5,5.6,4.2,6.3,3.8,9.9,1.4,1.8,0.7,4
"Brain and other central nervous system",10.2,7.9,5.8,10.5,5.6,8.3,5.4,12.2,4.6,7.5,4.7,11.5,7.4,5.4,3.8,7.6,4,5.8,3.4,9.1,3.4,5,2.9,8.2
"Thyroid",18.8,14.9,11.9,18.4,4.8,7.3,4.6,11.1,14,22.5,17.3,28.7,0.8,0.5,0.1,1.4,0.6,0.9,0.2,2.7,0.2,0.2,0,1.6
"Hodgkin lymphoma",3.6,2.9,1.7,4.7,2.4,4.3,2.1,7.6,1.2,1.6,0.6,3.7,0.6,0.5,0.1,1.4,0.6,0.9,0.2,2.9,0,0,0,1.3
"Non-Hodgkin lymphomas",32.6,23,19.5,27,18.6,28.1,22.5,34.8,14,18.7,14.4,23.9,6.8,4.9,3.4,6.9,4.2,6.8,4.1,10.5,2.6,3.3,1.7,5.8
"Myeloma",10.2,6.9,5.1,9.2,5.4,7.6,4.9,11.3,4.8,6.2,3.9,9.5,4,2.8,1.7,4.5,2.2,3.6,1.8,6.6,1.8,2.2,1,4.5
"Leukemias",23.6,17.5,14.4,21.1,13.6,22.1,17,28.2,10,14.1,10.3,18.8,8,5.8,4.1,8,3.8,6.5,3.8,10.2,4.2,5.5,3.4,8.7
