"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",643.2,500.7,482.8,519,314.6,513,486.8,540.3,328.6,500.5,475.5,526.5,151.6,119.8,111.2,129,79.4,139.7,125.7,154.8,72.2,105.9,94.9,117.8
"Oral cavity and pharynx",15.8,11.1,8.7,14,12.8,18.1,13.8,23.5,3,4.3,2.4,7.4,2.6,1.8,1,3.3,2.2,2.9,1.4,5.6,0.4,0.7,0.1,2.8
"Esophagus",6.2,4.5,3,6.5,4.8,7.3,4.6,11.2,1.4,2.1,0.8,4.6,5,3.5,2.2,5.3,3.8,5.6,3.3,9.1,1.2,1.6,0.6,3.9
"Stomach",9.4,7.3,5.3,9.8,5.2,9.1,5.8,13.6,4.2,6.1,3.7,9.6,2.2,1.8,0.9,3.4,1.6,2.7,1.1,5.7,0.6,1,0.2,3.1
"Colorectal",46.4,36.2,31.5,41.4,23.6,38,31.2,46,22.8,33.8,27.7,41,11.4,8.8,6.6,11.5,5.4,8.8,5.7,13.1,6,8.3,5.6,12.2
"Colon excluding rectum",32.6,25.6,21.7,30.1,14.6,24.2,18.7,30.8,18,26.7,21.3,33.2,9.4,7.3,5.4,9.9,4,7,4.2,11,5.4,7.5,4.9,11.2
"Rectum & rectosigmoid",13.8,10.5,8.1,13.5,9,13.9,10,18.9,4.8,7.1,4.5,10.9,2,1.4,0.7,2.7,1.4,1.8,0.7,4.2,0.6,0.9,0.2,2.9
"Liver / intrahepatic bile duct",9.4,6.9,5,9.3,6.8,10.2,6.9,14.6,2.6,3.9,2,7.1,4.4,3.3,2,5.2,2.8,4.3,2.3,7.5,1.6,2.7,1.1,5.5
"Pancreas",18.6,14.4,11.6,17.8,11.2,19.2,14.3,25.3,7.4,10.8,7.5,15.2,10.4,8,5.9,10.6,7,12,8.2,17,3.4,5,2.9,8.4
"Larynx",2.6,1.9,1,3.5,2.6,4.1,2.1,7.3,0,0,0,1.6,0.6,0.4,0.1,1.4,0.6,0.8,0.2,2.8,0,0,0,1.6
"Lung and bronchus",84,64.4,58.2,71.1,37.6,63.7,54.6,74,46.4,66.5,58.1,76,40.6,32.1,27.7,37,20.4,37.2,30.1,45.5,20.2,28.9,23.4,35.4
"Melanoma of the skin",25.4,20.2,16.7,24.3,13.2,22.7,17.3,29.3,12.2,19.3,14.5,25.3,2.4,1.7,0.9,3.2,1.4,2,0.8,4.5,1,1.4,0.5,3.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,97.8,149.4,135.8,164,NA,NA,NA,NA,NA,NA,NA,NA,10.4,14.2,10.6,19
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.2,5.4,2.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.4,0.3,4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,21.2,30.2,24.5,36.9,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.4,1.7,6.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,10,15.8,11.6,21.3,NA,NA,NA,NA,NA,NA,NA,NA,5.6,8.5,5.6,12.7
"Prostate",NA,NA,NA,NA,69.6,101.8,91,113.7,NA,NA,NA,NA,NA,NA,NA,NA,5.8,11.9,7.9,17.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,3.2,6.8,3.8,11.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",33.4,26,22.2,30.5,25.2,44.1,36.4,52.9,8.2,12,8.5,16.5,5.2,4.3,2.8,6.4,4.2,8.3,5,12.9,1,1.6,0.5,4.1
"Kidney and renal pelvis",27.4,20.8,17.4,24.9,19,29.4,23.5,36.5,8.4,12.6,8.9,17.4,2.8,2.2,1.2,3.9,1.8,2.7,1.2,5.6,1,1.6,0.5,4
"Brain and other central nervous system",8.2,6.3,4.5,8.8,5,8.1,5.1,12.4,3.2,4.6,2.6,7.9,4.4,3.6,2.2,5.6,2.4,3.7,1.8,6.8,2,3.4,1.5,6.5
"Thyroid",26.6,24.5,20.3,29.3,7.6,12.3,8.5,17.3,19,37,29.5,45.8,0.2,0.2,0,1.2,0,0,0,1.7,0.2,0.4,0,2.3
"Hodgkin lymphoma",6,6,4,8.7,2.8,5.5,2.9,9.5,3.2,6.3,3.5,10.5,0.2,0.1,0,1,0.2,0.2,0,2,0,0,0,1.6
"Non-Hodgkin lymphomas",31.2,24.5,20.7,28.9,17.4,28.2,22.4,35.3,13.8,21,16.1,27,5.6,5,3.3,7.3,3.2,6.4,3.6,10.6,2.4,3.8,1.9,6.9
"Myeloma",9.6,7.8,5.7,10.5,7,12.6,8.6,17.8,2.6,4,2.1,7.1,1.8,1.4,0.6,2.9,1.6,3,1.2,6.1,0.2,0.2,0,2
"Leukemias",24.8,19.1,15.8,23,14.2,23.3,18,29.8,10.6,15.7,11.6,20.9,8.4,7.2,5.1,9.9,5,9.7,6.2,14.6,3.4,5.1,3,8.5
