"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",11343.2,421.3,417.8,424.9,5456.4,453.5,448,459,5886.8,404.7,400,409.5,3122.8,114.3,112.5,116.1,1541.2,134.6,131.5,137.7,1581.6,101.2,98.9,103.5
"Oral cavity and pharynx",250.6,9.2,8.7,9.8,157.8,12.8,11.9,13.7,92.8,6.3,5.7,6.9,49.8,1.8,1.6,2.1,34,2.8,2.4,3.3,15.8,1,0.8,1.3
"Esophagus",93.4,3.3,3,3.6,70.2,5.7,5.1,6.4,23.2,1.4,1.2,1.7,61.8,2.2,2,2.5,45.6,3.8,3.3,4.4,16.2,1,0.8,1.2
"Stomach",331.6,12.3,11.7,12.9,193.2,16.2,15.2,17.3,138.4,9.2,8.5,10,129.4,4.8,4.4,5.2,78,6.8,6.1,7.5,51.4,3.3,2.9,3.7
"Colorectal",1031,38.3,37.3,39.4,535.8,44.9,43.1,46.6,495.2,33.2,31.9,34.6,311,11.3,10.8,11.9,155,13.5,12.5,14.5,156,9.8,9.1,10.6
"Colon excluding rectum",723.4,26.9,26,27.8,365.2,30.9,29.5,32.4,358.2,23.8,22.7,25,262,9.5,9,10.1,129.4,11.3,10.4,12.2,132.6,8.3,7.7,9
"Rectum & rectosigmoid",307.6,11.4,10.9,12,170.6,14,13,15,137,9.4,8.7,10.1,49,1.8,1.6,2.1,25.6,2.2,1.8,2.6,23.4,1.5,1.3,1.8
"Liver / intrahepatic bile duct",282.6,10.1,9.6,10.7,199.2,15.8,14.8,16.9,83.4,5.5,4.9,6,164.4,5.9,5.5,6.3,106.2,8.7,7.9,9.5,58.2,3.8,3.3,4.2
"Pancreas",353,12.9,12.3,13.5,166,14.2,13.2,15.2,187,11.9,11.1,12.7,246,9,8.5,9.5,116,10,9.2,10.9,130,8.1,7.5,8.8
"Larynx",65,2.4,2.1,2.6,53.8,4.5,3.9,5,11.2,0.7,0.5,0.9,18,0.6,0.5,0.8,14,1.2,0.9,1.5,4,0.2,0.1,0.4
"Lung and bronchus",1182.2,43.2,42.1,44.3,616,52.4,50.5,54.3,566.2,36.6,35.3,38,600.4,21.8,21,22.6,328.6,28.4,27,29.8,271.8,17.1,16.2,18.1
"Melanoma of the skin",203.6,7.7,7.2,8.2,111.2,9.7,8.9,10.6,92.4,6.3,5.7,6.9,26.2,1,0.8,1.2,14.6,1.3,1,1.6,11.6,0.7,0.6,1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1736.6,121.9,119.3,124.6,NA,NA,NA,NA,NA,NA,NA,NA,249.2,16.3,15.3,17.2
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,125,9.4,8.7,10.2,NA,NA,NA,NA,NA,NA,NA,NA,33.8,2.3,2,2.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,441.2,29.3,28.1,30.6,NA,NA,NA,NA,NA,NA,NA,NA,88.8,5.7,5.2,6.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,164.2,11.6,10.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,80.2,5.3,4.8,5.8
"Prostate",NA,NA,NA,NA,1451.6,114.6,111.9,117.3,NA,NA,NA,NA,NA,NA,NA,NA,165.4,15.4,14.3,16.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,47.6,4,3.5,4.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.1,0,0.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",443.4,16.3,15.6,17,327.8,28.7,27.3,30.2,115.6,7.4,6.8,8,81.4,3,2.7,3.3,56,5.2,4.6,5.9,25.4,1.6,1.3,1.9
"Kidney and renal pelvis",365,13.5,12.9,14.2,234.4,19.1,18,20.3,130.6,8.9,8.2,9.6,61.8,2.3,2,2.5,39.6,3.4,3,4,22.2,1.4,1.1,1.7
"Brain and other central nervous system",131.8,5.3,4.9,5.7,73.8,6.3,5.7,7,58,4.3,3.8,4.8,73.6,2.8,2.6,3.2,37.6,3.3,2.8,3.8,36,2.5,2.1,2.9
"Thyroid",507.2,20.4,19.6,21.2,116.4,9.7,8.9,10.5,390.8,30.6,29.2,32,13,0.5,0.4,0.6,4.2,0.3,0.2,0.5,8.8,0.6,0.4,0.8
"Hodgkin lymphoma",64.2,2.7,2.4,3,38.2,3.3,2.9,3.8,26,2.2,1.8,2.6,6.6,0.3,0.2,0.4,3.8,0.3,0.2,0.5,2.8,0.2,0.1,0.3
"Non-Hodgkin lymphomas",478.4,18,17.3,18.8,254.6,21.7,20.5,23,223.8,15.2,14.3,16.2,115.2,4.2,3.9,4.6,67.4,5.9,5.3,6.6,47.8,3,2.6,3.4
"Myeloma",213.8,7.9,7.4,8.4,106.8,8.9,8.1,9.7,107,7.1,6.5,7.7,72.6,2.6,2.4,2.9,35,3,2.6,3.5,37.6,2.4,2,2.8
"Leukemias",353,13.6,13,14.3,195.4,17.1,16,18.2,157.6,11,10.2,11.8,119.6,4.5,4.1,4.9,66.4,6,5.3,6.7,53.2,3.5,3,3.9
