"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1785,478.7,468.6,489,895.6,524.7,509.2,540.6,889.4,449.5,435.9,463.4,419.4,107.7,103,112.4,203.4,121.8,114.3,129.6,216,98,92.1,104.3
"Oral cavity and pharynx",42.8,11.3,9.8,12.9,29.2,16.6,14,19.6,13.6,6.8,5.3,8.8,7.6,1.9,1.3,2.6,3.8,2.1,1.2,3.3,3.8,1.6,1,2.6
"Esophagus",16.2,4.2,3.3,5.2,11.6,6.9,5.2,8.9,4.6,2.1,1.3,3.3,9.8,2.5,1.8,3.3,8.2,4.9,3.5,6.6,1.6,0.7,0.3,1.5
"Stomach",28,7.7,6.5,9.2,14.2,8.5,6.6,10.8,13.8,7.1,5.4,9.1,9.4,2.5,1.8,3.4,3.8,2.2,1.3,3.5,5.6,2.8,1.8,4.1
"Colorectal",140.6,37.6,34.8,40.5,78.2,46.1,41.6,51,62.4,30.7,27.3,34.5,37.4,9.5,8.2,11,18.4,10.7,8.6,13.1,19,8.5,6.9,10.5
"Colon excluding rectum",102.8,27.3,24.9,29.8,54.8,32.4,28.6,36.6,48,23.3,20.3,26.5,32.4,8.2,7,9.6,15.8,9.2,7.3,11.5,16.6,7.4,5.9,9.3
"Rectum & rectosigmoid",37.8,10.3,8.9,12,23.4,13.7,11.3,16.5,14.4,7.5,5.8,9.5,5,1.3,0.8,1.9,2.6,1.5,0.8,2.5,2.4,1.1,0.6,2
"Liver / intrahepatic bile duct",27.4,7,5.8,8.3,18,10.1,8.1,12.4,9.4,4.3,3.1,5.8,15.6,4,3.2,5,10,5.8,4.3,7.8,5.6,2.6,1.7,3.9
"Pancreas",56.2,14.5,12.8,16.3,28.8,16.8,14.2,19.9,27.4,12.7,10.6,15.1,39.2,10.1,8.7,11.6,20,12,9.7,14.6,19.2,8.6,6.9,10.5
"Larynx",9.8,2.6,1.9,3.4,8.2,4.7,3.4,6.5,1.6,0.8,0.3,1.6,1.6,0.4,0.2,0.8,1.4,0.8,0.3,1.7,0.2,0.1,0,0.6
"Lung and bronchus",189.6,49.2,46.1,52.5,85.2,51.1,46.3,56.2,104.4,48.1,44,52.5,87.2,22.4,20.3,24.7,39.4,23.4,20.2,27,47.8,21.5,18.8,24.5
"Melanoma of the skin",63,17,15.1,19,39.8,24,20.8,27.7,23.2,11.8,9.6,14.2,5.6,1.4,1,2.1,3.4,2.1,1.2,3.4,2.2,0.9,0.4,1.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,266.8,140.7,133,148.8,NA,NA,NA,NA,NA,NA,NA,NA,32.4,15.6,13.2,18.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,11.4,6.6,4.9,8.7,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.2,0.6,2.1
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,62.2,30.2,26.8,33.9,NA,NA,NA,NA,NA,NA,NA,NA,9.2,4.4,3.2,5.9
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,24.8,12.8,10.6,15.4,NA,NA,NA,NA,NA,NA,NA,NA,10,4.5,3.3,6
"Prostate",NA,NA,NA,NA,237,131,123.5,138.8,NA,NA,NA,NA,NA,NA,NA,NA,19.4,12,9.7,14.7,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,10.2,7.1,5.3,9.4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0,0.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",90,23.4,21.2,25.7,67.2,40.3,36,44.9,22.8,10.5,8.6,12.7,13.6,3.3,2.6,4.3,9.2,5.7,4.2,7.6,4.4,1.8,1.1,2.8
"Kidney and renal pelvis",66,17.9,15.9,20,43.4,25.4,22,29.1,22.6,11.6,9.5,14.1,9.8,2.6,1.9,3.5,6.4,3.9,2.7,5.6,3.4,1.6,0.9,2.7
"Brain and other central nervous system",22.8,6.3,5.2,7.6,12.4,7,5.4,9.1,10.4,5.7,4.2,7.5,9.8,2.6,1.9,3.5,5.6,3.1,2,4.5,4.2,2.2,1.3,3.4
"Thyroid",67.6,21.4,19.1,23.9,22.2,14.8,12.1,17.9,45.4,27.8,24.2,31.8,2,0.5,0.2,0.9,0.8,0.5,0.1,1.2,1.2,0.5,0.2,1.2
"Hodgkin lymphoma",7.8,2.3,1.6,3.2,4,2.5,1.5,3.8,3.8,2.3,1.4,3.6,1.6,0.5,0.2,1,1.4,0.9,0.4,1.9,0.2,0.1,0,0.7
