"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1545,526.1,514,538.3,800.6,583.1,564.5,602,744.4,486.5,470.4,503,461.2,155.5,149.1,162.1,245.4,187.2,176.6,198.3,215.8,132.3,124.4,140.7
"Oral cavity and pharynx",42.2,14.2,12.3,16.4,29.2,20.3,17.1,24.1,13,8.6,6.6,11.2,7.6,2.4,1.7,3.4,4.8,3.3,2.1,5,2.8,1.7,0.9,3.1
"Esophagus",20.4,6.8,5.5,8.3,16.6,11.8,9.3,14.8,3.8,2.4,1.4,3.9,12.8,4.2,3.2,5.4,9.6,6.8,5,9.2,3.2,1.9,1,3.2
"Stomach",15.8,5.3,4.2,6.7,10,7.2,5.3,9.6,5.8,3.8,2.5,5.5,5.8,1.9,1.3,2.8,3.8,2.7,1.6,4.4,2,1.2,0.6,2.4
"Colorectal",110,38.2,35,41.7,54.8,41.5,36.6,46.9,55.2,35.1,30.9,39.7,38.6,13.1,11.2,15.1,19.4,15.3,12.3,18.8,19.2,11.3,9.1,13.9
"Colon excluding rectum",78.2,27,24.3,29.9,36,27.3,23.4,31.8,42.2,26.4,22.8,30.4,28.6,9.6,8.1,11.4,14,10.9,8.5,13.9,14.6,8.5,6.6,10.8
"Rectum & rectosigmoid",31.8,11.3,9.5,13.2,18.8,14.2,11.4,17.5,13,8.7,6.6,11.2,10,3.5,2.5,4.6,5.4,4.4,2.8,6.5,4.6,2.8,1.8,4.4
"Liver / intrahepatic bile duct",24.4,7.9,6.5,9.5,18.8,13.1,10.5,16.2,5.6,3.5,2.3,5.1,15.2,4.9,3.9,6.2,12.2,8.4,6.4,10.9,3,2,1.1,3.4
"Pancreas",41.6,13.7,11.9,15.8,26,18.4,15.3,22,15.6,9.6,7.6,12.2,29.8,9.9,8.4,11.7,16,11.4,9,14.4,13.8,8.4,6.5,10.8
"Larynx",9.4,3,2.2,4.1,7.4,5.1,3.6,7.2,2,1.3,0.6,2.5,2.2,0.7,0.4,1.4,2,1.5,0.7,2.9,0.2,0.1,0,0.8
"Lung and bronchus",217.4,71.7,67.4,76.2,107.4,78.5,71.8,85.7,110,67.3,61.7,73.3,133.2,44.6,41.2,48.2,68.8,51.5,46,57.4,64.4,39.4,35.2,44.1
"Melanoma of the skin",77.2,26.8,24.1,29.7,48.2,35.9,31.4,40.9,29,19.6,16.4,23.2,9,3.1,2.2,4.2,6.4,4.8,3.2,6.9,2.6,1.7,0.9,3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,213.6,140.7,132.1,149.8,NA,NA,NA,NA,NA,NA,NA,NA,28.6,17.2,14.4,20.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,6,4.9,3.2,7,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.9,0.3,2
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,47,27.7,24.2,31.6,NA,NA,NA,NA,NA,NA,NA,NA,6.4,3.7,2.5,5.4
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,14.4,9.2,7.1,11.7,NA,NA,NA,NA,NA,NA,NA,NA,8.6,5.2,3.7,7.1
"Prostate",NA,NA,NA,NA,191,126.8,118.7,135.4,NA,NA,NA,NA,NA,NA,NA,NA,20.6,18,14.7,21.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,10,9.2,6.8,12.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0,0.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",85.8,28.9,26.2,31.9,67.2,51.2,45.7,57.2,18.6,11.1,8.9,13.7,11.6,3.9,3,5.1,8.6,6.9,4.9,9.3,3,1.9,1,3.2
"Kidney and renal pelvis",58.2,20,17.7,22.6,37.4,27.7,23.7,32.1,20.8,13.4,10.9,16.4,10.6,3.7,2.7,4.8,5.6,4.1,2.7,6,5,3.2,2.1,4.9
"Brain and other central nervous system",19,7.1,5.7,8.7,11.2,8.4,6.3,11,7.8,5.8,4.1,8.1,15.2,4.9,3.8,6.2,9.6,6.4,4.7,8.6,5.6,3.5,2.3,5.2
"Thyroid",55.4,22.1,19.5,25,15,11.7,9.1,14.9,40.4,32.6,28,37.6,1.2,0.4,0.1,0.9,0.6,0.5,0.1,1.5,0.6,0.3,0.1,1.2
"Hodgkin lymphoma",8.4,3.4,2.5,4.7,3.8,3.2,1.9,5.1,4.6,3.8,2.3,5.8,0.6,0.2,0,0.6,0.2,0.1,0,0.8,0.4,0.2,0,0.9
"Non-Hodgkin lymphomas",67.8,23,20.6,25.7,34.2,25,21.3,29.2,33.6,21.7,18.4,25.4,17.8,6.2,5,7.7,9.4,7.4,5.4,9.9,8.4,5.4,3.8,7.3
"Myeloma",22.8,7.6,6.2,9.2,13.4,9.5,7.3,12.2,9.4,6,4.4,8.2,7.6,2.5,1.8,3.5,4.6,3.5,2.2,5.4,3,1.9,1,3.2
"Leukemias",48.6,17.6,15.4,20,28.2,22,18.4,26.2,20.4,13.9,11.2,17,17.6,6.4,5.1,7.9,10.6,8.9,6.6,11.7,7,4.5,3.1,6.3
