"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",971.4,496.2,481.8,510.8,465.6,521,499.4,543.3,505.8,484.8,465.3,504.9,325,156.5,148.8,164.6,160.6,181.6,168.9,195,164.4,139.9,130.1,150.4
"Oral cavity and pharynx",24.4,12.2,10.1,14.7,16.8,18.2,14.4,22.7,7.6,7,4.8,9.8,8,4.1,2.9,5.6,6,6.7,4.5,9.7,2,1.9,0.9,3.7
"Esophagus",10.8,5.5,4.1,7.3,8.4,9.3,6.7,12.8,2.4,2.4,1.2,4.3,9.8,4.8,3.5,6.4,7.4,8,5.6,11.1,2.4,2.1,1.1,3.9
"Stomach",15,7.4,5.7,9.3,8.2,9.2,6.5,12.7,6.8,5.9,4,8.4,3.2,1.4,0.8,2.4,2.2,2.3,1.1,4.3,1,0.7,0.2,2
"Colorectal",66.8,35,31.2,39.1,37.8,44.1,37.9,51.2,29,26.8,22.4,31.8,21,10,8.1,12.3,9.4,10.2,7.4,13.7,11.6,9.9,7.3,13.1
"Colon excluding rectum",45.2,23.7,20.6,27.1,23.6,27.7,22.8,33.4,21.6,19.7,16,24.1,16.2,7.7,6.1,9.8,6.6,7.1,4.9,10.2,9.6,8.2,5.9,11.2
"Rectum & rectosigmoid",21.6,11.3,9.2,13.8,14.2,16.4,12.7,20.9,7.4,7,4.9,9.9,4.8,2.3,1.4,3.5,2.8,3,1.6,5.2,2,1.7,0.8,3.4
"Liver / intrahepatic bile duct",18.8,9,7.2,11.1,13.2,13.8,10.6,17.8,5.6,4.7,3.1,7,10.4,5,3.7,6.7,7.6,8.5,6,11.8,2.8,2.3,1.2,4.2
"Pancreas",31.6,16.3,13.8,19.2,15,17.1,13.4,21.6,16.6,15.5,12.2,19.4,27.6,13.7,11.4,16.3,13.8,15.8,12.2,20.1,13.8,11.8,9.1,15.2
"Larynx",8.4,4,2.9,5.5,7,7.5,5.1,10.6,1.4,1.2,0.5,2.7,0.8,0.4,0.1,1.1,0.8,0.9,0.2,2.3,0,0,0,1
"Lung and bronchus",139.8,68.7,63.6,74.1,65.8,75.1,66.9,83.9,74,65.2,58.5,72.4,85,41.4,37.5,45.7,41,46.7,40.3,53.8,44,37.8,32.9,43.4
"Melanoma of the skin",31,16.1,13.5,18.9,15.4,17.1,13.4,21.6,15.6,15.7,12.2,19.8,4.6,2.3,1.4,3.6,3.2,3.8,2.1,6.3,1.4,1.2,0.5,2.6
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,149,148.1,137.3,159.7,NA,NA,NA,NA,NA,NA,NA,NA,20.8,17.8,14.4,21.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7.2,8.6,5.9,12.1,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,0.9,4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,35.2,32.2,27.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,6,4.8,3.2,7
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,12,11.5,8.7,15,NA,NA,NA,NA,NA,NA,NA,NA,7.8,6.6,4.6,9.2
"Prostate",NA,NA,NA,NA,104.4,108.7,99.3,118.7,NA,NA,NA,NA,NA,NA,NA,NA,15.4,17,13.4,21.4,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,4.8,7.1,4.5,10.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",51.8,25.8,22.6,29.2,37.4,42.8,36.7,49.7,14.4,13,10.1,16.6,11.2,5,3.7,6.6,7.4,8.1,5.6,11.2,3.8,2.9,1.7,4.8
"Kidney and renal pelvis",32.4,16.5,14,19.4,21,22.8,18.5,27.8,11.4,11.5,8.6,15.1,6,2.8,1.8,4.1,3.8,3.9,2.3,6.3,2.2,2,0.9,3.9
"Brain and other central nervous system",12.4,7.1,5.4,9.2,7.4,9.1,6.3,12.7,5,5.4,3.4,8.1,8.6,4.5,3.3,6.2,4,4.4,2.7,7,4.6,4.5,2.8,7
"Thyroid",27.4,16.8,14,19.9,6,7.1,4.7,10.4,21.4,26,21.1,31.6,0.4,0.2,0,0.9,0.2,0.2,0,1.4,0.2,0.2,0,1.3
"Hodgkin lymphoma",4.6,2.9,1.8,4.4,2.2,2.9,1.5,5.3,2.4,3,1.5,5.2,1,0.4,0.1,1.1,0.6,0.6,0.1,2,0.4,0.3,0,1.3
"Non-Hodgkin lymphomas",42.8,21.5,18.6,24.7,23,25.6,21,31,19.8,18.2,14.6,22.4,12.2,5.4,4.1,7.1,6.4,7.1,4.8,10.1,5.8,4.2,2.8,6.3
"Myeloma",16.2,7.7,6.1,9.7,7.4,8.3,5.8,11.6,8.8,7.4,5.3,10.2,7.8,3.6,2.6,5.1,4.4,4.9,3,7.5,3.4,2.6,1.5,4.5
"Leukemias",35.8,18.6,15.9,21.6,23.2,27.2,22.3,32.8,12.6,11.8,8.9,15.3,13,6.3,4.9,8.2,8.8,10.7,7.7,14.4,4.2,3.4,2.1,5.4
