"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",139.8,537.2,496.2,581.2,70,550.9,491.5,616.1,69.8,536.7,478.9,600.2,47,176.6,154.2,201.8,24.8,200.8,165.9,241.7,22.2,158.5,129.4,193.1
"Oral cavity and pharynx",3.4,13.4,7.5,22.6,2,14.7,6.5,29.6,1.4,12.8,4.9,27.9,0.4,1.1,0.1,5.9,0.4,2.2,0.3,11.7,0,0,0,9.1
"Esophagus",1,3.5,1.1,9.3,1,7.6,2.3,20,0,0,0,9.1,1,3.4,1.1,9.2,1,7.6,2.4,19.9,0,0,0,9.1
"Stomach",1.4,5.4,2.1,12.1,1,7.5,2.4,19.7,0.4,3.4,0.3,14.6,0.8,3,0.8,8.7,0.4,3.1,0.4,13.7,0.4,2.9,0.3,13.3
"Colorectal",11.4,51,37.8,67.5,5.6,53.8,34.6,79.9,5.8,49.7,32.3,73.9,3.8,14.9,8.7,24.3,2.6,21.5,10.9,39,1.2,8,2.7,20.1
"Colon excluding rectum",7.4,34.3,23.5,48.5,3.4,33.7,18.8,55.9,4,35.2,20.6,56.8,2.8,10.9,5.7,19.3,1.8,15.7,6.7,31.9,1,5.6,1.8,16.2
"Rectum & rectosigmoid",4,16.7,9.9,26.9,2.2,20.1,9.5,37.8,1.8,14.5,6.4,29.5,1,4,1.3,10.4,0.8,5.9,1.6,17.3,0.2,2.3,0.1,13.3
"Liver / intrahepatic bile duct",2.4,9.8,4.9,18,1.4,11.2,4.4,24.8,1,8.3,2.4,21.6,1,3.9,1.3,10,0.6,5.2,1.1,16.8,0.4,2.5,0.3,12.5
"Pancreas",4.8,18.1,11.4,27.9,1.4,11.8,4.5,26.2,3.4,24,13.7,40.4,3.2,12.4,6.9,21.1,1,9.2,2.6,23.3,2.2,15.3,7.5,29.5
"Larynx",1,3.8,1.2,9.8,0.8,6.4,1.7,18.3,0.2,1.4,0,11.1,0.2,0.7,0,5.5,0,0,0,9,0.2,1.4,0,11.1
"Lung and bronchus",22.8,80.5,66.2,97.5,12.4,92.5,70.3,120.6,10.4,70.1,52.1,93.7,14.2,52.8,41.1,67.4,7.8,63.3,44.6,88,6.4,44.7,30.4,64.9
"Melanoma of the skin",7.6,30.2,21,42.5,5.4,42.2,27.3,63.4,2.2,20,9.5,37.7,1,3.8,1.2,9.9,0.8,6.7,1.7,19,0.2,1.1,0,10.5
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,19.6,148.9,119.6,184.1,NA,NA,NA,NA,NA,NA,NA,NA,3,24.3,12.7,42.8
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.2,0,10.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,3.4,21,12.1,35.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,5.5,1.5,16.7
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,1.8,12.7,5.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,1,6.8,2.2,18.4
"Prostate",NA,NA,NA,NA,14,92.6,71.5,119.3,NA,NA,NA,NA,NA,NA,NA,NA,2.4,18.9,9.5,34.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,0.6,6.9,1.4,20.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",6.8,24.2,16.7,34.7,6,48.3,32.2,70.6,0.8,5.1,1.3,16,1.6,5.8,2.5,12.4,1.2,11.2,4,25.7,0.4,2.3,0.3,11.9
"Kidney and renal pelvis",4,16.1,9.4,26,2.6,21.4,10.9,38.7,1.4,10.9,3.9,25.1,0.6,2.3,0.5,7.8,0.2,2.1,0.1,12.7,0.4,2.5,0.3,12.5
"Brain and other central nervous system",2.6,12.7,6.4,22.7,1.6,16.6,6.6,34.4,1,9.4,2.8,23.6,1.4,5.4,2.1,12.1,0.8,5.5,1.4,16.6,0.6,5.1,1,17
"Thyroid",2.8,15.7,8.3,26.9,0.6,6.5,1,20.5,2.2,25.1,12.2,45.8,0.2,0.9,0,5.9,0,0,0,9,0.2,1.7,0,11.8
"Hodgkin lymphoma",0.4,3,0.4,10.2,0.2,3.6,0.1,16.9,0.2,2.7,0.1,14.5,0,0,0,4.5,0,0,0,9,0,0,0,9.1
"Non-Hodgkin lymphomas",5.4,19.4,12.5,29.4,2.4,18.5,8.9,35,3,20.7,11.4,36.3,1.6,6.1,2.6,13,0.8,5.9,1.5,17.5,0.8,6,1.6,17.6
"Myeloma",2.2,8.7,4.3,16.4,1,8.4,2.6,21.4,1.2,9.7,3.4,23,0.8,3,0.8,8.7,0.6,4.4,0.9,15.4,0.2,1.7,0,11.8
"Leukemias",5,21.1,13.2,32.3,2.4,20.2,9.9,37.5,2.6,21.5,10.8,39.2,1.8,7.1,3.2,14.3,1,9.2,3,22.7,0.8,5.7,1.5,17
