"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",242,526.9,496.3,558.9,128.8,575.4,530.4,623.4,113.2,495.7,453.1,541.5,81.2,169.3,152.8,187.3,40.8,183.7,158.7,211.6,40.4,159.7,137.5,184.9
"Oral cavity and pharynx",5.6,11.9,7.7,17.7,4.4,18.9,11.6,29.4,1.2,4.9,1.8,11.8,0.8,1.6,0.4,4.6,0.8,3.5,0.9,9.6,0,0,0,4.8
"Esophagus",3,6,3.3,10.3,2.6,10.7,5.6,19.1,0.4,1.5,0.2,6.8,3.8,7.2,4.3,11.7,3.6,14.3,8.3,23.3,0.2,0.6,0,5.6
"Stomach",4.6,9.1,5.7,14.2,3.8,15.3,9.1,24.6,0.8,4,1,11.3,1.2,2.2,0.8,5.2,1,4.3,1.4,10.6,0.2,0.6,0,5.5
"Colorectal",17,37.6,29.7,47.1,9.2,41.1,29.8,55.6,7.8,36,25,50.5,6,13.2,8.7,19.3,2.8,12.4,6.7,21.4,3.2,14.4,7.8,24.7
"Colon excluding rectum",12.6,27.3,20.8,35.4,6.6,29.4,20,42,6,26.6,17.5,39.1,4.8,10.3,6.4,15.7,2.4,10.3,5.2,18.8,2.4,10.3,5,19.3
"Rectum & rectosigmoid",4.4,10.3,6.3,16.1,2.6,11.7,6,20.8,1.8,9.5,4,18.9,1.2,2.9,1,6.8,0.4,2,0.2,7.7,0.8,4.1,0.9,11.5
"Liver / intrahepatic bile duct",3.2,6.4,3.5,11,1.6,6.5,2.8,13.6,1.6,6.7,2.6,14.6,3,5.7,3.2,9.8,2.2,9.6,4.7,17.8,0.8,2.6,0.7,8.2
"Pancreas",8,15.7,11.2,21.8,4.4,18.8,11.7,29.1,3.6,12.9,7.6,21.4,6.4,13,8.8,18.9,3.2,14.2,8,23.6,3.2,12.3,6.7,21.4
"Larynx",1,2.3,0.7,5.7,0.8,3.9,1,10.4,0.2,0.8,0,5.9,0.6,1.2,0.2,4.1,0.4,1.5,0.2,6.5,0.2,1,0,6.4
"Lung and bronchus",36.6,75.5,64.7,87.9,17.2,74.7,59.4,93,19.4,78,62.7,96.5,23.4,48,39.5,58,10.6,46.2,34.3,61.3,12.8,49.4,37.8,64.1
"Melanoma of the skin",12.6,29.6,22.4,38.5,8.4,40,28.5,54.9,4.2,21,12.5,33.2,1.2,2.7,0.9,6.3,0.2,0.7,0,5.3,1,4.7,1.3,12
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,28.4,126.9,105.5,151.6,NA,NA,NA,NA,NA,NA,NA,NA,4.4,17.9,10.8,28.3
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,9,3.7,18.4,NA,NA,NA,NA,NA,NA,NA,NA,0.8,3.6,0.9,10.2
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,10.8,45,33.3,60.1,NA,NA,NA,NA,NA,NA,NA,NA,1,3.5,1.1,9.5
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.6,11.4,5.9,20.6,NA,NA,NA,NA,NA,NA,NA,NA,2.4,9.4,4.8,17.3
"Prostate",NA,NA,NA,NA,30.2,123.7,104.3,145.9,NA,NA,NA,NA,NA,NA,NA,NA,2.6,12.8,6.8,22.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,10.4,4.6,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",10.6,21.4,15.9,28.4,7.4,32.1,22.4,45,3.2,11.5,6.5,19.8,0.8,1.5,0.4,4.5,0.4,2,0.2,7.8,0.4,1.2,0.1,6.3
"Kidney and renal pelvis",10.2,25.8,18.8,34.4,6.4,31,20.8,44.6,3.8,20.2,11.6,32.6,1.2,2.4,0.9,5.7,0.8,2.8,0.8,8.3,0.4,1.9,0.2,7.8
"Brain and other central nervous system",3.6,9.2,5.3,14.9,1.6,8.1,3.4,16.5,2,10.5,4.7,20.3,2.4,4.7,2.4,8.6,1.2,4.7,1.7,11.1,1.2,4.8,1.6,11.6
"Thyroid",4.8,15.1,9.5,22.7,1.6,9.9,4.1,19.7,3.2,21.2,11.8,34.8,0,0,0,2.2,0,0,0,4.3,0,0,0,4.8
"Hodgkin lymphoma",2.8,7.1,3.8,12.4,1.6,8.4,3.5,17.1,1.2,5.8,2,13.6,0.4,1.1,0.1,4.1,0,0,0,4.3,0.4,2.2,0.2,8.6
"Non-Hodgkin lymphomas",9.6,20.9,15.2,28.1,5.6,26.1,17.1,38.4,4,15.6,9.3,25.2,3.2,7,3.9,11.8,1.6,8.3,3.5,16.7,1.6,6.1,2.6,13.2
"Myeloma",2.4,5,2.6,9.1,1.8,8.4,3.8,16.5,0.6,2.4,0.5,8.1,1.4,2.9,1.2,6.4,0.8,3.6,1,9.8,0.6,2.5,0.5,8.5
"Leukemias",8.4,19.5,13.8,26.8,5.8,28.6,18.8,41.8,2.6,11.3,5.9,20.2,3.2,7.5,4.2,12.5,2.6,13.6,7.2,23.6,0.6,2.4,0.5,8.2
