"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",642.2,484.5,467.2,502.3,341.4,529.5,503.8,556.1,300.8,450.6,426.9,475.4,229,167.1,157.3,177.3,122,195.3,179.8,211.9,107,144.9,132.5,158.3
"Oral cavity and pharynx",19.2,13.3,10.7,16.5,15.2,21.8,17,27.6,4,5.6,3.3,9,3.8,2.8,1.7,4.5,3,4.8,2.6,8.1,0.8,1.1,0.3,3.1
"Esophagus",7.2,5.3,3.7,7.5,5.6,8.8,5.8,13,1.6,2.1,0.9,4.5,5.8,4.5,3,6.6,4.8,8.3,5.3,12.5,1,1.2,0.4,3.2
"Stomach",5.6,4.2,2.7,6.2,3.8,6.1,3.6,9.7,1.8,2.8,1.2,5.6,2.2,1.6,0.8,3,1.2,2,0.7,4.6,1,1.3,0.4,3.4
"Colorectal",57,41.9,37.1,47.3,30.2,46.9,39.6,55.4,26.8,37.9,31.5,45.4,20.4,14.9,12.1,18.2,11.4,18.3,13.8,24,9,11.9,8.6,16.3
"Colon excluding rectum",42.4,31.1,27,35.8,22,34.3,28,41.6,20.4,28.5,23.1,35.1,14.4,10.6,8.2,13.5,7.8,12.9,9.1,17.8,6.6,8.5,5.7,12.3
"Rectum & rectosigmoid",14.6,10.8,8.4,13.8,8.2,12.7,9,17.5,6.4,9.3,6.2,13.6,6,4.3,2.9,6.2,3.6,5.4,3.2,8.9,2.4,3.5,1.7,6.4
"Liver / intrahepatic bile duct",6.4,4.4,3,6.3,4.6,6.9,4.3,10.6,1.8,2.2,1,4.5,6.2,4.4,2.9,6.3,4,5.8,3.5,9.3,2.2,3.1,1.5,5.8
"Pancreas",20.2,15,12.1,18.3,9.6,15.5,11.3,20.8,10.6,14.4,10.7,19.3,16.6,11.9,9.5,14.9,9,14.5,10.5,19.6,7.6,9.6,6.8,13.5
"Larynx",7.8,5.7,4,7.9,6.2,9,6,13.1,1.6,2.5,1,5.1,2.6,2,1,3.6,2,3.1,1.4,6.1,0.6,0.9,0.2,3
"Lung and bronchus",99,70.8,64.5,77.5,54.6,82,72.3,92.8,44.4,60.9,53,69.8,65.4,47,42,52.6,38.6,59.6,51.3,69,26.8,35.7,29.8,42.6
"Melanoma of the skin",28.2,24,20,28.5,16.6,28.4,22.4,35.6,11.6,20.9,15.6,27.5,4.6,3.7,2.3,5.7,2.8,4.9,2.6,8.5,1.8,2.6,1.2,5.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,81.4,123.4,111,136.9,NA,NA,NA,NA,NA,NA,NA,NA,13.8,18.6,14.3,24
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,5,8.4,5.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.9,0.8,4.1
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,20.6,30.9,24.9,38,NA,NA,NA,NA,NA,NA,NA,NA,3,4.1,2.3,7.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.4,8,5.2,12,NA,NA,NA,NA,NA,NA,NA,NA,5.6,8.3,5.4,12.3
"Prostate",NA,NA,NA,NA,79.4,113.8,102.6,126,NA,NA,NA,NA,NA,NA,NA,NA,11.2,18.8,14.1,24.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.8,6.6,3.6,11,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,1.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",34.2,25,21.3,29.2,26.4,42.1,35.1,50.2,7.8,10.4,7.3,14.5,6,4.2,2.8,6.2,5,8.2,5.3,12.2,1,1.3,0.4,3.4
"Kidney and renal pelvis",20,15.9,12.8,19.6,11.8,20.1,15.1,26.3,8.2,11.7,8.2,16.2,4,2.8,1.7,4.4,2.2,3.2,1.6,6,1.8,2.6,1.2,5.2
"Brain and other central nervous system",7.6,6.9,4.8,9.6,4.6,8.5,5.3,13.1,3,5.3,2.8,9,6.4,5.4,3.6,7.9,3.2,5.3,2.9,9,3.2,5.6,3.1,9.4
"Thyroid",14,14.2,10.9,18.2,3.8,7.5,4.3,12,10.2,21.1,15.4,28,1,0.6,0.2,1.6,0.6,0.7,0.2,2.6,0.4,0.5,0.1,2.2
"Hodgkin lymphoma",1.2,1.2,0.4,2.7,0.6,1.4,0.3,4.1,0.6,1,0.2,3.2,0.2,0.3,0,1.5,0,0,0,1.6,0.2,0.6,0,2.9
"Non-Hodgkin lymphomas",24.6,19.3,15.9,23.2,11.8,19.7,14.8,25.6,12.8,19.2,14.6,24.9,8,6.2,4.4,8.6,3.8,6.4,3.8,10.3,4.2,5.9,3.6,9.5
"Myeloma",7.4,5.7,4,7.9,5,8.2,5.3,12.4,2.4,3.3,1.7,6.1,3.8,2.7,1.6,4.4,1.4,2.4,1,5.2,2.4,3,1.5,5.5
"Leukemias",20,14.4,11.7,17.7,11.8,17.3,13.1,22.5,8.2,11.7,8.3,16.2,6.6,4.7,3.2,6.8,2.8,4.7,2.5,8,3.8,4.7,2.8,7.7
