"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",344.2,504.1,479.5,529.8,177.8,533.7,497.9,571.6,166.4,482,447.9,518.3,93,128.4,116.8,141.1,48.8,146,127.9,166.3,44.2,114,99,130.9
"Oral cavity and pharynx",7.6,10.8,7.5,15.2,6.4,19,12.7,27.6,1.2,2.6,1,6.6,0.6,0.8,0.2,2.7,0.6,1.6,0.3,5.6,0,0,0,3.2
"Esophagus",3.4,4.5,2.6,7.6,2.6,7.4,3.9,13.2,0.8,2,0.5,6,2.8,3.8,2.1,6.6,2.6,7.7,4,13.6,0.2,0.5,0,4
"Stomach",4.4,5.8,3.6,9.1,3.2,8.6,4.9,14.6,1.2,3.3,1.1,7.9,1.2,1.8,0.6,4.2,0.8,2.4,0.6,7,0.4,1.1,0.1,4.9
"Colorectal",27,39.3,32.7,47,15.4,47.9,37.4,60.7,11.6,30.9,23.2,40.7,9.6,12.9,9.5,17.4,4.8,14,8.9,21.3,4.8,12,7.6,18.5
"Colon excluding rectum",18.4,26.5,21.2,32.9,10.2,31.2,22.9,41.7,8.2,21.8,15.4,30.4,7,9.3,6.5,13.2,3.4,9.7,5.6,16.1,3.6,8.9,5.2,14.7
"Rectum & rectosigmoid",8.6,12.8,9.1,17.6,5.2,16.7,10.7,25.2,3.4,9.1,5.2,15.2,2.6,3.6,1.9,6.4,1.4,4.2,1.7,9.3,1.2,3.1,1.1,7.5
"Liver / intrahepatic bile duct",6,8,5.3,11.8,4.2,11.8,7.1,18.9,1.8,4.5,2,9.2,3,4.4,2.4,7.5,2.2,7.1,3.4,13.4,0.8,2,0.5,6
"Pancreas",7.8,10.6,7.5,14.9,3.8,11.8,6.9,19.1,4,9.6,5.8,15.4,7,9.6,6.6,13.6,3,9,4.9,15.5,4,9.9,6,16
"Larynx",2.4,3.6,1.8,6.6,2.2,6.4,3.1,12.1,0.2,0.9,0,5,0.4,0.7,0.1,2.8,0.4,1.4,0.1,5.6,0,0,0,3.2
"Lung and bronchus",47.8,65.6,57.4,74.9,25.2,72.8,60.5,87.2,22.6,59.9,49,72.9,28,37.7,31.6,44.8,14.2,41.4,32.2,52.7,13.8,34.8,26.9,44.7
"Melanoma of the skin",19.6,30.1,24.2,37.1,13,41.7,31.8,53.8,6.6,19.6,13.1,28.4,1,1.8,0.6,4.5,0.4,1.3,0.2,5.3,0.6,2.4,0.4,7.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,50,147.6,128.7,168.5,NA,NA,NA,NA,NA,NA,NA,NA,5,14.2,8.9,22
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,9.8,4.9,17.4,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.4,0.3,5.1
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,12.6,34.6,26.3,45,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.7,1.4,8.5
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,3.4,8.9,5.1,15,NA,NA,NA,NA,NA,NA,NA,NA,2,5.2,2.5,10.2
"Prostate",NA,NA,NA,NA,38.4,102.5,88.3,118.6,NA,NA,NA,NA,NA,NA,NA,NA,6,17.9,12.1,26.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.2,10.6,5.2,19.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",22.2,30.2,24.8,36.7,17.4,50.7,40.4,63.1,4.8,12.3,7.8,18.9,3,4,2.2,6.9,2,5.4,2.6,10.6,1,2.6,0.8,6.9
"Kidney and renal pelvis",9.8,14.6,10.7,19.7,5.6,17.8,11.6,26.4,4.2,11.8,7.2,18.7,2.4,3.5,1.8,6.4,1.2,3.8,1.3,8.9,1.2,3.2,1.2,7.7
"Brain and other central nervous system",3,5.3,2.9,9,2,7.9,3.7,14.8,1,2.7,0.8,7.2,1.8,2.6,1.2,5.3,1.2,3.9,1.4,9,0.6,1.4,0.3,5.1
"Thyroid",11.2,21.6,15.9,28.5,2.8,9.1,4.8,16,8.4,34.2,24.1,47,0.2,0.3,0,2,0.2,0.6,0,4.1,0,0,0,3.2
"Hodgkin lymphoma",0.8,1.7,0.4,4.5,0.6,2.9,0.6,8.4,0.2,0.4,0,3.8,0,0,0,1.6,0,0,0,3.2,0,0,0,3.2
"Non-Hodgkin lymphomas",11.8,18.3,13.7,24,7.6,24.4,17,34.3,4.2,12.7,7.7,20.2,2.8,3.8,2.1,6.7,1.6,4.7,2,9.9,1.2,3.1,1.1,7.5
"Myeloma",5,6.9,4.4,10.4,2.2,6.4,3.2,12.1,2.8,7.5,4.1,13.2,1.2,1.6,0.6,3.9,0.8,2.2,0.6,6.5,0.4,1,0.1,4.7
"Leukemias",12.8,19.5,14.8,25.4,7.8,25.3,17.7,35.4,5,14.7,9.2,22.4,2.8,3.6,2,6.4,1.8,5.4,2.4,10.8,1,2.4,0.8,6.5
