"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",433.4,508.3,486.4,531,230.2,556.7,524,591,203.2,475.7,445.3,507.7,141.8,163,151,175.9,75.6,189.9,170.7,210.7,66.2,142.3,126.8,159.3
"Oral cavity and pharynx",11.2,12.6,9.4,16.5,7.8,17.7,12.5,24.7,3.4,7.6,4.3,12.8,2.2,2.7,1.3,5.1,1.4,3.5,1.3,7.7,0.8,1.6,0.4,4.9
"Esophagus",5,5.6,3.6,8.4,3.6,8,4.7,13.1,1.4,3.2,1.2,7.2,4.2,5,3,7.9,2.6,6.6,3.5,11.6,1.6,4.1,1.6,8.6
"Stomach",5.6,6.8,4.4,10.2,3.8,9.4,5.5,15.2,1.8,4.1,1.7,8.5,1.6,1.9,0.8,4,1.2,3.1,1,7.1,0.4,0.7,0.1,3.7
"Colorectal",33.8,39.9,33.9,46.7,18,44,35.1,54.6,15.8,35.7,27.9,45.3,12,13.3,10,17.4,6.2,14.2,9.5,20.6,5.8,11.5,7.5,17.3
"Colon excluding rectum",23.8,28.5,23.4,34.3,11.8,29.8,22.5,38.9,12,26.7,20.1,35.1,9.2,10.4,7.5,14.1,4.6,11,6.8,17,4.6,9.3,5.7,14.6
"Rectum & rectosigmoid",10,11.4,8.4,15.4,6.2,14.2,9.5,20.6,3.8,9,5.2,14.8,2.8,2.9,1.6,5.1,1.6,3.2,1.4,6.8,1.2,2.3,0.8,5.7
"Liver / intrahepatic bile duct",7.8,8.7,6.1,12.2,6.2,14.4,9.6,20.8,1.6,3.6,1.5,7.6,4.4,5.2,3.2,8.1,3,7.2,3.9,12.3,1.4,3,1.2,6.9
"Pancreas",11.4,13.2,9.9,17.3,6.8,16.1,11,23,4.6,9.8,6.1,15.3,9.2,10.7,7.8,14.5,5.4,13.3,8.6,19.8,3.8,8,4.8,13
"Larynx",4.8,5.3,3.3,8.1,3.6,8.2,4.8,13.4,1.2,3.1,1,7.4,1.4,1.6,0.6,3.6,1.2,3.2,1.1,7.2,0.2,0.4,0,3.1
"Lung and bronchus",67.8,75.8,67.8,84.6,34.8,83.5,71.2,97.4,33,69.9,59.5,82,39.4,44.1,38.1,51,20.6,49.5,40.2,60.5,18.8,39,31.4,48.2
"Melanoma of the skin",20.8,25.2,20.4,30.9,12.6,33,25.1,42.6,8.2,19.9,13.9,27.7,3,3.4,1.9,5.7,2,5.6,2.6,10.5,1,1.9,0.6,5.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,56.2,134.6,118.4,152.5,NA,NA,NA,NA,NA,NA,NA,NA,8,18,12.6,25.3
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3,9.3,5,15.8,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0.6,5.3
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,14.8,32.4,25.2,41.4,NA,NA,NA,NA,NA,NA,NA,NA,2.2,5.5,2.6,10.4
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,3.8,8.9,5.3,14.4,NA,NA,NA,NA,NA,NA,NA,NA,2.8,6.3,3.4,11.1
"Prostate",NA,NA,NA,NA,46.6,104.7,91.5,119.6,NA,NA,NA,NA,NA,NA,NA,NA,6.8,17.3,11.9,24.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.4,5,2,10.3,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.8,0,4.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",22.6,25.4,20.9,30.8,18.4,44.4,35.6,54.9,4.2,8.9,5.5,14.1,2.4,2.9,1.4,5.2,1.6,4.3,1.8,8.7,0.8,2.1,0.4,6
"Kidney and renal pelvis",16.6,19.2,15.2,24.1,11.6,28.1,21.1,36.8,5,11.2,7.2,16.9,4.8,5.2,3.3,7.9,3.2,7.4,4.2,12.4,1.6,3.3,1.4,7.1
"Brain and other central nervous system",7.4,9.5,6.5,13.4,4.8,12.6,7.9,19.2,2.6,6.6,3.3,12,5,6.1,3.9,9.2,2.8,6.7,3.6,11.8,2.2,5.9,2.9,11.1
"Thyroid",11.8,17.6,13.2,23,3,8,4.3,13.6,8.8,28.7,20.4,39.1,0.2,0.3,0,1.7,0.2,0.6,0,3.5,0,0,0,2.7
"Hodgkin lymphoma",1.4,1.9,0.7,4.1,0.8,1.8,0.5,5.1,0.6,2,0.4,6.1,0.4,0.5,0.1,2.1,0,0,0,2.5,0.4,0.9,0.1,4
"Non-Hodgkin lymphomas",18.2,22,17.5,27.3,11.4,28.3,21.2,37.2,6.8,15.1,10.3,21.7,4.6,5.6,3.5,8.6,2.8,7.4,3.9,12.8,1.8,3.9,1.8,8
"Myeloma",8.6,9.9,7.1,13.5,5.4,12.9,8.4,19.1,3.2,7.5,4.3,12.6,3,3.4,1.9,5.8,1.8,4.4,2,8.8,1.2,2.4,0.9,6
"Leukemias",12.6,15.8,12,20.4,7.2,19,13.2,26.6,5.4,12.9,8.2,19.4,4.4,5.3,3.3,8.2,2.4,6.8,3.5,12.1,2,4,1.9,7.9
