"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",285.2,545.2,516.4,575.2,149,572.7,530.7,617.4,136.2,541,499.2,585.6,86.2,166.1,150.5,183,44.2,186.3,161.6,213.8,42,155.4,134.6,178.9
"Oral cavity and pharynx",7.8,14,9.8,19.5,5,18.1,11.5,27.5,2.8,9.9,5.3,17.6,1.6,2.8,1.2,5.8,1.4,5.3,2,11.6,0.2,0.6,0,5
"Esophagus",3.6,6.3,3.7,10.3,2.8,9.4,5,16.5,0.8,3,0.8,8.6,3,5.5,3,9.4,2.4,9.4,4.7,17,0.6,2,0.4,7
"Stomach",4.8,9,5.7,13.7,3.8,14.1,8.3,22.6,1,4.2,1.2,10.8,1.4,2.6,1,5.8,1.2,4.1,1.5,9.7,0.2,0.8,0,5.5
"Colorectal",21.4,44.4,36.2,54.1,11.4,46,34.5,60.4,10,41.8,30.5,56.1,5.4,11.1,7.2,16.4,2.4,10.7,5.4,19.2,3,11.2,6.1,19.5
"Colon excluding rectum",13.4,28.1,21.6,35.9,5.6,23.8,15.5,34.9,7.8,31.8,22.2,44.4,4,7.9,4.8,12.6,1.6,6.8,2.8,14,2.4,8.9,4.4,16.5
"Rectum & rectosigmoid",8,16.4,11.5,22.6,5.8,22.3,14.7,32.6,2.2,10,4.8,18.6,1.4,3.1,1.2,6.7,0.8,3.9,1,10.1,0.6,2.4,0.5,7.8
"Liver / intrahepatic bile duct",4,7.9,4.7,12.6,3.2,12.7,7,21.3,0.8,2.4,0.6,7.4,3.2,5.9,3.3,9.8,2.2,8.2,3.9,15.3,1,3.1,1,8.4
"Pancreas",8.4,16,11.5,21.9,4.2,16.5,10,25.9,4.2,15.6,9.6,24.6,5.8,11.5,7.6,16.7,2.6,11,5.7,19.4,3.2,12.3,6.9,20.7
"Larynx",2.2,3.8,1.9,7.1,1.4,5,1.9,11,0.8,2.7,0.7,8.1,1.4,2.8,1.1,6.1,1,4.6,1.4,11,0.4,1.5,0.2,6.6
"Lung and bronchus",37.6,69.4,59.6,80.4,19.4,74.4,59.9,91.6,18.2,65,52.1,80.5,23,44.1,36.3,53.3,12.2,49.4,37.4,64.2,10.8,39.2,29.3,51.8
"Melanoma of the skin",12.8,25.1,19.2,32.5,8.8,32.6,23.4,44.6,4,19.8,11.7,31.4,2,3.6,1.7,7,1.4,5.6,2.1,12.2,0.6,2.6,0.5,8.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,42.2,170.7,147.3,197,NA,NA,NA,NA,NA,NA,NA,NA,5.4,20,13.1,29.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2,8.6,3.9,16.7,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.7,0.5,8.5
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,10.2,38.3,28.4,51.1,NA,NA,NA,NA,NA,NA,NA,NA,2.4,8.2,4.2,15.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.8,10.6,5.6,18.8,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6.9,3.1,14
"Prostate",NA,NA,NA,NA,38.6,134.6,115.5,156.1,NA,NA,NA,NA,NA,NA,NA,NA,4.2,20.7,12.6,32,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1,4.3,1.4,10.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",12.8,25.1,19.2,32.4,11,47,34.9,61.8,1.8,6.5,2.9,13.1,1.6,3.4,1.5,6.9,1.2,5.9,2.1,13,0.4,2.2,0.3,8.2
"Kidney and renal pelvis",8.6,16.2,11.6,22.3,6.6,25.7,17.4,36.9,2,7,3.2,13.8,1.8,3.3,1.5,6.6,1.4,5.5,2.1,11.9,0.4,1.7,0.2,7.1
"Brain and other central nervous system",3.2,7,3.9,11.7,1.4,6.2,2.4,13.3,1.8,7.2,3.1,14.6,2.4,4.4,2.2,8,1.2,3.7,1.3,9,1.2,4.7,1.6,11.2
"Thyroid",8.2,17.1,12.1,23.6,1.6,6.2,2.6,12.9,6.6,31.6,21.2,45.5,0,0,0,1.9,0,0,0,3.7,0,0,0,4.2
"Hodgkin lymphoma",1.8,4.4,2,8.5,1,4.4,1.4,10.6,0.8,4.1,1.1,10.9,0.2,0.5,0,2.8,0,0,0,3.7,0.2,0.9,0,5.7
"Non-Hodgkin lymphomas",14.4,28.5,22.2,36.3,8.2,33.6,23.8,46.2,6.2,26,17.3,37.8,3.2,6.4,3.7,10.6,2,9.7,4.5,18,1.2,4.4,1.6,10.5
"Myeloma",3,6.3,3.5,10.6,1.8,7.8,3.5,15.3,1.2,5.5,1.9,12.8,2.2,4.5,2.2,8.2,1,3.9,1.2,9.8,1.2,5,1.8,11.5
"Leukemias",9.6,17.7,13,23.9,5.8,23.3,15.3,34.3,3.8,14.8,8.8,23.9,3.4,6.6,3.8,10.9,1.4,5.9,2.3,12.5,2,7.3,3.4,14.1
