"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",169.4,495.2,460.4,532.2,88.2,520.6,470.9,574.5,81.2,480.3,431,534,56,160.9,141.9,181.9,29.4,184.6,155,218.7,26.6,143.1,118.7,171.6
"Oral cavity and pharynx",6.8,20.9,14,30.1,5.2,31.2,20.1,47,1.6,12.9,5,26.6,1,2.6,0.8,6.8,0.8,4.5,1.2,12.9,0.2,0.8,0,7.2
"Esophagus",3.6,9.9,5.7,16.3,3,18.3,9.9,31.5,0.6,2.9,0.6,10.3,3,8.7,4.6,15.1,2.8,17.4,9.1,30.7,0.2,0.8,0,7.2
"Stomach",1.4,3.6,1.4,8.2,1.2,7.1,2.5,16.8,0.2,0.8,0,7.2,0.6,1.6,0.3,5.4,0.4,2.2,0.2,9.8,0.2,1.1,0,7.8
"Colorectal",10.8,31.5,23.2,42,4.6,28.4,17.5,44.2,6.2,33.2,21.8,49,4.2,11.9,7.2,18.9,2,13.2,6.1,25.4,2.2,10.4,5.1,20.1
"Colon excluding rectum",8,23.1,16.1,32.3,3,18.3,9.8,31.8,5,26,16.2,40.1,3.6,10.2,5.9,16.7,1.8,11.7,5.1,23.5,1.8,8.4,3.8,17.4
"Rectum & rectosigmoid",2.8,8.4,4.4,14.9,1.6,10.1,4.1,21.2,1.2,7.3,2.4,17.2,0.6,1.8,0.4,5.8,0.2,1.5,0,9,0.4,2,0.2,9.1
"Liver / intrahepatic bile duct",2,6.3,2.9,12.1,0.8,4.8,1.2,13.6,1.2,7.8,2.7,17.9,1.2,3.5,1.3,8.2,0.4,2.5,0.3,10.3,0.8,4.1,1,12.1
"Pancreas",4.6,11.9,7.5,18.4,2.2,11.7,5.7,22.3,2.4,11.5,5.9,21.4,3.6,9.4,5.5,15.4,1.2,6.8,2.4,16.1,2.4,11.1,5.7,20.9
"Larynx",1.4,3.8,1.5,8.5,1.2,7.5,2.7,17.5,0.2,1.1,0,7.8,0.6,1.7,0.3,5.6,0.2,1.4,0,8.7,0.4,2.3,0.3,9.7
"Lung and bronchus",24.2,66.2,54.6,79.9,11.4,66.7,49.9,87.8,12.8,67.9,51.8,88,14.8,41.3,32.2,52.5,8.2,49.4,34.9,68.4,6.6,34.4,23.5,49.4
"Melanoma of the skin",9.8,31.8,22.7,43.3,6.4,42.9,28.3,62.5,3.4,23.1,12.5,38.9,1,2.5,0.8,6.6,0.6,3.2,0.6,11.2,0.4,2,0.2,9.2
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,20.2,120.6,96.6,149,NA,NA,NA,NA,NA,NA,NA,NA,3.2,20.2,11.2,34
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.4,13.2,4.9,27.5,NA,NA,NA,NA,NA,NA,NA,NA,0.6,6.8,1.3,18.9
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,6,33.6,21.9,49.9,NA,NA,NA,NA,NA,NA,NA,NA,1,4.4,1.4,12.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2,11.6,5.3,22.7,NA,NA,NA,NA,NA,NA,NA,NA,0.8,4.3,1.1,12.5
"Prostate",NA,NA,NA,NA,23.4,125.9,103.7,152.3,NA,NA,NA,NA,NA,NA,NA,NA,3.8,25.2,15.1,40.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,0.2,1.1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.5,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",9,24.5,17.7,33.4,7.2,41,28.4,57.9,1.8,10.9,4.8,21.9,1.4,3.8,1.5,8.4,0.8,5.5,1.5,14.8,0.6,3.4,0.7,11.2
"Kidney and renal pelvis",6,17.6,11.4,26.1,4.2,25.6,15.2,41,1.8,10.2,4.1,21.3,1.2,3.2,1.2,7.6,0.6,3.5,0.7,11.8,0.6,2.9,0.6,10.2
"Brain and other central nervous system",2,5.6,2.6,10.9,1,4.9,1.6,13.3,1,6.3,1.9,15.7,1.8,5.3,2.3,10.7,1,6.2,1.8,16,0.8,4.3,1.2,12.4
"Thyroid",3.4,12.9,7.2,21.4,1,6.6,2.1,16.5,2.4,19.8,9.6,35.5,0,0,0,3.2,0,0,0,6.5,0,0,0,6.2
"Hodgkin lymphoma",0.4,1.4,0.1,5.6,0.4,2.7,0.3,11,0,0,0,6.2,0,0,0,3.2,0,0,0,6.5,0,0,0,6.2
"Non-Hodgkin lymphomas",7.6,24.9,17.1,35.1,5,33.3,20.9,50.8,2.6,16.6,8.2,30.1,1.6,4.4,1.9,9.3,0.8,4.5,1.2,12.9,0.8,4.2,1.1,12.2
"Myeloma",2.6,7.9,4.1,14.1,1.2,7.3,2.6,17,1.4,8.7,3.3,19.2,1,2.9,0.9,7.3,0.4,2.9,0.4,11.2,0.6,2.8,0.5,10.1
"Leukemias",5,15.2,9.5,23.3,1.8,11.9,5.3,23.6,3.2,18.6,10,32.1,2.6,8.2,4.2,14.6,1.4,9.6,3.8,20.5,1.2,6.9,2.3,16.6
