"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",311,506.2,480.2,533.2,170.2,556.2,518.2,596.5,140.8,463.5,427.9,501.5,107.6,167.9,153.7,183.2,55.8,188.6,166.6,212.9,51.8,151.9,133.4,172.6
"Oral cavity and pharynx",8.6,12.6,9,17.3,6.4,19,12.9,27.5,2.2,6.3,3,12,0.8,1.2,0.3,3.4,0.8,2.6,0.7,7.3,0,0,0,3.4
"Esophagus",5.6,8.4,5.5,12.5,4.4,13.8,8.5,21.6,1.2,3.6,1.3,8.4,3.4,5.5,3.2,9.1,2.8,10,5.4,17.2,0.6,1.6,0.3,5.7
"Stomach",5.2,8.2,5.3,12.3,2.6,8.4,4.4,14.9,2.6,8.3,4.3,14.8,1.6,2.4,1,5.1,0.6,2.2,0.4,6.8,1,2.8,0.9,7.3
"Colorectal",31.8,52.4,44.3,61.6,17.4,59.5,47.3,74,14.4,45.7,35.3,58.6,12.2,19.3,14.7,25.1,6.4,22.4,15.2,32.1,5.8,16.3,10.7,24.3
"Colon excluding rectum",21.6,35.9,29.2,43.7,11,38.7,28.9,50.9,10.6,34,25,45.4,10,16,11.7,21.4,5.2,18.6,12,27.6,4.8,13.6,8.5,21.2
"Rectum & rectosigmoid",10.2,16.5,12.1,22,6.4,20.8,14,30,3.8,11.7,6.9,19,2.2,3.4,1.7,6.3,1.2,3.8,1.4,9,1,2.7,0.8,7.1
"Liver / intrahepatic bile duct",3,4.7,2.6,8,1.8,5.6,2.5,11.2,1.2,3.9,1.4,9,2.2,3.4,1.7,6.3,1,3.2,1,8.2,1.2,3.5,1.3,8.4
"Pancreas",9,13.8,10,18.8,3.4,10.2,5.8,17,5.6,16.6,10.9,24.7,6.2,9.7,6.5,14,2.8,8.3,4.4,14.5,3.4,10.6,6.1,17.7
"Larynx",3,4.7,2.6,8,2.8,8.7,4.7,15.3,0.2,0.8,0,4.9,1.2,2,0.7,4.5,1,3.6,1.2,8.8,0.2,0.5,0,4.1
"Lung and bronchus",48,73.6,64.4,83.9,26.2,83.8,69.7,100,21.8,65.2,53.3,79.3,30.8,46.9,39.6,55.1,16.8,55.1,43.8,68.8,14,40.2,31.3,51.4
"Melanoma of the skin",17.8,31.4,24.9,39.3,11.6,40.7,30.5,53.4,6.2,23.7,15.5,34.7,2.4,3.5,1.8,6.5,1.8,5.5,2.5,11.1,0.6,2.1,0.4,6.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,33.4,118.5,100,139.6,NA,NA,NA,NA,NA,NA,NA,NA,5.2,16.1,10.2,24.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,7.3,2.9,14.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,3.6,0.8,9.6
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,10,32.4,23.6,43.7,NA,NA,NA,NA,NA,NA,NA,NA,1.8,5.8,2.5,11.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,14,8.7,21.8,NA,NA,NA,NA,NA,NA,NA,NA,3.4,10,5.8,16.7
"Prostate",NA,NA,NA,NA,41.2,125,108.1,144.1,NA,NA,NA,NA,NA,NA,NA,NA,4,13.1,7.9,20.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,0.8,2.8,0.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.4,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",17.6,27.7,22,34.4,13.8,46.2,35.6,59.1,3.8,11.4,6.7,18.5,3,4.8,2.6,8.3,2.4,9.2,4.7,16.6,0.6,1.8,0.4,6
"Kidney and renal pelvis",10,16.5,12.1,22.2,5.6,18.6,12.1,27.6,4.4,14.3,8.8,22.4,2.8,4.1,2.2,7.2,2.2,7.4,3.6,13.8,0.6,1.6,0.3,5.6
"Brain and other central nervous system",4,7.4,4.4,11.8,2.4,9.1,4.5,16.4,1.6,5.7,2.3,11.9,2.4,3.6,1.8,6.7,1.4,3.8,1.5,8.7,1,3.5,1.1,8.8
"Thyroid",4.6,9.8,6,15,1.2,5.3,1.9,11.8,3.4,14.4,8,23.6,0.4,0.5,0.1,2.4,0,0,0,3.4,0.4,1,0.1,4.8
"Hodgkin lymphoma",1.4,2.4,0.9,5.3,0.8,3.1,0.8,8.4,0.6,1.6,0.3,5.8,0.2,0.3,0,2.2,0.2,0.7,0,4.6,0,0,0,3.4
"Non-Hodgkin lymphomas",9.8,16.4,11.9,22.1,5.8,20.1,13.1,29.6,4,13.2,7.8,21.1,2.8,4.8,2.5,8.3,1.6,6.3,2.6,12.9,1.2,3.3,1.2,8.1
"Myeloma",3.2,4.8,2.7,8.1,2.2,7,3.5,13.2,1,2.6,0.8,6.9,1,1.7,0.5,4.2,0.6,2.2,0.5,6.9,0.4,0.9,0.1,4.6
"Leukemias",7.8,12.8,9,17.8,5.2,19.3,12.4,28.8,2.6,7.2,3.8,13,3.8,5.9,3.5,9.5,1.8,6.4,2.9,12.6,2,5.5,2.6,10.8
