"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"1","All Invasive Malignant Tumors",1957.4,522.4,511.7,533.2,964.4,566.7,550.3,583.5,993,496.4,482,511.1,610,157.5,151.8,163.4,301.4,184.6,175.1,194.4,308.6,139.2,132.1,146.7,"Albany"
"2","Oral cavity and pharynx",51.6,13.3,11.7,15.1,36.2,20.5,17.5,23.8,15.4,7.3,5.7,9.3,9.2,2.2,1.6,3,6.8,3.6,2.5,5.1,2.4,1,0.5,1.9,"Albany"
"3","Esophagus",18.4,4.7,3.8,5.8,13.8,8.1,6.3,10.3,4.6,2.1,1.3,3.2,14,3.7,2.9,4.7,11.8,7.3,5.5,9.5,2.2,0.9,0.5,1.8,"Albany"
"4","Stomach",26.4,7.2,6,8.6,16.6,10.2,8.1,12.7,9.8,5.1,3.7,6.8,12,3.3,2.5,4.3,6.6,4.3,2.9,6,5.4,2.6,1.7,3.8,"Albany"
"5","Colorectal",141,37.2,34.4,40.1,69.8,41.7,37.3,46.5,71.2,32.9,29.4,36.8,45.8,11.7,10.2,13.4,19,11.5,9.2,14.1,26.8,11.8,9.8,14.1,"Albany"
"6","Colon excluding rectum",104,27.2,24.9,29.8,46.8,28.4,24.8,32.4,57.2,26,23,29.4,35.8,9.2,7.9,10.8,14.8,9.1,7.1,11.5,21,9.3,7.5,11.4,"Albany"
"7","Rectum & rectosigmoid",37,10,8.5,11.6,23,13.3,10.9,16.1,14,6.9,5.3,8.8,10,2.5,1.8,3.3,4.2,2.4,1.4,3.7,5.8,2.5,1.6,3.7,"Albany"
"8","Liver / intrahepatic bile duct",38.2,9.7,8.3,11.2,29.6,16.4,13.8,19.4,8.6,4.2,3,5.8,24.6,6.4,5.3,7.7,17.2,9.6,7.6,11.9,7.4,3.7,2.5,5.2,"Albany"
"9","Pancreas",60.6,15.8,14,17.8,29.2,17.9,15,21.1,31.4,14.2,12,16.7,45.4,11.8,10.3,13.5,21.8,13.3,10.9,16.2,23.6,10.5,8.7,12.7,"Albany"
"10","Larynx",13.8,3.4,2.6,4.4,10.4,5.8,4.3,7.6,3.4,1.6,0.9,2.6,3.6,0.8,0.5,1.4,2.4,1.3,0.7,2.4,1.2,0.5,0.2,1.2,"Albany"
"11","Lung and bronchus",271.6,70.2,66.4,74.1,129.8,77.6,71.6,84,141.8,65.2,60.4,70.3,162.6,42.5,39.5,45.6,81.2,49.2,44.4,54.4,81.4,37.4,33.7,41.4,"Albany"
"12","Melanoma of the skin",79.4,22.3,20.1,24.7,47.6,29.7,25.9,33.9,31.8,17.3,14.6,20.3,8.6,2.1,1.5,2.9,4.8,2.7,1.7,4.2,3.8,1.6,1,2.7,"Albany"
"13","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,287.4,151,142.9,159.4,NA,NA,NA,NA,NA,NA,NA,NA,43.8,20.5,17.7,23.5,"Albany"
"14","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,10.6,6.5,4.8,8.6,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.3,0.7,2.3,"Albany"
"15","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,65.8,31.5,28.1,35.3,NA,NA,NA,NA,NA,NA,NA,NA,11,5,3.7,6.6,"Albany"
"16","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,18.6,9.1,7.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,15.6,7,5.5,8.9,"Albany"
"17","Prostate",NA,NA,NA,NA,232.4,125.7,118.3,133.4,NA,NA,NA,NA,NA,NA,NA,NA,28.8,18.6,15.6,22,NA,NA,NA,NA,"Albany"
"18","Testis",NA,NA,NA,NA,11,7.6,5.7,10,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0,1.1,NA,NA,NA,NA,"Albany"
