"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",520.8,500.6,480.7,521.2,272.2,544.9,515.2,576,248.6,467.8,440.8,496.3,171.6,158.2,147.6,169.6,86.6,173.5,157.1,191.2,85,147.6,133.4,163.1
"Oral cavity and pharynx",16,15,11.8,19,11.4,22.8,17,30,4.6,7.3,4.6,11.3,4.4,3.8,2.3,5.9,3.2,5.9,3.3,10,1.2,1.6,0.6,4.1
"Esophagus",6,5.5,3.7,8.1,5.6,10.6,6.9,15.9,0.4,0.6,0.1,2.9,6.2,5.5,3.7,7.9,5.2,9.7,6.2,14.6,1,1.5,0.5,4
"Stomach",6,5.4,3.6,7.9,4.4,8.6,5.2,13.4,1.6,2.6,1.1,5.5,1.6,1.6,0.7,3.2,1,2.4,0.7,5.7,0.6,1,0.2,3.4
"Colorectal",40.8,41.7,35.9,48.2,21.2,45.4,36.9,55.5,19.6,38.6,30.9,47.7,15,14.4,11.3,18.3,7.2,14.7,10.2,20.7,7.8,14.2,9.9,20
"Colon excluding rectum",28.4,29.1,24.3,34.6,14.6,31.5,24.4,40.1,13.8,26.8,20.5,34.5,12.6,12.2,9.3,15.9,5.8,12.1,8,17.6,6.8,12.4,8.4,17.9
"Rectum & rectosigmoid",12.4,12.6,9.5,16.4,6.6,13.9,9.4,19.9,5.8,11.8,7.7,17.5,2.4,2.2,1.1,4,1.4,2.7,1.1,5.9,1,1.8,0.5,4.7
"Liver / intrahepatic bile duct",6.6,5.8,3.9,8.3,5.6,9.9,6.5,14.7,1,1.9,0.6,4.8,4.2,3.5,2.2,5.6,3,5.2,2.9,9,1.2,1.9,0.7,4.5
"Pancreas",14.6,13.8,10.7,17.5,8.4,16.4,11.6,22.5,6.2,11.6,7.7,16.9,10.4,9.4,7,12.5,6,11.9,7.9,17.3,4.4,7.5,4.7,11.7
"Larynx",4.6,4,2.5,6.3,4,7.7,4.5,12.3,0.6,0.9,0.2,3.1,0.6,0.5,0.1,1.8,0.4,0.8,0.1,3.2,0.2,0.3,0,2.3
"Lung and bronchus",80.4,72,65,79.7,41,79.1,68.4,91.2,39.4,67.2,57.8,77.7,51.6,47.5,41.8,53.9,26,51.2,42.6,61.2,25.6,44.3,36.8,53.2
"Melanoma of the skin",28.2,29.3,24.5,34.9,17.4,38,30.2,47.3,10.8,23.6,17.4,31.4,1.6,1.4,0.6,3,1.4,2.9,1.1,6.3,0.2,0.3,0,2.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,62.8,119.5,105.9,134.5,NA,NA,NA,NA,NA,NA,NA,NA,9.4,17.5,12.5,23.8
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.4,11,6.6,17.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.1,0.2,3.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19,36.8,29.3,45.7,NA,NA,NA,NA,NA,NA,NA,NA,3,5.4,2.9,9.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,6.2,11.8,7.8,17.1,NA,NA,NA,NA,NA,NA,NA,NA,5,8.2,5.3,12.5
"Prostate",NA,NA,NA,NA,66.8,119.4,106.7,133.5,NA,NA,NA,NA,NA,NA,NA,NA,5,10.6,6.8,15.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.8,8.6,4.6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",27.8,25.6,21.4,30.4,20.4,41.4,33.6,50.7,7.4,12,8.4,16.9,4.6,4.2,2.6,6.4,3,6.2,3.4,10.5,1.6,2.7,1.1,5.7
"Kidney and renal pelvis",19.2,19,15.2,23.5,12.2,26,19.6,34,7,12.9,8.9,18.3,3.8,3.3,2,5.4,2.6,4.9,2.6,8.8,1.2,2.3,0.8,5.2
"Brain and other central nervous system",7,7.8,5.4,11.1,4,9.7,5.8,15.2,3,6,3.3,10.2,5,5.3,3.4,8,2.6,5.5,2.8,9.8,2.4,5,2.5,9
"Thyroid",11.6,14.1,10.5,18.5,2.4,5.8,2.9,10.5,9.2,22.1,15.8,30,0.2,0.2,0,1.4,0,0,0,2,0.2,0.5,0,2.7
"Hodgkin lymphoma",2.6,3.3,1.7,5.7,1.6,3.8,1.6,7.8,1,2.9,0.9,6.7,0.8,0.7,0.2,2.1,0.2,0.5,0,2.9,0.6,0.8,0.2,3
"Non-Hodgkin lymphomas",20.2,19.4,15.7,23.8,10.4,21.9,16.2,29.2,9.8,16.6,12.2,22.2,7,6.1,4.2,8.7,3.2,6,3.4,10,3.8,5.9,3.6,9.7
"Myeloma",5.8,5.8,3.8,8.4,3,6.3,3.5,10.6,2.8,5.3,2.9,9.3,1.6,1.6,0.7,3.2,0.8,1.6,0.4,4.4,0.8,1.4,0.4,4
"Leukemias",15.6,15.2,11.9,19.2,7.6,17.1,11.9,23.8,8,14,9.8,19.6,4.2,3.9,2.4,6.1,2.4,5.4,2.8,9.6,1.8,3.1,1.4,6.3
