"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",549.2,522.6,502.5,543.4,294.4,581.8,551.5,613.4,254.8,476.8,449.5,505.5,179,163.6,152.7,175,95.8,193.7,176.3,212.4,83.2,141.9,128,157
"Oral cavity and pharynx",12.8,12,9.1,15.5,8.6,17,12.1,23.2,4.2,6.7,4.1,10.7,1.6,1.3,0.6,2.8,0.4,0.7,0.1,3,1.2,1.8,0.6,4.5
"Esophagus",7.4,6.4,4.5,9,6,10.8,7.2,15.7,1.4,2.5,1,5.6,7.4,6.3,4.4,8.8,6.6,12.1,8.3,17.4,0.8,1.1,0.3,3.6
"Stomach",8.4,8.5,6,11.6,6,12.6,8.5,18.3,2.4,4.9,2.4,9,2.4,2.6,1.3,4.7,2,4.8,2.2,8.9,0.4,0.6,0.1,2.9
"Colorectal",39.4,36.3,31.3,42.1,21,40.7,33,49.7,18.4,31.5,25,39.2,15.2,13.3,10.4,16.8,8.6,17.6,12.7,24,6.6,10.1,6.9,14.7
"Colon excluding rectum",27.2,24.5,20.4,29.2,11.4,22,16.5,28.8,15.8,26.2,20.5,33.3,12.8,11.2,8.6,14.5,7,14.5,10,20.4,5.8,8.8,5.8,13.1
"Rectum & rectosigmoid",12.2,11.9,9,15.5,9.6,18.7,13.6,25.2,2.6,5.2,2.6,9.4,2.4,2.1,1.1,3.8,1.6,3.1,1.3,6.4,0.8,1.3,0.3,4
"Liver / intrahepatic bile duct",6.6,6.2,4.2,9,4.2,8.2,5,12.9,2.4,4.5,2.2,8.3,7.2,6.7,4.6,9.5,5.6,11.4,7.4,16.7,1.6,2.7,1.1,5.7
"Pancreas",11.2,9.8,7.4,13,4.2,8.1,5,12.7,7,11.5,7.9,16.5,8.8,7.6,5.5,10.4,3.8,7.6,4.6,12.2,5,7.6,4.9,11.7
"Larynx",4.4,3.8,2.4,6,3.6,6.4,3.8,10.5,0.8,1.5,0.4,4.2,1.4,1.2,0.5,2.8,1.2,2.1,0.8,5,0.2,0.4,0,2.6
"Lung and bronchus",90.2,82.6,74.9,90.8,46.2,89.2,77.8,101.9,44,77.6,67.4,89.1,53.6,49.4,43.5,56,26.8,53.6,44.7,63.9,26.8,46.4,38.6,55.5
"Melanoma of the skin",26.6,27.7,23,33.1,14,29,22.4,37,12.6,27.8,21,36.2,3.2,3,1.7,5,2.2,4.7,2.3,8.7,1,1.5,0.5,4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,67.4,129.3,115,144.9,NA,NA,NA,NA,NA,NA,NA,NA,10.6,19.4,14.3,25.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.8,7.1,3.7,12.3,NA,NA,NA,NA,NA,NA,NA,NA,1,2.3,0.6,5.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.4,34.5,27.7,42.7,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.2,0.9,5.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.8,9.2,5.7,14.3,NA,NA,NA,NA,NA,NA,NA,NA,3,5.8,3.2,10
"Prostate",NA,NA,NA,NA,78.8,143.9,129.7,159.4,NA,NA,NA,NA,NA,NA,NA,NA,7.2,15.2,10.6,21.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,3.8,10.3,6.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",31,28.8,24.4,34,23.6,48,39.5,57.8,7.4,13,9,18.5,4.8,4.1,2.6,6.2,2.8,5.2,2.8,9.1,2,3.3,1.5,6.5
"Kidney and renal pelvis",18.4,18.3,14.6,22.8,13.2,25.9,19.8,33.5,5.2,10.6,6.7,16.1,5.2,4.3,2.8,6.5,3.4,6.3,3.6,10.4,1.8,2.8,1.3,5.9
"Brain and other central nervous system",6.4,7.1,4.7,10.2,4.2,9.5,5.7,14.8,2.2,4.9,2.3,9.2,3.8,3.7,2.2,6,2,4.3,2,8.1,1.8,3.2,1.4,6.6
"Thyroid",10.6,12.8,9.4,17,3.8,8.9,5.2,14.3,6.8,17.5,11.8,24.9,0.2,0.1,0,1.2,0.2,0.3,0,2.3,0,0,0,2.1
"Hodgkin lymphoma",2.6,2.9,1.5,5.2,2,4.6,2.2,8.7,0.6,1.4,0.3,4.4,0.4,0.4,0,1.6,0.4,1,0.1,3.6,0,0,0,2.1
"Non-Hodgkin lymphomas",22.6,22.8,18.6,27.7,12.4,26.3,20,34.1,10.2,20,14.5,26.9,6.8,6.3,4.3,9,3.2,6.7,3.7,11.1,3.6,6.2,3.5,10.2
"Myeloma",5,4.7,3,7.1,1.8,3.8,1.7,7.4,3.2,5.7,3.2,9.7,2,2,0.9,3.8,1.2,2.4,0.9,5.5,0.8,1.5,0.4,4.2
"Leukemias",19,18.5,14.8,22.9,12,24.5,18.5,31.9,7,12.8,8.7,18.4,6.2,5.7,3.8,8.3,3.8,7.7,4.6,12.3,2.4,4.1,2.1,7.6
