"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",941.2,530.1,514.3,546.3,500.8,587.2,563.6,611.6,440.4,486.4,464.9,508.7,296.4,157.3,149.2,165.9,156,185.6,172.5,199.6,140.4,136.4,126,147.4
"Oral cavity and pharynx",29.4,16.3,13.7,19.4,18.2,20.8,16.5,25.9,11.2,12.3,9.1,16.2,5.4,2.8,1.8,4.2,4,4.5,2.7,7.2,1.4,1.3,0.5,2.9
"Esophagus",12.2,6.9,5.2,9.1,8.8,10.9,7.8,14.9,3.4,3.5,2,5.9,9.6,5.7,4.1,7.7,7.4,9.1,6.3,12.7,2.2,2.8,1.3,5.3
"Stomach",12.6,7,5.3,9.2,9.6,11.7,8.5,15.8,3,3.2,1.7,5.5,5.2,2.7,1.8,4.1,4.4,5.2,3.2,8,0.8,0.8,0.2,2.3
"Colorectal",60.4,34.2,30.3,38.5,31.2,38.7,32.7,45.6,29.2,30.3,25.3,36.1,26,13.8,11.5,16.5,13.2,15.8,12.2,20.3,12.8,12.4,9.5,16.1
"Colon excluding rectum",43.8,24.7,21.4,28.4,21.8,27.6,22.5,33.5,22,22.1,18,27,21.6,11.3,9.2,13.8,11,13,9.8,17.1,10.6,10.2,7.5,13.6
"Rectum & rectosigmoid",16.6,9.5,7.5,12,9.4,11.2,8.1,15.1,7.2,8.2,5.6,11.7,4.4,2.5,1.5,3.8,2.2,2.8,1.4,5.1,2.2,2.2,1.1,4.2
"Liver / intrahepatic bile duct",14.8,7.7,6,9.7,11.8,12.8,9.7,16.7,3,3,1.6,5.2,11.2,5.6,4.2,7.4,8.4,8.8,6.3,12.1,2.8,2.7,1.4,4.8
"Pancreas",22,11.5,9.4,14,9.8,10.8,7.9,14.5,12.2,11.9,9,15.7,18,9.4,7.5,11.7,6.6,7.3,5,10.5,11.4,10.9,8.2,14.5
"Larynx",7,3.6,2.5,5.2,5.4,5.9,3.9,8.8,1.6,1.6,0.7,3.5,2.8,1.3,0.7,2.3,2.4,2.5,1.3,4.6,0.4,0.3,0,1.6
"Lung and bronchus",132.6,71.7,66.2,77.6,68.2,79.9,71.4,89.2,64.4,65.8,58.6,73.8,88.6,47.1,42.7,51.9,47,55.6,48.6,63.5,41.6,40.5,35,46.7
"Melanoma of the skin",43.4,26.7,23,30.8,25,31.7,26.2,38.1,18.4,23.1,18.2,28.9,4.4,2.4,1.5,3.8,2.2,2.7,1.3,5.1,2.2,2.2,1,4.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,121.4,136.2,124.9,148.4,NA,NA,NA,NA,NA,NA,NA,NA,15.4,14.9,11.6,19
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,5.8,7.9,5.1,11.7,NA,NA,NA,NA,NA,NA,NA,NA,2,1.9,0.9,3.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,32.8,36.9,31.1,43.6,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.4,3.5,8.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,10.6,11.6,8.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,6,6.5,4.3,9.6
"Prostate",NA,NA,NA,NA,148.2,159,147.5,171.3,NA,NA,NA,NA,NA,NA,NA,NA,10.6,12.6,9.4,16.7,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,4.8,8.2,5.2,12.3,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0,1.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",56.8,30.4,26.9,34.3,43.2,51.6,44.8,59.2,13.6,13,10,16.8,9.8,5.1,3.8,6.8,6.6,8,5.5,11.4,3.2,3,1.7,5.1
"Kidney and renal pelvis",30.8,18,15.1,21.4,21.4,26.3,21.3,32.2,9.4,10.8,7.7,14.8,7.2,3.7,2.6,5.3,4.4,5.4,3.3,8.3,2.8,2.4,1.3,4.3
"Brain and other central nervous system",11.6,7.7,5.8,10.2,6.2,8.8,5.8,12.7,5.4,6.8,4.3,10.2,7.8,4.6,3.2,6.5,4.4,5.9,3.6,9.2,3.4,3.7,2,6.2
"Thyroid",22.8,17.2,14,20.9,4.8,6.4,3.9,9.8,18,28.1,22.2,34.9,0.8,0.4,0.1,1.2,0.6,0.7,0.1,2.2,0.2,0.1,0,1.3
"Hodgkin lymphoma",4.8,3.8,2.4,5.8,1.6,2.6,1.1,5.2,3.2,5.1,2.9,8.5,0.6,0.3,0.1,1.1,0.2,0.3,0,1.7,0.4,0.4,0,1.7
"Non-Hodgkin lymphomas",36.6,20.6,17.6,24,19,23.4,18.8,29,17.6,18,14.2,22.5,10.8,5.6,4.2,7.4,5.2,6.4,4.2,9.6,5.6,5,3.3,7.6
"Myeloma",12.8,7.1,5.4,9.2,7.4,8.9,6.1,12.5,5.4,5.6,3.6,8.4,4.8,2.6,1.6,3.9,1.8,2.2,1,4.3,3,3,1.6,5.1
"Leukemias",30.2,16.6,14,19.7,16.2,19.7,15.5,24.8,14,13.8,10.6,17.8,10.8,5.6,4.2,7.5,6.8,8.1,5.5,11.5,4,3.6,2.1,5.8
