"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",608.8,537.4,517.8,557.7,310.6,583.3,553.8,614,298.2,507.9,480.9,536,198.6,165.1,154.7,176.1,106.6,202.6,185.4,221,92,136.2,123.5,149.9
"Oral cavity and pharynx",13.8,13,9.9,16.7,11,21.8,16.2,28.8,2.8,4.7,2.5,8.2,2.2,2,1,3.6,1.2,2.5,0.9,5.6,1,1.2,0.4,3.4
"Esophagus",7.4,6.5,4.5,9,5.8,10.8,7.1,15.8,1.6,2.6,1.1,5.4,6.8,5.6,3.8,7.9,5.6,10.2,6.8,15,1.2,1.7,0.6,4.2
"Stomach",7,6,4.1,8.4,4.8,8.9,5.7,13.6,2.2,3.5,1.7,6.7,2.6,2.3,1.2,4.1,2.2,4,2,7.4,0.4,0.9,0.1,3.4
"Colorectal",39.6,36.1,31,41.7,24,46.9,38.7,56.4,15.6,27,21,34.3,12.2,10.1,7.7,13.2,8,15.4,10.9,21.2,4.2,5.8,3.5,9.3
"Colon excluding rectum",29.8,26.5,22.3,31.4,16.4,31.9,25.2,39.9,13.4,22.3,16.9,28.8,10.4,8.8,6.5,11.7,7,13.4,9.2,18.9,3.4,4.8,2.7,8.2
"Rectum & rectosigmoid",9.8,9.5,7,12.8,7.6,15,10.5,20.8,2.2,4.8,2.3,8.8,1.8,1.3,0.6,2.7,1,2,0.6,4.8,0.8,1,0.3,3.1
"Liver / intrahepatic bile duct",7.8,6.5,4.6,9,5.4,9.6,6.3,14.3,2.4,3.6,1.9,6.7,7,5.7,3.9,8,4.6,8.5,5.3,13,2.4,3.2,1.6,6
"Pancreas",17.4,14.3,11.4,17.9,8.8,15.9,11.5,21.6,8.6,13.1,9.3,18.2,14.2,11.3,8.8,14.4,7.4,13.5,9.5,18.9,6.8,9.3,6.4,13.3
"Larynx",4.8,4.2,2.7,6.4,4,7.5,4.5,11.9,0.8,1.2,0.3,3.6,0.8,0.7,0.2,1.9,0.8,1.5,0.4,4.1,0,0,0,1.8
"Lung and bronchus",87.2,72.7,65.9,80.1,46.6,86.2,75.3,98.4,40.6,61.9,53.4,71.5,53.2,44.2,38.9,50,29.4,54.6,45.9,64.5,23.8,35.9,29.6,43.3
"Melanoma of the skin",24.2,22.5,18.5,27.1,15,28.1,22,35.5,9.2,19,13.6,25.9,2.6,2.2,1.1,3.9,2.4,4.3,2.2,7.8,0.2,0.3,0,2.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,80.4,139.3,125.2,154.6,NA,NA,NA,NA,NA,NA,NA,NA,12.8,19.1,14.6,24.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.8,3.7,11.3,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.8,1,6.1
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.6,32.9,26.4,40.7,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.2,1.4,6.4
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,7.6,11.8,8.2,16.6,NA,NA,NA,NA,NA,NA,NA,NA,7,9.8,6.8,14.1
"Prostate",NA,NA,NA,NA,63.8,110.3,98.3,123.5,NA,NA,NA,NA,NA,NA,NA,NA,11.4,22.1,16.7,28.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,3.8,8.9,5.3,14.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.7,0.4,4.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",33.2,27.7,23.6,32.4,23.6,44,36.3,53,9.6,14.7,10.8,19.9,6.6,5.2,3.6,7.5,3.4,6.3,3.7,10.3,3.2,4.7,2.7,8.1
"Kidney and renal pelvis",21.6,18.6,15.2,22.7,14,25.5,19.8,32.6,7.6,12.7,8.8,17.8,5.4,4.6,3,6.9,3.6,7,4.1,11.3,1.8,2.7,1.2,5.5
"Brain and other central nervous system",8.6,9.2,6.5,12.5,4.8,10.2,6.4,15.4,3.8,8.5,5,13.5,4.4,4.2,2.6,6.6,3,6.3,3.5,10.7,1.4,2.3,0.9,5.1
"Thyroid",16.8,18.7,14.8,23.4,5,10.8,6.9,16.2,11.8,26.9,20.1,35.1,0.6,0.4,0.1,1.5,0,0,0,1.8,0.6,0.7,0.1,2.7
"Hodgkin lymphoma",2.2,2.5,1.2,4.5,1.4,3.3,1.3,6.8,0.8,1.8,0.4,4.8,0.4,0.3,0,1.3,0.2,0.3,0,2.2,0.2,0.3,0,2.1
"Non-Hodgkin lymphomas",25.4,22.1,18.3,26.5,14,27.1,21,34.6,11.4,17.4,13.1,22.8,8.2,6.7,4.7,9.2,4.6,9.2,5.8,13.9,3.6,5,2.9,8.4
"Myeloma",9.4,7.8,5.7,10.6,5,9,5.8,13.6,4.4,6.9,4.2,10.9,3.4,3,1.7,5,1.4,2.8,1.1,6,2,3.2,1.4,6.3
"Leukemias",19.4,17.5,14.1,21.5,9.4,18.5,13.5,24.8,10,16.9,12.3,22.7,7.6,6.2,4.4,8.7,3.6,7.2,4.2,11.5,4,5.8,3.4,9.4
