"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",364.4,534.8,509.3,561.3,181.8,537.3,501.6,575.2,182.6,540.7,504.1,579.6,114.8,160.9,147.6,175.2,57.2,172.3,152.5,194.3,57.6,155.2,137,175.4
"Oral cavity and pharynx",10.6,15.1,11.1,20.1,7.8,22.7,15.8,31.8,2.8,7.7,4,13.7,1.6,2.3,1,4.8,1.2,3.3,1.2,7.9,0.4,1.3,0.2,5.2
"Esophagus",4.8,6.2,4,9.6,3.6,9.6,5.6,15.8,1.2,3.1,1.1,7.6,2.4,3.2,1.7,6,1.2,3.5,1.3,8.3,1.2,3,1.1,7.4
"Stomach",3.8,6.1,3.5,9.8,1.2,4,1.3,9.4,2.6,7.9,4.1,14.3,2.2,3.4,1.6,6.4,1.4,4.3,1.6,9.6,0.8,2.5,0.7,6.9
"Colorectal",31.8,46.1,39,54.3,16.4,49.9,39.3,62.8,15.4,42.9,33.6,54.4,10,14.2,10.5,19.1,3.6,10.7,6.2,17.7,6.4,17.1,11.6,24.8
"Colon excluding rectum",24.8,35.9,29.7,43.3,12,36.9,27.7,48.3,12.8,35.3,26.9,45.7,9,13,9.4,17.7,3,9.1,4.9,15.7,6,16.2,10.9,23.8
"Rectum & rectosigmoid",7,10.2,7,14.5,4.4,13,8.1,20.3,2.6,7.6,3.9,13.9,1,1.2,0.4,3.3,0.6,1.7,0.3,5.7,0.4,0.9,0.1,4.4
"Liver / intrahepatic bile duct",3.8,4.9,2.9,8,2.4,6.2,3.2,11.6,1.4,3.7,1.5,8.4,2,3,1.3,5.8,0.8,2,0.5,6,1.2,4,1.3,9.4
"Pancreas",10.2,14.4,10.7,19.2,5,15,9.6,22.6,5.2,14,9.1,21.1,9,12.4,9,16.9,4.8,15,9.5,22.8,4.2,10.2,6.3,16.2
"Larynx",2.6,3.6,1.8,6.5,1.8,5.1,2.3,10.4,0.8,2.2,0.5,6.6,0.8,0.9,0.3,2.9,0.8,2.1,0.5,6.2,0,0,0,3.3
"Lung and bronchus",53.4,73.2,64.4,83,27,76.7,64,91.5,26.4,71.3,59.3,85.3,32.8,45.1,38.3,52.9,16.8,48.1,38.2,60.1,16,43,33.8,54.3
"Melanoma of the skin",16.4,25.1,19.7,31.6,10,32.3,23.6,43.4,6.4,18.9,12.5,27.7,1.4,1.8,0.7,4.1,0.8,2.4,0.6,6.8,0.6,1.4,0.3,5.1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,46.8,138.1,120,158.4,NA,NA,NA,NA,NA,NA,NA,NA,6.6,18.8,12.5,27.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.4,12.9,7.2,21.3,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.3,0.4,7.2
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,16.8,53.1,41.5,67.1,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.9,1.1,7.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,14.9,9.1,23.2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2.3,10
"Prostate",NA,NA,NA,NA,38.6,103,88.7,119.3,NA,NA,NA,NA,NA,NA,NA,NA,6,19.5,13.1,28.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.2,6.4,2.3,13.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",17.8,24.1,19.3,29.9,15.2,44.2,34.6,55.9,2.6,6.9,3.6,12.4,4.4,6.2,3.8,9.6,3.6,11.4,6.7,18.4,0.8,1.9,0.5,5.9
"Kidney and renal pelvis",16.4,24.5,19.2,30.8,9.6,27.8,20.3,37.6,6.8,21.4,14.4,30.8,2.4,3.2,1.6,5.9,1.6,5,2.1,10.4,0.8,1.9,0.5,5.8
"Brain and other central nervous system",4.8,9.1,5.6,13.8,2.4,9.2,4.6,16.6,2.4,9,4.4,16.5,2,3.6,1.6,6.9,1,3.5,1.1,8.6,1,3.9,1.1,9.8
"Thyroid",11.6,21.8,16.2,28.8,3.2,11.2,6.1,18.9,8.4,32.9,23.1,45.4,0.2,0.3,0,2,0.2,0.7,0,4.3,0,0,0,3.3
"Hodgkin lymphoma",1.6,3.2,1.3,6.6,1,4.4,1.3,10.4,0.6,2.1,0.4,6.7,0,0,0,1.6,0,0,0,3.2,0,0,0,3.3
"Non-Hodgkin lymphomas",13.8,20.4,15.7,26.2,7.8,24.8,17.4,34.5,6,16.6,10.9,24.5,5,6.9,4.4,10.6,2.6,7.6,4,13.7,2.4,6.7,3.4,12.3
"Myeloma",3.6,5.3,3,8.7,2.2,6.8,3.2,12.8,1.4,3.9,1.5,8.6,1,1.5,0.5,3.8,0.6,1.9,0.4,6.2,0.4,1.2,0.1,5.1
"Leukemias",13.2,19.5,14.8,25.3,7.2,22.6,15.4,32.2,6,16.2,10.8,23.9,5,7.3,4.6,11.2,2.4,7.6,3.8,14,2.6,7,3.6,12.9
