"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",467,495.8,474.6,517.8,241.4,519,488.8,550.9,225.6,481.2,451.3,512.9,143.6,143.1,132.5,154.4,77.6,164.7,148.3,182.7,66,125.2,111.6,140.5
"Oral cavity and pharynx",14.2,14.7,11.3,18.9,10.6,23.4,17.3,31.2,3.6,6.9,3.9,11.8,2.2,2.3,1.1,4.4,1.8,3.9,1.7,7.9,0.4,1,0.1,4.2
"Esophagus",5.4,5.4,3.5,8.3,4,8.8,5.2,14.3,1.4,2.3,0.9,5.7,3.4,3.6,2,6.2,2.6,6.2,3.1,11.3,0.8,1.4,0.4,4.6
"Stomach",6.2,6.6,4.4,9.7,4.2,9.1,5.4,14.5,2,4.5,2.1,8.9,3,3.1,1.7,5.4,2.6,5.5,2.9,10.1,0.4,1.1,0.1,4.7
"Colorectal",35,36.9,31.4,43.2,17,38.2,30.3,47.8,18,35.9,28.5,45,15.6,16,12.5,20.4,7.6,15.8,11,22.3,8,15.9,11,22.6
"Colon excluding rectum",23.4,24.2,19.9,29.4,11.2,25.1,18.8,33.2,12.2,23.5,17.7,30.9,12.6,13.3,10.1,17.4,6,12.6,8.4,18.6,6.6,13.7,9.1,20.2
"Rectum & rectosigmoid",11.6,12.6,9.5,16.7,5.8,13.1,8.7,19.3,5.8,12.4,8.1,18.6,3,2.7,1.5,4.8,1.6,3.1,1.3,7,1.4,2.2,0.9,5.5
"Liver / intrahepatic bile duct",8.4,8.3,5.9,11.6,6.2,13.2,8.8,19.4,2.2,3.9,1.9,7.7,5,4.7,3,7.2,3.2,6.3,3.6,10.9,1.8,3.2,1.5,7
"Pancreas",13.2,13.5,10.3,17.6,7.2,15.4,10.6,22,6,11.4,7.5,17.2,10.4,10.2,7.6,13.6,5.4,11.2,7.3,16.8,5,9,5.8,13.9
"Larynx",3.8,4.3,2.5,7,2.8,5.9,3.1,10.5,1,2.8,0.8,7.2,1.4,1.2,0.5,3,1.4,2.5,1,6,0,0,0,2.8
"Lung and bronchus",69.2,68.7,61.4,76.7,33.8,70.1,59.7,82.1,35.4,68.2,58.2,79.9,35.8,35.9,30.7,41.9,19.4,41.3,33.3,50.9,16.4,31,24.5,39.2
"Melanoma of the skin",16.2,18.7,14.6,23.8,9.6,22.8,16.5,31,6.6,15.6,10.3,23,3,3.3,1.8,5.7,1.6,3.8,1.5,8.1,1.4,2.7,1.1,6.5
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,61.4,135.7,119.7,153.5,NA,NA,NA,NA,NA,NA,NA,NA,8.2,16.3,11.5,22.8
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.4,6.5,3.1,12.1,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.9,1,7.2
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15,28.5,22.1,36.5,NA,NA,NA,NA,NA,NA,NA,NA,2.4,4.2,2.1,8.1
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4,9.4,5.5,15.3,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.3,3.5,11
"Prostate",NA,NA,NA,NA,59.4,115.3,102.3,129.9,NA,NA,NA,NA,NA,NA,NA,NA,6.4,13.9,9.5,20.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.2,8.9,4.4,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",26,25.7,21.3,30.8,19.4,40.2,32.4,49.7,6.6,12.9,8.8,18.8,3,2.8,1.5,4.9,2,4.1,1.9,8.2,1,1.8,0.6,5.2
"Kidney and renal pelvis",17.2,18.9,14.9,23.8,9,20.2,14.6,27.7,8.2,17.6,12.1,25,5,5,3.2,7.7,2.4,5.5,2.8,10.1,2.6,4.5,2.4,8.5
"Brain and other central nervous system",5.4,6.1,3.9,9.3,3.2,7.8,4.2,13.4,2.2,4.6,2.2,9,2.4,2.4,1.2,4.5,1.2,2.1,0.8,5.4,1.2,2.7,0.9,6.6
"Thyroid",13,19.8,14.9,25.7,2.8,5.8,3.1,10.5,10.2,34.1,24.9,45.6,0.4,0.3,0,1.8,0.2,0.3,0,3.1,0.2,0.3,0,3.1
"Hodgkin lymphoma",2.4,4,1.9,7.3,0.8,2.1,0.5,6.1,1.6,5.9,2.4,12,0.2,0.2,0,1.6,0.2,0.4,0,3.2,0,0,0,2.8
"Non-Hodgkin lymphomas",19.2,19.9,16,24.8,12,26.7,20.1,35.1,7.2,14.1,9.6,20.3,6.4,6.5,4.4,9.4,4.8,10.7,6.8,16.4,1.6,2.8,1.2,6.4
"Myeloma",6,6,4,8.9,4.4,9.3,5.7,14.8,1.6,2.9,1.2,6.6,2.8,2.7,1.4,4.8,1.6,3.5,1.5,7.6,1.2,1.9,0.7,5.2
"Leukemias",15,16.3,12.6,20.9,9,21.2,15.1,29.2,6,11.8,7.7,17.6,4,3.9,2.3,6.3,2.4,5,2.5,9.3,1.6,2.8,1.2,6.4
