"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",334,473.9,449.5,499.5,167.8,473.8,440.1,509.8,166.2,478.5,443.2,516.2,116.6,152.8,140.2,166.5,65.4,182.7,162.6,205,51.2,126.5,110.9,144.3
"Oral cavity and pharynx",10.8,15.6,11.4,21,7.4,20.5,14,29.6,3.4,10.9,6,18.6,2.2,2.9,1.4,5.8,1.4,3.6,1.4,8.4,0.8,2.6,0.7,7.5
"Esophagus",3.6,4.3,2.5,7.3,3,7.4,4.1,13.1,0.6,1.3,0.3,5.4,4,5,3,8.2,2.8,7.5,4,13.4,1.2,2.7,1,7.3
"Stomach",3.6,4.4,2.6,7.4,2.2,5.4,2.6,10.6,1.4,3.5,1.4,8.4,0.8,1.1,0.3,3.3,0.2,0.6,0,4.6,0.6,1.4,0.3,5.6
"Colorectal",30.6,41.5,34.8,49.2,17,49.3,38.8,62.2,13.6,34.3,26.4,44.5,11.4,14.3,10.8,19,6.6,17.6,12,25.6,4.8,11.4,7.2,18
"Colon excluding rectum",20.6,28.3,22.8,34.9,11.2,33.2,24.6,44.4,9.4,24.2,17.6,33.2,8.4,10.7,7.7,14.9,4.6,12.5,7.8,19.6,3.8,9.1,5.4,15.2
"Rectum & rectosigmoid",10,13.2,9.7,17.9,5.8,16.1,10.5,24.1,4.2,10.1,6.1,16.6,3,3.6,2,6.5,2,5.1,2.4,10.4,1,2.3,0.7,6.7
"Liver / intrahepatic bile duct",3.4,5.4,2.9,9.3,2.4,5.7,2.9,11,1,5,1.4,12.2,4.6,6.3,3.9,10,3.6,10.4,5.9,17.6,1,2.4,0.8,6.9
"Pancreas",7.6,10.8,7.4,15.4,3.8,11.8,6.7,19.5,3.8,9.7,5.5,16.4,6.6,9.4,6.3,13.7,3.6,11.8,6.7,19.7,3,7.1,3.9,12.7
"Larynx",3.8,5.3,3.1,8.8,2.8,7.7,4.1,14,1,2.9,0.9,7.9,0.8,1,0.3,3.3,0.8,2.3,0.6,6.9,0,0,0,3.8
"Lung and bronchus",48.8,64.1,56,73.3,26.6,71.7,59.5,86.1,22.2,57.2,46.7,70,30.6,39.4,33.2,46.7,18,48.5,38.7,60.6,12.6,30.8,23.5,40.3
"Melanoma of the skin",14.4,23.4,17.6,30.4,6.8,20,13.4,29.2,7.6,26.6,17.7,38.4,0.2,0.4,0,2.5,0.2,0.8,0,5,0,0,0,3.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,42.2,121.3,103.9,141.1,NA,NA,NA,NA,NA,NA,NA,NA,6.8,17.2,11.8,24.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,7.3,2.9,15.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,4.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,12.6,34.4,26,45.2,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.9,1.6,8.9
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.2,10.3,6.2,16.9,NA,NA,NA,NA,NA,NA,NA,NA,3.2,8.1,4.3,14.6
"Prostate",NA,NA,NA,NA,33.4,83,70.6,97.5,NA,NA,NA,NA,NA,NA,NA,NA,6.4,17.8,12.1,25.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.2,11.6,5.5,21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",21.2,27.4,22.3,33.7,15.2,40.9,31.9,52.2,6,14.6,9.7,21.8,5,6.5,4.1,10,3.8,10.3,6.2,16.9,1.2,3.1,1,8.2
"Kidney and renal pelvis",9.8,15.8,11.3,21.7,4.6,15.2,9.1,24,5.2,16.4,10.1,25.5,2.2,3,1.4,5.9,0.6,1.4,0.3,5.6,1.6,4.3,1.7,9.8
"Brain and other central nervous system",2.4,5,2.4,9.2,0.8,2.9,0.7,8.4,1.6,7,2.7,14.7,2.4,3.7,1.8,7,1,3.3,0.9,8.8,1.4,3.9,1.5,9.2
"Thyroid",6.4,14,9,20.5,1.2,4.3,1.3,10.4,5.2,23.9,14.7,36.5,0.2,0.2,0,2.2,0.2,0.6,0,4.6,0,0,0,3.8
"Hodgkin lymphoma",1.4,3.3,1.2,7.1,0.4,1.9,0.2,7,1,4.8,1.4,11.7,0.2,0.2,0,2.2,0,0,0,3.8,0.2,0.5,0,4.4
"Non-Hodgkin lymphomas",13.2,18.4,13.9,24.1,7.6,22.3,15.2,32,5.6,14.5,9.4,22,3.2,4,2.3,7,2.2,5.9,2.9,11.5,1,2.3,0.7,6.7
"Myeloma",6.2,8,5.4,11.8,3.2,8.7,4.8,15,3,6.9,3.8,12.4,2,2.7,1.2,5.5,1,2.9,0.8,7.9,1,2.2,0.7,6.6
"Leukemias",15,22.1,16.9,28.6,9.2,30.1,21.2,41.7,5.8,14.9,9.8,22.6,6.2,9.1,5.9,13.6,3.8,12.4,7,20.7,2.4,6,3,11.6
