"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1780.2,468.5,458.5,478.7,906,501.5,486.6,516.8,874.2,447.5,433.8,461.6,528.4,135.5,130.3,140.9,269,155.5,147.2,164.3,259.4,121.7,115,128.8
"Oral cavity and pharynx",45.4,12,10.5,13.8,33.6,18.3,15.6,21.5,11.8,6.3,4.7,8.3,4.8,1.2,0.8,1.8,3.8,2.2,1.3,3.4,1,0.5,0.1,1.2
"Esophagus",18.4,4.8,3.9,6,14,8.2,6.3,10.4,4.4,2.1,1.3,3.2,12.4,3.2,2.5,4.2,10,5.8,4.3,7.7,2.4,1.1,0.5,2
"Stomach",24.4,6.4,5.3,7.7,14.6,8.2,6.3,10.4,9.8,4.8,3.5,6.4,10.6,2.8,2.1,3.8,6.2,3.4,2.3,5,4.4,2.4,1.5,3.7
"Colorectal",130,34.2,31.5,37,68.8,38.7,34.6,43.2,61.2,30.1,26.7,33.9,42.4,10.7,9.2,12.2,20.2,11.6,9.4,14.1,22.2,10,8.2,12.2
"Colon excluding rectum",94.6,24.9,22.6,27.3,49.2,27.8,24.3,31.6,45.4,22.1,19.3,25.4,33.8,8.6,7.3,10.1,14.6,8.6,6.7,10.9,19.2,8.8,7.1,10.8
"Rectum & rectosigmoid",35.4,9.3,7.9,10.8,19.6,10.9,8.8,13.4,15.8,8,6.3,10.1,8.6,2,1.5,2.8,5.6,2.9,1.9,4.3,3,1.2,0.7,2.2
"Liver / intrahepatic bile duct",33.6,8.2,7,9.6,23.8,12,9.9,14.4,9.8,4.8,3.5,6.5,19.2,4.7,3.8,5.7,12.8,6.7,5.1,8.7,6.4,2.9,2,4.2
"Pancreas",55.8,14.3,12.6,16.1,28.8,15.8,13.3,18.8,27,12.9,10.8,15.4,44.6,11.3,9.9,13,23.2,13.1,10.7,15.8,21.4,9.9,8.1,12.1
"Larynx",12.8,3.2,2.4,4.1,10.6,5.7,4.2,7.6,2.2,1,0.5,2,2.4,0.6,0.3,1.1,2.2,1.2,0.6,2.3,0.2,0.1,0,0.7
"Lung and bronchus",235.2,59.4,56,63,111.4,60.9,55.8,66.3,123.8,58.8,54.2,63.8,130,32.9,30.4,35.6,67.6,37.9,33.9,42.3,62.4,29.2,26,32.7
"Melanoma of the skin",68.8,18.3,16.3,20.4,42.8,24.2,21,27.8,26,13.6,11.3,16.3,9.4,2.5,1.8,3.3,4.8,2.7,1.7,4,4.6,2.4,1.5,3.6
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,263.4,138.5,130.7,146.6,NA,NA,NA,NA,NA,NA,NA,NA,41.6,19.7,17,22.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,10.2,6.3,4.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.3,0.7,2.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,63.8,31,27.6,34.8,NA,NA,NA,NA,NA,NA,NA,NA,9.8,4.5,3.3,6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,19.8,9.8,7.9,12.1,NA,NA,NA,NA,NA,NA,NA,NA,11.6,5.4,4.1,7.2
"Prostate",NA,NA,NA,NA,229,119.1,112.1,126.4,NA,NA,NA,NA,NA,NA,NA,NA,29,17.9,15.1,21.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,9.8,7.1,5.2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0,0.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",95.2,24.5,22.3,26.8,71.4,40.8,36.6,45.3,23.8,11.5,9.5,13.8,17.8,4.5,3.6,5.6,12.4,7.8,6,10.1,5.4,2.3,1.5,3.5
"Kidney and renal pelvis",63,16.1,14.3,18,38.6,20.7,17.8,24,24.4,12.1,10,14.6,8.8,2.3,1.6,3.1,5.4,3.2,2.1,4.7,3.4,1.5,0.9,2.6
"Brain and other central nervous system",25.8,7.5,6.2,9,14.8,8.8,6.9,11.2,11,6.3,4.6,8.4,16.6,4.4,3.5,5.5,9.6,5.5,4,7.3,7,3.4,2.3,4.9
"Thyroid",53.6,17,15,19.3,15.6,9.7,7.6,12.2,38,24.5,21,28.5,1.4,0.4,0.1,0.8,0.2,0.1,0,0.8,1.2,0.6,0.2,1.4
"Hodgkin lymphoma",11.4,3.8,2.8,4.9,5.6,3.5,2.3,5.1,5.8,4.2,2.8,6.1,1.4,0.4,0.2,0.9,0.8,0.6,0.2,1.5,0.6,0.3,0.1,1
"Non-Hodgkin lymphomas",68.6,18.3,16.3,20.4,41.6,24.1,20.9,27.8,27,13.3,11.1,15.9,16.4,4.3,3.4,5.4,11.2,6.8,5.1,8.9,5.2,2.5,1.6,3.7
"Myeloma",26.6,6.7,5.6,8,15.8,8.5,6.6,10.6,10.8,5.1,3.8,6.7,12.8,3.2,2.5,4.2,6.6,3.5,2.4,5,6.2,2.9,1.9,4.2
"Leukemias",59.8,16.2,14.3,18.2,35.8,20.8,17.8,24.2,24,12.3,10.1,14.9,20.2,5.4,4.4,6.6,12.6,7.9,6,10.2,7.6,3.5,2.4,4.9
