"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",399.4,510.4,487.5,534.2,203.6,552.1,517.7,588.3,195.8,483.1,451.9,516,134.2,162.6,150.3,175.8,71.6,195.5,175.4,217.5,62.6,142,126.1,159.6
"Oral cavity and pharynx",10.8,13.6,10.1,18,7.8,20.3,14.3,28.2,3,7.7,4.2,13.2,2.4,2.7,1.4,5,2,5.5,2.6,10.5,0.4,0.8,0.1,3.8
"Esophagus",4.4,5.4,3.3,8.3,3.8,9.7,5.8,15.5,0.6,1.4,0.3,4.8,2.8,3.4,1.9,6,2.4,6.1,3.1,11.1,0.4,0.9,0.1,4.1
"Stomach",3.8,5.1,3,8.2,1.8,4.5,2,9,2,5.7,2.6,11.1,1.4,1.7,0.7,3.7,1,2.6,0.8,6.5,0.4,1,0.1,4.1
"Colorectal",27.6,35.8,29.9,42.7,16.2,45.4,35.8,56.9,11.4,27.9,20.8,36.9,9.4,11.6,8.4,15.7,6.2,18.1,12.2,25.9,3.2,7.6,4.1,13.1
"Colon excluding rectum",19.6,25.2,20.3,31,11.4,33.1,24.9,43.3,8.2,18.7,13.3,26,7,8.7,6,12.3,4.6,13.2,8.3,20.2,2.4,5.6,2.7,10.5
"Rectum & rectosigmoid",8,10.6,7.5,14.8,4.8,12.3,7.8,18.7,3.2,9.2,5,15.6,2.4,2.9,1.5,5.4,1.6,4.8,2.1,9.8,0.8,2,0.5,5.8
"Liver / intrahepatic bile duct",4.2,4.9,3,7.7,3.2,7.8,4.4,13.2,1,2.1,0.7,5.6,3.2,3.6,2.1,6.1,2.4,5.8,3,10.6,0.8,1.6,0.4,4.9
"Pancreas",11.2,14.2,10.6,18.7,5.4,14.7,9.6,21.8,5.8,14,9,21,10.6,12.4,9.2,16.4,5.2,14.2,9.2,21.1,5.4,11.2,7.3,16.9
"Larynx",4,4.7,2.9,7.5,3.6,8.7,5.1,14.2,0.4,1,0.1,4.3,0.2,0.3,0,1.8,0.2,0.6,0,3.6,0,0,0,2.7
"Lung and bronchus",60.4,73.6,65.4,82.7,29,77.2,64.9,91.4,31.4,73,61.8,85.9,40.6,49.2,42.5,56.7,22.2,59.4,48.7,72.1,18.4,42,33.6,52
"Melanoma of the skin",22.8,29.7,24.3,36.1,13.4,37.2,28.5,47.9,9.4,23.6,16.9,32.2,1.8,2,0.9,4.1,1.6,3.7,1.6,7.8,0.2,0.5,0,3.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,56.8,140.1,123.7,158.3,NA,NA,NA,NA,NA,NA,NA,NA,8.2,19.3,13.6,26.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.8,1.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.4,0.3,4.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15,34.9,27.2,44.3,NA,NA,NA,NA,NA,NA,NA,NA,2.4,5.2,2.6,9.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.4,11.5,7,18,NA,NA,NA,NA,NA,NA,NA,NA,3.6,8.2,4.8,13.5
"Prostate",NA,NA,NA,NA,45.8,113.7,99.2,130,NA,NA,NA,NA,NA,NA,NA,NA,7.6,21.8,15.4,30.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,6.6,3,12.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",22.2,28.2,23.1,34.2,17,47.5,37.8,59.2,5.2,11.3,7.3,17.1,5.6,6.3,4.2,9.3,3.4,10,5.8,16.3,2.2,4.6,2.2,8.8
"Kidney and renal pelvis",15.6,19.6,15.3,24.8,9.6,26,19,35,6,15,9.9,22,3,3.6,2,6.1,2.2,6,3,11.1,0.8,1.8,0.5,5.2
"Brain and other central nervous system",5,7,4.4,10.6,3.2,9.6,5.3,16.1,1.8,4.8,2.1,9.6,3.4,4.3,2.4,7.3,2,5.7,2.6,11,1.4,3.1,1.2,6.9
"Thyroid",8.4,15.1,10.7,20.6,3,11.4,6.3,18.9,5.4,19.1,12.3,28.1,0.6,0.7,0.1,2.4,0.2,0.6,0,3.8,0.4,0.9,0.1,4.1
"Hodgkin lymphoma",1.8,3,1.3,5.9,0.4,1.9,0.2,6.3,1.4,4.2,1.6,8.9,0.4,0.6,0.1,2.4,0.2,0.5,0,3.6,0.2,0.8,0,4.2
"Non-Hodgkin lymphomas",15.2,19.8,15.5,25.1,8,22.8,16.1,31.6,7.2,17.1,11.7,24.3,3,3.9,2.1,6.7,1.6,5,2.1,10.1,1.4,3.2,1.3,7.2
"Myeloma",6,8,5.3,11.7,2.4,7.1,3.6,12.8,3.6,9,5.2,14.7,3,3.6,2,6.2,1.2,3.6,1.3,8.1,1.8,3.8,1.7,7.9
"Leukemias",14.6,19.4,15,24.8,8.8,24.3,17.4,33.1,5.8,15,9.8,22.2,6.2,7.7,5.2,11.2,3,8.2,4.5,13.8,3.2,7.4,4.1,12.7
