"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",360,511,486.5,536.6,191,538.7,503.9,575.6,169,491.5,456.4,528.8,126.8,173.3,159.6,188,71.8,203.4,182.4,226.5,55,145.9,128.2,165.7
"Oral cavity and pharynx",9.8,14.3,10.4,19.3,7.8,22.7,15.9,31.8,2,6,2.8,11.9,2,2.9,1.3,5.7,1.6,4.8,2,10.1,0.4,1.1,0.1,5.2
"Esophagus",4.2,5.8,3.5,9.2,3,8.2,4.4,14.4,1.2,3.3,1.2,8.2,2.4,3.2,1.6,6,1.8,5.1,2.3,10.4,0.6,1.2,0.3,5.2
"Stomach",4.6,6.5,4,10.1,2.6,8.5,4.5,15,2,4.8,2.3,9.9,2.4,3.1,1.6,5.8,2,5.6,2.7,11.1,0.4,0.8,0.1,4.7
"Colorectal",30.4,44.6,37.5,52.9,16,46.2,36.3,58.2,14.4,43.3,33.2,55.9,8.8,13.5,9.6,18.6,4.4,13.5,8.2,21.1,4.4,13.5,8.1,21.6
"Colon excluding rectum",21.4,30.7,24.9,37.6,10.6,31.2,23.1,41.4,10.8,30.3,22.2,40.7,6.2,9.5,6.3,14,2.8,8.6,4.5,15.1,3.4,10.4,5.7,17.8
"Rectum & rectosigmoid",9,13.9,9.9,19.1,5.4,15,9.7,22.6,3.6,13.1,7.5,21.5,2.6,4,2,7.2,1.6,4.9,2,10.3,1,3.1,1,8.2
"Liver / intrahepatic bile duct",4.2,5.1,3.1,8.1,3.8,9.4,5.6,15.4,0.4,0.8,0.1,4.7,4.2,4.9,3,7.9,3.2,7.7,4.4,13.3,1,2.2,0.7,6.4
"Pancreas",13.2,18.3,14,23.7,7.8,22,15.4,30.8,5.4,14.3,9.3,21.6,12.4,17.2,13.1,22.5,7.2,20.2,13.9,28.7,5.2,14.6,9.4,22.3
"Larynx",3,4.3,2.3,7.6,2.6,7.7,3.9,14,0.4,1,0.1,5,1,1.3,0.4,3.4,0.6,1.8,0.4,6,0.4,1,0.1,5
"Lung and bronchus",60.4,79.9,71,89.9,31.4,86.5,73.2,101.9,29,74.1,62.2,88.1,34.6,45.9,39.2,53.7,19.2,53.9,43.4,66.5,15.4,38.3,30,48.8
"Melanoma of the skin",11.4,16.6,12.3,21.9,7.8,23,16.1,32.3,3.6,11.3,6.4,18.8,1.6,1.8,0.8,4.1,1.2,2.9,1.1,7.3,0.4,0.9,0.1,4.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,43.2,124.9,107.6,144.5,NA,NA,NA,NA,NA,NA,NA,NA,7,21.6,14.4,31.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,6.6,2.6,13.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,3.5,0.8,9.5
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,12.8,36,27.4,47.1,NA,NA,NA,NA,NA,NA,NA,NA,2,4.8,2.3,9.9
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,12.2,7.6,19.4,NA,NA,NA,NA,NA,NA,NA,NA,3.2,8.4,4.7,14.6
"Prostate",NA,NA,NA,NA,39.2,99.2,85.6,114.9,NA,NA,NA,NA,NA,NA,NA,NA,4.6,12.8,8,19.8,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.2,5.6,2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.9,0,4.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",22,30.6,24.9,37.3,17.8,51,40.8,63.5,4.2,11.5,6.8,18.7,5,6.5,4.2,9.9,4.2,11.8,7.2,18.6,0.8,2,0.5,6.3
"Kidney and renal pelvis",12.4,17.1,12.9,22.5,7.6,20.8,14.5,29.4,4.8,13.7,8.4,21.6,3,3.9,2.2,6.9,2,5.3,2.5,10.5,1,2.1,0.7,6.3
"Brain and other central nervous system",3.2,5.2,2.8,9,2.2,6.8,3.3,12.8,1,4,1,10.3,2.4,3.2,1.6,6,1.8,4.8,2.2,9.8,0.6,1.3,0.3,5.3
"Thyroid",14,25.7,19.5,33.1,4.2,14.7,8.7,23.3,9.8,37.9,27.1,51.5,1.2,1.5,0.5,3.8,0.6,1.7,0.3,5.9,0.6,1.2,0.3,5.2
"Hodgkin lymphoma",2.4,4.8,2.4,8.6,1.6,5.8,2.5,11.9,0.8,3.5,0.8,9.5,0.2,0.6,0,3,0.2,1.2,0,5.8,0,0,0,3.7
"Non-Hodgkin lymphomas",15.2,22.7,17.6,28.9,6.8,21.7,14.9,31,8.4,24.5,17.1,34.3,6,8.8,5.9,12.9,4.4,13.4,8.3,20.9,1.6,4.3,1.8,9.4
"Myeloma",4.6,6.4,4,9.9,3.4,9.7,5.6,16.1,1.2,3.1,1.1,7.8,2.4,3.3,1.7,6.1,1,3.1,1,7.9,1.4,3.5,1.4,8.2
"Leukemias",12.4,17.8,13.4,23.3,8,21.7,15.4,30.3,4.4,13.9,8.3,22.2,4.4,5.9,3.7,9.3,2.4,6.8,3.4,12.5,2,5.1,2.3,10.5
