"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",46.2,531.4,455.7,619.3,25.2,547.4,444.7,674.7,21,515.7,407.4,650.3,18.4,203.6,161.3,257.9,10.8,222.7,166,304.1,7.6,185.3,125.6,272.5
"Oral cavity and pharynx",1,9.9,3.2,33.9,0.8,15.9,4.2,63.6,0.2,3.7,0.1,49.4,0.2,3.4,0.1,27.4,0.2,6.6,0.2,54.9,0,0,0,45.8
"Esophagus",0.8,11.1,2.4,38.2,0.6,11.9,2.3,59,0.2,10.6,0.3,63.9,0.6,9.5,1.5,36.4,0.4,9,1.1,56.1,0.2,10.6,0.3,63.9
"Stomach",0.8,8.6,2.1,33,0.6,13.3,2.4,61.7,0.2,3.7,0.1,49.4,0.2,3.4,0.1,27.4,0.2,6.6,0.2,54.9,0,0,0,45.8
"Colorectal",4.4,45.9,27.7,78.1,2,36.6,17.1,87.4,2.4,55.4,26.7,114.7,2,21.2,10,47.7,0.8,14.8,3.8,62,1.2,27.6,10,78.4
"Colon excluding rectum",3.2,33.4,18,63.5,1.2,21.1,7.4,69.1,2,44.6,19.4,101.4,1.4,16.3,6.5,42.2,0.2,4.7,0.1,51.3,1.2,27.6,10,78.4
"Rectum & rectosigmoid",1.2,12.5,4.5,37.2,0.8,15.5,4.1,62.9,0.4,10.8,1.3,58.8,0.6,4.9,1,27.7,0.6,10.1,2,56.4,0,0,0,45.8
"Liver / intrahepatic bile duct",0.6,5.9,1.2,29.2,0.6,11.3,2.3,58.1,0,0,0,45.8,0.2,1.5,0,24.2,0.2,3,0.1,48.9,0,0,0,45.8
"Pancreas",2.4,24.4,12.4,51.4,1.6,31,13.1,81.2,0.8,17.6,4.6,66.1,1.4,14.4,5.7,39.4,0.6,12,2.4,59.1,0.8,18.2,4.8,66.9
"Lung and bronchus",6.6,71.9,48.3,108.7,4,78.2,47.1,137.2,2.6,63.8,31.9,126.2,5.6,63,40.8,98.7,3.8,80.4,47.9,141,1.8,45,18.6,103.6
"Melanoma of the skin",2,21.9,9.4,50.1,1.4,26.5,10.3,75.7,0.6,17.8,2.6,71.3,0.2,1.5,0,24.2,0.2,3,0.1,48.9,0,0,0,45.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,6.8,161,104.3,245.9,NA,NA,NA,NA,NA,NA,NA,NA,1.2,34.7,9.2,96.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,0.2,2.9,0.1,48.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,45.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,1.4,42.3,11.9,110.4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,5.4,0.1,52.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,0.4,9.1,1,56.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,5.4,0.1,52.2
"Prostate",NA,NA,NA,NA,4.4,92.2,56.7,155.3,NA,NA,NA,NA,NA,NA,NA,NA,1,20.1,6.4,68.5,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",2.8,29.3,15.8,57.3,2.6,54.9,28.8,110.8,0.2,4.3,0.1,50.3,0.6,6.5,1.3,30.2,0.4,9.8,1.2,57.4,0.2,3.1,0.1,48.6
"Kidney and renal pelvis",2,33.7,13,72.8,1.2,41.3,11.7,108.6,0.8,25.6,4.1,87,0.4,2.9,0.3,25.4,0.2,2.8,0.1,48.6,0.2,2.9,0.1,48.4
"Brain and other central nervous system",0.2,2.2,0.1,25.2,0,0,0,46.2,0.2,4.3,0.1,50.3,0.6,6.3,1.2,29.8,0.4,9.2,1.1,56.4,0.2,3.1,0.1,48.6
"Thyroid",0.6,12.1,1.7,42.5,0,0,0,46.2,0.6,24.9,3.6,86.9,0,0,0,22.9,0,0,0,46.2,0,0,0,45.8
"Hodgkin lymphoma",0.2,1.5,0,24.2,0.2,3,0.1,48.9,0,0,0,45.8,0,0,0,22.9,0,0,0,46.2,0,0,0,45.8
"Non-Hodgkin lymphomas",2.4,23.6,11.9,50.4,1,18.2,5.8,65.6,1.4,30.1,11.4,81.5,0.8,7.7,2,31.3,0.4,7.3,0.8,53.6,0.4,8.4,1,54.9
"Myeloma",0.6,5.1,1,28,0.2,2.8,0.1,48.6,0.4,7.2,0.8,53.1,0.2,2.5,0.1,25.6,0.2,5.1,0.1,52,0,0,0,45.8
"Leukemias",2,28.2,11.3,62,1.8,51.8,19.8,118.2,0.2,3.7,0.1,49.4,0.6,6.9,1.4,30.7,0.4,8.3,1,55,0.2,5.4,0.1,52.2
