"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",652.6,565.7,546,585.9,346,639.6,608.9,671.4,306.6,514.6,488.4,541.9,202.6,176.2,165.3,187.6,105.2,207.5,189.6,226.5,97.4,155.3,141.5,170.1
"Oral cavity and pharynx",18,14.7,11.8,18.2,14.4,25.3,19.6,32,3.6,5.6,3.2,9.2,3.8,3.5,2.1,5.4,3.2,6.7,3.8,10.8,0.6,0.9,0.2,2.8
"Esophagus",7.8,6.8,4.8,9.3,6.2,11.6,7.8,16.6,1.6,2.5,1.1,5.1,7.6,7,4.9,9.6,6.6,13.4,9.1,18.9,1,1.6,0.5,3.8
"Stomach",5.8,5.4,3.6,7.8,3.8,7.2,4.3,11.4,2,3.8,1.8,7.1,1.2,1.1,0.4,2.4,0.4,0.6,0.1,2.4,0.8,1.4,0.4,3.7
"Colorectal",55.4,48.2,42.6,54.4,27.8,53,44.3,62.8,27.6,45.4,37.9,53.9,20.6,17.9,14.5,21.7,11,22.5,16.8,29.4,9.6,14.9,10.9,19.9
"Colon excluding rectum",41.4,36.5,31.6,41.9,20,39.6,32.1,48.4,21.4,35,28.5,42.6,17.4,15.2,12.2,18.8,8.4,17.9,12.8,24.2,9,14.1,10.2,19
"Rectum & rectosigmoid",14,11.8,9.1,14.9,7.8,13.3,9.4,18.4,6.2,10.4,7,14.9,3.2,2.6,1.5,4.3,2.6,4.6,2.4,8,0.6,0.8,0.2,2.7
"Liver / intrahepatic bile duct",7.8,6.8,4.8,9.3,4.8,8.5,5.4,12.8,3,5,2.8,8.4,4.6,4,2.5,6.1,2.2,4.3,2.1,7.7,2.4,3.8,1.9,6.7
"Pancreas",14.6,12.7,9.9,16,8,14.4,10.2,19.7,6.6,11,7.5,15.5,10.6,9.5,7.1,12.5,5.6,10.6,7,15.4,5,8.3,5.3,12.4
"Larynx",6.2,5.1,3.4,7.3,4.4,7.6,4.7,11.6,1.8,3.2,1.4,6.1,1.8,1.3,0.6,2.6,1.4,2.3,0.9,4.9,0.4,0.6,0.1,2.3
"Lung and bronchus",108.8,93.7,85.9,102.1,55.6,104.7,92.5,118.1,53.2,84.7,74.6,95.8,61.4,52.9,47,59.2,30.2,58.7,49.5,69.1,31.2,49,41.5,57.5
"Melanoma of the skin",35.4,31.3,26.8,36.4,20,38.3,31,46.9,15.4,26.7,20.9,33.7,2.8,2.3,1.2,3.9,2.2,3.8,1.9,6.9,0.6,0.9,0.2,2.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,74.2,126.6,113.6,140.6,NA,NA,NA,NA,NA,NA,NA,NA,10.4,17.7,13.1,23.5
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.4,7,4,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.4,0.3,3.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.4,31.8,25.6,39.1,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.6,1.9,6.5
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,8.4,13.6,9.8,18.6,NA,NA,NA,NA,NA,NA,NA,NA,4.6,7.7,4.8,11.7
"Prostate",NA,NA,NA,NA,78.2,136.7,123.2,151.3,NA,NA,NA,NA,NA,NA,NA,NA,9.6,19.7,14.4,26.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,7.2,10.1,6.9,14.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.4,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",34.4,30,25.6,35,25.8,51.1,42.4,60.9,8.6,13.2,9.4,17.9,5.6,4.7,3.1,6.8,3.8,8,4.7,12.5,1.8,2.2,1,4.4
"Kidney and renal pelvis",22.2,19.5,16,23.6,14.2,27.1,21,34.4,8,13.5,9.6,18.5,3.6,3.1,1.8,5,1.8,3.5,1.6,6.6,1.8,2.5,1.1,5
"Brain and other central nervous system",8.8,8,5.7,10.8,5,9.4,6,14,3.8,7.2,4.3,11.3,4.4,3.9,2.4,6,2.6,5,2.6,8.7,1.8,3,1.4,5.9
"Thyroid",14,12.7,9.8,16.2,4,6.7,4,10.6,10,19.2,14.1,25.6,0.4,0.4,0,1.4,0.2,0.5,0,2.4,0.2,0.2,0,1.7
"Hodgkin lymphoma",2.4,2.4,1.2,4.2,1.6,3.1,1.3,6.2,0.8,1.7,0.4,4.2,0.6,0.6,0.1,1.7,0.4,0.8,0.1,3,0.2,0.3,0,2
"Non-Hodgkin lymphomas",25.6,23,19.1,27.5,14,28,21.7,35.5,11.6,19.4,14.6,25.3,4.2,3.9,2.4,6,2.2,5.2,2.6,9.1,2,3.2,1.5,6
"Myeloma",8.6,7.8,5.6,10.6,3.4,5.9,3.4,9.6,5.2,9.2,5.9,13.7,3.8,3.3,2,5.2,1.6,2.6,1.1,5.3,2.2,3.7,1.8,6.8
"Leukemias",22,19.2,15.8,23.3,13.2,25,19.1,31.9,8.8,15.5,11.1,21,7.2,6.2,4.3,8.7,4,7.6,4.6,11.9,3.2,5,2.8,8.4
