"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",176.6,499.9,466.3,535.5,92.2,527.1,478.6,579.4,84.4,479.7,432.8,530.6,72,197.2,177,219.4,37.2,219.3,188.4,254.1,34.8,182,154.9,212.9
"Oral cavity and pharynx",4.2,11.9,7.2,18.7,3,16.8,9.1,28.9,1.2,6.3,2.3,14.8,1.4,3.7,1.5,8.1,0.8,4.9,1.3,13.3,0.6,2.3,0.5,8.8
"Esophagus",1,2.6,0.8,6.7,1,5.7,1.8,14.2,0,0,0,5.8,1,2.7,0.9,6.9,1,5.5,1.8,13.8,0,0,0,5.8
"Stomach",1.6,4.4,1.9,9,1.6,8.8,3.7,18.2,0,0,0,5.8,1,2.7,0.9,6.8,0.6,3.4,0.7,10.9,0.4,2.1,0.2,8.9
"Colorectal",17.6,54.7,43.4,68.2,8,49.8,35.2,68.7,9.6,60.4,43.5,81.7,7,19.8,13.6,28,4,25.2,15.3,39.5,3,15.4,8.3,26.8
"Colon excluding rectum",12,36.6,27.5,47.7,5,32.1,20.4,48.1,7,41.6,28.3,59.3,5.4,15.2,9.9,22.6,2.8,17.1,9.2,29.4,2.6,13.6,6.9,24.6
"Rectum & rectosigmoid",5.6,18.1,11.7,26.8,3,17.8,9.7,30.2,2.6,18.8,9.5,33.1,1.6,4.6,1.9,9.5,1.2,8.1,2.9,18,0.4,1.8,0.2,8.4
"Liver / intrahepatic bile duct",2,5.9,2.8,11.1,1.4,8,3.2,17.3,0.6,3.8,0.8,11.7,2.6,7.1,3.7,12.5,2,11.2,5.3,21.5,0.6,3.2,0.7,10.6
"Pancreas",5.6,14.6,9.6,21.6,2.2,11.1,5.5,20.9,3.4,16.9,9.7,28.2,6.8,17.9,12.3,25.5,3.2,17.5,9.9,29.3,3.6,17.9,10.5,29.3
"Larynx",0.6,1.4,0.3,4.9,0.4,1.7,0.2,7.9,0.2,1.1,0,7.4,0.4,1.7,0.2,6,0,0,0,5.6,0.4,3.4,0.3,12.2
"Lung and bronchus",20.8,57.7,47,70.4,12.2,70.6,53.8,91.5,8.6,46.6,33.5,63.8,18.2,50.5,40.6,62.5,9.2,54.3,39.5,73.1,9,47.2,34.1,64.3
"Melanoma of the skin",7.2,21.3,14.6,30.2,3.8,22.7,13.4,36.3,3.4,20.8,11.6,34.7,1,2.8,0.9,7,0.6,3.6,0.7,11.4,0.4,2,0.2,8.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,24.2,136.3,112,164.8,NA,NA,NA,NA,NA,NA,NA,NA,4,21,12.5,33.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,0.8,5.2,1.3,13.9,NA,NA,NA,NA,NA,NA,NA,NA,0.8,5.1,1.3,13.9
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,5.8,30.9,20.4,45.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,6.7,2.3,15.8
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.2,10.9,5.4,20.6,NA,NA,NA,NA,NA,NA,NA,NA,1.6,8.2,3.5,17.3
"Prostate",NA,NA,NA,NA,24.4,127,105,152.7,NA,NA,NA,NA,NA,NA,NA,NA,2.8,16.6,9,28.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1,10.2,3.3,22.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.6,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",9.2,24.6,17.8,33.3,7,39.3,27.1,55.7,2.2,11.2,5.5,21,2,5.8,2.7,11,1.4,8.9,3.5,18.8,0.6,2.8,0.5,9.8
"Kidney and renal pelvis",5,14.3,9.1,21.6,3,17.4,9.6,29.5,2,11.2,5.1,21.7,1.2,3.2,1.1,7.4,1,5.4,1.7,13.6,0.2,0.8,0,6.8
"Brain and other central nervous system",2,6.3,2.9,12,0.6,3.3,0.6,10.6,1.4,9.3,3.5,20,2.2,6.1,2.9,11.5,1,5.3,1.7,13.5,1.2,7.1,2.3,16.7
"Thyroid",3.2,12.8,7.2,21,0.8,6.4,1.6,16.7,2.4,19.5,9.9,34.4,0,0,0,2.8,0,0,0,5.6,0,0,0,5.8
"Hodgkin lymphoma",0.8,3,0.8,7.9,0.4,3.4,0.4,11.8,0.4,2.6,0.3,10.3,0,0,0,2.8,0,0,0,5.6,0,0,0,5.8
"Non-Hodgkin lymphomas",8.8,24.1,17.3,32.9,5.8,32.5,21.5,47.5,3,15.9,8.4,27.6,3.8,9.8,5.9,15.7,2,11.6,5.5,22.1,1.8,8.7,4,17.8
"Myeloma",3.8,10.8,6.4,17.2,2.4,14.6,7.4,26.1,1.4,7.6,3.1,16.7,1,2.8,0.9,6.9,0.6,3.5,0.7,11,0.4,2.4,0.3,9.6
"Leukemias",7.6,21.5,15,30.2,4.2,24.5,14.8,38.4,3.4,19.3,10.9,32.1,2.6,7.2,3.8,12.8,1.2,7.3,2.6,16.5,1.4,7.6,2.9,16.8
