"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",455,491.4,470.6,513,243.6,544.2,512.9,577.1,211.4,449.9,421.9,479.4,145,153.9,142.6,165.9,79,184.2,166,204,66,129.2,115.2,144.6
"Oral cavity and pharynx",10.8,12,8.9,15.9,9.2,21.3,15.3,28.9,1.6,3.8,1.6,7.8,1.8,2.1,0.9,4.2,1.2,2.6,0.9,6.1,0.6,1.7,0.3,5.3
"Esophagus",6.2,6.3,4.2,9.2,4.8,9.9,6.3,15.2,1.4,3.2,1.2,7,4.6,4.5,2.9,7,4,8.6,5.2,13.7,0.6,1,0.2,3.6
"Stomach",5,5.1,3.3,7.8,3.2,6.5,3.7,11,1.8,3.7,1.7,7.4,1.4,1.7,0.7,3.7,0.6,1.2,0.3,4.1,0.8,2.1,0.5,5.7
"Colorectal",33.6,37,31.4,43.3,18.6,44.4,35.5,55,15,30.2,23.6,38.3,12,13.3,10,17.4,6.8,17.1,11.6,24.3,5.2,10.1,6.4,15.3
"Colon excluding rectum",23,25.7,21.1,31.2,12.2,30.4,23,39.6,10.8,21.6,16.1,28.7,9,10.1,7.2,13.7,5.4,13.7,8.8,20.3,3.6,7.2,4.1,11.9
"Rectum & rectosigmoid",10.6,11.2,8.3,14.9,6.4,14,9.4,20.2,4.2,8.6,5.2,13.6,3,3.2,1.8,5.6,1.4,3.4,1.3,7.5,1.6,2.9,1.2,6.2
"Liver / intrahepatic bile duct",3.4,3.6,2.1,6,2.6,6.1,3.2,10.8,0.8,1.6,0.4,4.5,2.2,2.2,1.1,4.1,1.2,2.8,1,6.5,1,1.7,0.6,4.6
"Pancreas",11.4,12.1,9.1,15.9,6,13.6,9.1,19.7,5.4,11,7.1,16.4,8.6,9.1,6.5,12.4,4.4,10,6.2,15.4,4.2,8.2,5.1,13
"Larynx",2.4,2.9,1.5,5.3,1.6,4.2,1.7,8.6,0.8,1.7,0.4,4.8,1,1.1,0.3,2.8,0.8,1.6,0.4,4.7,0.2,0.6,0,3.4
"Lung and bronchus",73,74.9,67.2,83.3,38.2,81.4,70,94.4,34.8,69.4,59.2,81.1,44.8,45.7,39.8,52.3,23.6,52,42.8,62.7,21.2,40.2,32.8,49
"Melanoma of the skin",18.6,21.5,17.2,26.7,8.8,21.3,15.3,29,9.8,22.8,16.5,30.7,1.4,1.4,0.5,3.1,0.8,1.8,0.5,5,0.6,1,0.2,3.6
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,62.6,135.2,119.9,152.1,NA,NA,NA,NA,NA,NA,NA,NA,6.8,12.8,8.8,18.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,5,2,10,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,0.4,6
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,13.6,27.4,21,35.3,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8,1.8,7.4
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,3.8,8.8,5.1,14.3,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4,1.7,8.1
"Prostate",NA,NA,NA,NA,65.2,131.3,117,147,NA,NA,NA,NA,NA,NA,NA,NA,8,20.3,14.5,27.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.6,7.6,3.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",27.2,28.6,23.9,34.1,19.8,45.3,36.6,55.6,7.4,14.5,10,20.6,6,6.4,4.3,9.3,3.8,9.5,5.6,15,2.2,4.1,2,7.8
"Kidney and renal pelvis",17,17.7,14,22.1,11.4,24.9,18.7,32.8,5.6,11.5,7.5,17,2.6,2.5,1.3,4.5,2.2,4.7,2.3,8.8,0.4,0.6,0.1,3.1
"Brain and other central nervous system",6.6,8.5,5.7,12.2,4.2,11.9,7.2,18.6,2.4,5.5,2.7,10,3.2,3.8,2.2,6.4,2,5.5,2.6,10.3,1.2,2.5,0.9,5.9
"Thyroid",11.6,14.5,10.8,19.1,3.6,7.7,4.4,12.5,8,21.3,14.9,29.5,0.2,0.2,0,1.5,0.2,0.6,0,3.3,0,0,0,2.2
"Hodgkin lymphoma",2,2.7,1.2,5.2,1.2,3.9,1.4,8.6,0.8,1.5,0.4,4.3,0,0,0,1.1,0,0,0,2.3,0,0,0,2.2
"Non-Hodgkin lymphomas",21,23.7,19.2,29,10.6,26.3,19.5,34.9,10.4,22,16.2,29.4,6.8,7.9,5.4,11.1,3.4,9,5.1,14.6,3.4,6.8,3.9,11.3
"Myeloma",6,6.3,4.2,9.2,3.4,7.9,4.5,13.1,2.6,5.1,2.7,9.1,3.2,3.3,1.9,5.5,1.8,4.3,1.9,8.5,1.4,2.6,1,5.9
"Leukemias",14.6,16.7,13,21.3,8.8,21.9,15.7,29.9,5.8,11.7,7.8,17.2,6.2,6.7,4.5,9.6,4.2,10.1,6.2,15.9,2,3.6,1.7,7.1
