"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",8890.8,505.8,500.9,510.7,4386.4,546.2,538.8,553.7,4504.4,481.2,474.6,487.8,2363,127,124.7,129.4,1149.2,145.4,141.6,149.3,1213.8,114.9,111.9,118
"Oral cavity and pharynx",181.6,10.3,9.6,11,116.8,14.5,13.3,15.7,64.8,6.9,6.1,7.7,27,1.4,1.2,1.7,14.6,1.8,1.4,2.3,12.4,1.1,0.9,1.5
"Esophagus",73.8,4.1,3.7,4.5,54,6.7,5.9,7.6,19.8,1.9,1.5,2.3,49.4,2.7,2.4,3.1,36.8,4.6,3.9,5.3,12.6,1.2,0.9,1.5
"Stomach",141.8,8,7.4,8.6,84.2,10.6,9.6,11.7,57.6,5.9,5.2,6.7,52.6,2.9,2.6,3.3,29.4,3.7,3.1,4.4,23.2,2.3,1.9,2.8
"Colorectal",679.2,38.4,37,39.7,334.4,42.6,40.6,44.8,344.8,34.7,33,36.5,211,11.2,10.5,12,104.6,13.2,12.1,14.4,106.4,9.7,8.8,10.6
"Colon excluding rectum",489.4,27.4,26.3,28.6,228,29.1,27.4,30.9,261.4,26,24.5,27.5,175.4,9.3,8.7,9.9,82,10.3,9.3,11.4,93.4,8.4,7.7,9.3
"Rectum & rectosigmoid",189.8,10.9,10.2,11.7,106.4,13.5,12.3,14.7,83.4,8.8,7.9,9.7,35.6,2,1.7,2.3,22.6,2.9,2.4,3.5,13,1.2,0.9,1.6
"Liver / intrahepatic bile duct",124.2,6.7,6.2,7.3,87.6,10.3,9.3,11.4,36.6,3.7,3.1,4.3,83.8,4.5,4.1,5,54.2,6.6,5.8,7.4,29.6,2.9,2.4,3.4
"Pancreas",289.2,15.7,14.9,16.6,146.6,18.1,16.7,19.4,142.6,13.8,12.8,14.9,210,11.2,10.5,11.9,105.4,13,11.9,14.2,104.6,9.7,8.9,10.6
"Larynx",46.4,2.6,2.2,2.9,37.6,4.6,4,5.3,8.8,0.9,0.6,1.2,12.8,0.7,0.5,0.9,9.6,1.2,0.9,1.6,3.2,0.3,0.2,0.5
"Lung and bronchus",961.2,52.8,51.3,54.4,425.6,53.7,51.4,56.1,535.6,52.9,50.9,55,492,26.6,25.6,27.7,241,30.5,28.8,32.3,251,24.1,22.7,25.5
"Melanoma of the skin",395,22.5,21.5,23.6,234.4,29.6,27.9,31.4,160.6,17.4,16.2,18.8,32.8,1.8,1.5,2.1,22.6,2.9,2.4,3.5,10.2,1,0.7,1.3
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1323.4,147.3,143.6,151.1,NA,NA,NA,NA,NA,NA,NA,NA,185.6,18.2,17,19.5
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,48.6,6.2,5.4,7,NA,NA,NA,NA,NA,NA,NA,NA,12.4,1.4,1,1.8
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,322.2,32.8,31.1,34.5,NA,NA,NA,NA,NA,NA,NA,NA,59.6,5.7,5.1,6.4
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,111.6,12.2,11.2,13.3,NA,NA,NA,NA,NA,NA,NA,NA,62.4,6.1,5.4,6.9
"Prostate",NA,NA,NA,NA,1174.4,136.8,133.2,140.4,NA,NA,NA,NA,NA,NA,NA,NA,110.6,14.1,12.9,15.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,36.2,5.9,5.1,6.9,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,0,0.3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",454.6,24.6,23.5,25.6,342.8,43.3,41.2,45.4,111.8,10.6,9.7,11.6,77.8,4,3.6,4.4,52.8,6.8,6,7.6,25,2.1,1.8,2.6
"Kidney and renal pelvis",313.8,17.8,16.9,18.8,206.4,25.5,23.9,27.1,107.4,11.2,10.3,12.3,49.2,2.6,2.2,2.9,31.6,3.8,3.3,4.5,17.6,1.5,1.2,1.9
"Brain and other central nervous system",110.6,7,6.4,7.6,60.6,8.1,7.2,9.1,50,5.9,5.2,6.8,71.2,4.1,3.7,4.6,40.4,5.1,4.4,5.9,30.8,3.3,2.7,3.8
"Thyroid",338.8,23,21.9,24.1,96.4,13,11.8,14.3,242.4,32.5,30.6,34.5,10,0.5,0.4,0.7,4.2,0.5,0.3,0.8,5.8,0.5,0.3,0.7
"Hodgkin lymphoma",49.4,3.5,3.1,4,26.2,3.9,3.2,4.6,23.2,3.2,2.7,3.9,5,0.3,0.2,0.4,2.4,0.3,0.1,0.5,2.6,0.3,0.1,0.5
"Non-Hodgkin lymphomas",403.4,23.1,22.1,24.2,215.8,27.8,26.1,29.5,187.6,19.5,18.2,20.8,95,5.1,4.6,5.6,53,6.7,5.9,7.6,42,3.9,3.4,4.5
"Myeloma",150.6,8.3,7.7,9,83.8,10.5,9.5,11.6,66.8,6.6,5.9,7.4,51.2,2.7,2.4,3,28.2,3.5,3,4.2,23,2.1,1.7,2.5
"Leukemias",307,17.8,16.8,18.7,182.4,23.5,22,25.2,124.6,13.3,12.2,14.5,108.6,5.9,5.4,6.4,64.8,8.6,7.7,9.6,43.8,4,3.4,4.6
