"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",3004.8,519.2,510.7,527.9,1520.8,571.7,558.6,585.2,1484,481.8,470.4,493.4,935.8,158.2,153.6,163,471,184.7,177.1,192.5,464.8,140.4,134.6,146.5
"Oral cavity and pharynx",73.8,12.7,11.4,14.1,48.6,18.1,15.8,20.6,25.2,8.1,6.7,9.7,13.2,2.2,1.7,2.8,7.6,2.8,2,3.9,5.6,1.7,1.1,2.5
"Esophagus",27.4,4.6,3.9,5.5,21.4,8,6.5,9.7,6,1.9,1.2,2.7,26.2,4.3,3.6,5.1,22.2,8.3,6.8,10,4,1.1,0.7,1.8
"Stomach",46,7.9,6.9,9.1,30.4,11.7,9.9,13.8,15.6,5,3.9,6.3,14.2,2.5,2,3.2,8.4,3.4,2.4,4.6,5.8,1.9,1.3,2.8
"Colorectal",224,39.1,36.8,41.6,109,43.2,39.5,47.1,115,35.8,32.8,39,77.6,13.1,11.7,14.5,37.6,15.2,13.1,17.7,40,11.6,10,13.5
"Colon excluding rectum",153.6,26.8,24.9,28.9,71.6,28.8,25.8,32.1,82,25.2,22.7,27.9,58.8,9.7,8.6,10.9,27.6,11.3,9.5,13.5,31.2,8.7,7.3,10.2
"Rectum & rectosigmoid",70.4,12.3,11,13.7,37.4,14.3,12.3,16.6,33,10.6,9,12.4,18.8,3.3,2.7,4.1,10,3.9,2.9,5.2,8.8,2.9,2.1,4
"Liver / intrahepatic bile duct",48.2,7.8,6.8,8.9,35.4,12.3,10.5,14.3,12.8,3.9,3,5.1,33.6,5.6,4.8,6.6,22.6,8.3,6.8,10,11,3.4,2.5,4.5
"Pancreas",89.6,15.3,13.9,16.8,45.4,17.4,15.1,19.9,44.2,13.6,11.8,15.6,71.6,11.9,10.6,13.2,34.6,13.3,11.4,15.5,37,10.7,9.2,12.4
"Larynx",22.6,3.7,3,4.5,18.4,6.6,5.3,8.2,4.2,1.3,0.8,2,7,1.2,0.8,1.6,6.2,2.4,1.6,3.4,0.8,0.2,0.1,0.7
"Lung and bronchus",449.6,75.6,72.4,78.9,220,83.9,78.9,89.1,229.6,69.9,65.8,74.1,249.2,41.7,39.4,44.1,130,49.7,45.9,53.8,119.2,35.8,32.9,38.9
"Melanoma of the skin",107.2,19.5,17.8,21.3,60.6,24.2,21.5,27.2,46.6,16.3,14.2,18.7,12.2,2.1,1.6,2.8,8.2,3.2,2.3,4.5,4,1.3,0.8,2.1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,413.4,136.7,130.6,143,NA,NA,NA,NA,NA,NA,NA,NA,63.8,19.9,17.7,22.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,16.4,6.5,5.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,5,1.6,1,2.5
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,99.2,32.2,29.3,35.2,NA,NA,NA,NA,NA,NA,NA,NA,13.2,3.9,3,5
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,30.2,9.9,8.3,11.7,NA,NA,NA,NA,NA,NA,NA,NA,21,6.5,5.3,8
"Prostate",NA,NA,NA,NA,444,152.8,146.4,159.5,NA,NA,NA,NA,NA,NA,NA,NA,41.4,17,14.7,19.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,13.6,6.2,4.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.2,0.1,0.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",152.6,26.1,24.3,28.1,111.4,44.4,40.7,48.4,41.2,12.5,10.8,14.5,24.2,4,3.3,4.8,17,6.8,5.4,8.4,7.2,2.1,1.4,2.9
"Kidney and renal pelvis",108,19,17.4,20.8,66.8,25.4,22.6,28.4,41.2,13.7,11.8,15.9,17.4,2.9,2.3,3.7,11.2,4.2,3.2,5.5,6.2,1.9,1.2,2.7
"Brain and other central nervous system",39.2,7.5,6.4,8.6,21.8,8.8,7.2,10.7,17.4,6.4,5,8,29.8,5.6,4.7,6.6,17.4,7.1,5.6,8.8,12.4,4.4,3.3,5.7
"Thyroid",83.4,17.2,15.5,19,19.4,7.9,6.4,9.7,64,26.1,23.2,29.2,4.2,0.7,0.4,1.1,2.4,1,0.5,1.8,1.8,0.5,0.2,1.1
"Hodgkin lymphoma",15.6,3.1,2.4,3.9,8,3.4,2.4,4.7,7.6,2.8,1.9,3.9,1.6,0.3,0.1,0.6,0.8,0.3,0.1,0.9,0.8,0.2,0.1,0.7
"Non-Hodgkin lymphomas",117,20.6,18.9,22.4,59.6,23.2,20.6,26.1,57.4,18.3,16.1,20.6,27.4,4.6,3.9,5.5,15,6.1,4.7,7.6,12.4,3.5,2.6,4.5
"Myeloma",41.4,7.2,6.2,8.3,21,8.2,6.7,10,20.4,6.4,5.2,7.9,15.6,2.7,2.1,3.4,6.4,2.6,1.8,3.7,9.2,2.8,2,3.8
"Leukemias",103.2,18.1,16.5,19.8,59.8,23.4,20.7,26.3,43.4,13.9,12.1,16,39.6,7,6,8.1,19.2,8.1,6.5,9.9,20.4,6.4,5.1,7.8
