"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",777,511.9,495.2,529,402,568.9,543.3,595.4,375,473.7,451.3,497.1,253.6,161.4,152.4,170.8,132.2,194.6,179.6,210.6,121.4,138.6,127.5,150.7
"Oral cavity and pharynx",20.2,13,10.5,16.1,14,19.1,14.7,24.4,6.2,8.2,5.4,12.1,4,2.7,1.6,4.3,3,4.8,2.6,8.2,1,1.3,0.4,3.3
"Esophagus",9.8,6.2,4.5,8.3,8.8,12.5,9,17.1,1,1.1,0.3,2.9,8.2,5.4,3.8,7.4,7.4,10.8,7.5,15.2,0.8,0.9,0.2,2.6
"Stomach",8.8,5.9,4.2,8.1,5.6,8.3,5.4,12.3,3.2,4.2,2.3,7.1,2,1.4,0.6,2.8,1.4,2.4,0.9,5.3,0.6,0.6,0.1,2.3
"Colorectal",49.6,34.2,29.9,39,22.4,33.9,27.7,41.3,27.2,34.3,28.5,41.1,17.2,11.1,8.8,13.8,7.4,11.4,8,16,9.8,10.6,7.8,14.4
"Colon excluding rectum",35.2,23.9,20.3,27.9,13.2,19.8,15.2,25.6,22,27.4,22.3,33.4,14.6,9.3,7.3,11.9,5.6,8.8,5.7,13,9,9.7,7,13.3
"Rectum & rectosigmoid",14.4,10.3,7.9,13.2,9.2,14.1,10.1,19.2,5.2,6.9,4.4,10.5,2.6,1.7,0.9,3.1,1.8,2.6,1.2,5.2,0.8,0.9,0.3,2.7
"Liver / intrahepatic bile duct",9.2,5.7,4.1,7.7,6.4,8.6,5.8,12.4,2.8,3.3,1.8,5.8,7.8,4.9,3.5,6.9,5.2,6.9,4.5,10.4,2.6,3.2,1.6,5.9
"Pancreas",23,14.7,12,17.8,12.2,17.8,13.4,23.1,10.8,12.2,9.1,16.3,17.4,11,8.7,13.7,9,13.3,9.6,18.1,8.4,9.1,6.5,12.6
"Larynx",5.8,3.7,2.4,5.4,4.8,6.7,4.3,10.3,1,1.1,0.3,2.9,1.8,1.2,0.6,2.5,1.4,2.2,0.8,4.7,0.4,0.5,0.1,2.1
"Lung and bronchus",107.4,68,62.2,74.2,53.6,74.3,65.4,84.1,53.8,63.7,56.2,72.2,67.8,42.4,37.9,47.3,33,46.6,39.6,54.6,34.8,40.1,34.3,46.9
"Melanoma of the skin",42.4,30,25.8,34.6,26.2,38.2,31.7,45.8,16.2,23.8,18.5,30.1,5.4,3.7,2.4,5.5,3.6,5.3,3,8.7,1.8,2.2,1,4.6
