"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",2036.8,496.2,486.4,506.2,1007.2,528.3,513.3,543.6,1029.6,479.9,466.6,493.6,739.6,183.1,177.2,189.3,358.2,204.8,195.1,214.8,381.4,170.7,163,178.7
"Oral cavity and pharynx",49.2,11.7,10.3,13.3,34.4,17.5,14.9,20.5,14.8,6.8,5.3,8.7,9,2.1,1.5,2.8,6.2,3.3,2.2,4.7,2.8,1.2,0.6,2
"Esophagus",21,5.1,4.1,6.2,16.8,9,7.1,11.2,4.2,1.9,1.2,2.9,15.4,3.6,2.9,4.6,11.2,5.7,4.3,7.5,4.2,1.9,1.1,2.9
"Stomach",35,8.6,7.3,10,20.2,10.5,8.5,12.9,14.8,7,5.4,8.8,14,3.5,2.7,4.4,8.2,4.5,3.2,6.2,5.8,2.6,1.7,3.8
"Colorectal",164,40.5,37.7,43.4,88.4,48,43.5,52.8,75.6,34.5,31,38.2,61.8,15.5,13.8,17.4,30,17,14.3,20.1,31.8,14.5,12.2,17
"Colon excluding rectum",119.4,29.6,27.3,32.2,60.4,33.5,29.7,37.6,59,26.7,23.7,30.1,48.6,12.2,10.7,13.9,24,13.6,11.2,16.4,24.6,11.2,9.2,13.4
"Rectum & rectosigmoid",44.6,10.8,9.4,12.4,28,14.5,12.1,17.2,16.6,7.7,6.1,9.6,13.2,3.3,2.5,4.2,6,3.4,2.3,4.9,7.2,3.3,2.3,4.6
"Liver / intrahepatic bile duct",41,9.3,8.1,10.7,28.8,13.7,11.5,16.2,12.2,5.5,4.2,7.1,31.2,7.4,6.3,8.7,21.2,10.9,8.8,13.3,10,4.5,3.3,6
"Pancreas",61.6,14.6,13,16.4,31.2,16,13.5,18.8,30.4,13.5,11.4,15.8,59.8,14.6,13,16.4,29.8,16.3,13.7,19.2,30,13.2,11.1,15.6
"Larynx",12,2.8,2.2,3.7,9.4,5,3.6,6.7,2.6,1.2,0.6,2,4.8,1.2,0.8,1.8,4,2.4,1.4,3.7,0.8,0.3,0.1,0.9
"Lung and bronchus",254.8,62.9,59.4,66.5,121.6,66.4,61,72.1,133.2,60.9,56.2,65.8,177.8,44.4,41.5,47.5,86.6,48.9,44.3,53.9,91.2,41.5,37.7,45.5
"Melanoma of the skin",84,20.3,18.3,22.3,48.8,25.9,22.6,29.5,35.2,16.1,13.8,18.8,11.2,2.6,2,3.4,7.8,4.2,2.9,5.7,3.4,1.5,0.9,2.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,294,138.6,131.4,146.1,NA,NA,NA,NA,NA,NA,NA,NA,56.4,24.6,21.7,27.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,19.6,10.6,8.5,12.9,NA,NA,NA,NA,NA,NA,NA,NA,5.8,2.8,1.8,4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,73,31.8,28.6,35.4,NA,NA,NA,NA,NA,NA,NA,NA,15.8,7,5.5,8.8
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,26.2,12.1,10.1,14.5,NA,NA,NA,NA,NA,NA,NA,NA,18.4,8.3,6.7,10.2
"Prostate",NA,NA,NA,NA,236.6,114.7,108,121.7,NA,NA,NA,NA,NA,NA,NA,NA,34.6,21.8,18.6,25.4,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,11.8,6.9,5.2,8.9,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0,0.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",97.8,23.9,21.8,26.2,77,43.3,39,48.1,20.8,9,7.3,11,21.6,5.6,4.6,6.8,16.2,10.4,8.2,12.9,5.4,2.4,1.6,3.6
"Kidney and renal pelvis",75.8,18.1,16.2,20,51.2,25.8,22.6,29.3,24.6,11.3,9.3,13.5,13.4,3.3,2.5,4.2,8,4.3,3,5.9,5.4,2.5,1.6,3.6
"Brain and other central nervous system",22,5.5,4.5,6.7,14.4,7.6,5.9,9.7,7.6,3.8,2.6,5.2,19.8,5,4,6.1,10.2,5.3,3.9,7.1,9.6,4.6,3.4,6.1
"Thyroid",73.6,20.1,18,22.3,18.4,9.9,7.9,12.3,55.2,30.3,26.7,34.1,1.6,0.4,0.2,0.9,1,0.6,0.2,1.4,0.6,0.3,0.1,0.9
"Hodgkin lymphoma",10.8,2.8,2.1,3.7,5.8,3.1,2.1,4.5,5,2.6,1.7,3.8,1.2,0.3,0.1,0.7,1,0.5,0.2,1.2,0.2,0.1,0,0.7
"Non-Hodgkin lymphomas",99.4,24.3,22.2,26.6,56.4,30.2,26.7,34.1,43,19.7,17.1,22.6,27.2,6.7,5.6,7.9,15.4,9,7.1,11.4,11.8,5,3.8,6.5
"Myeloma",35,8.5,7.2,9.9,18.2,9.2,7.4,11.4,16.8,7.8,6.2,9.7,14.6,3.7,2.9,4.6,7.8,4.5,3.2,6.2,6.8,2.9,2,4.2
"Leukemias",59.8,15.2,13.5,17.1,34,19.4,16.5,22.6,25.8,12.4,10.3,14.8,31.6,8.1,6.9,9.5,16.2,9.7,7.7,12.2,15.4,7.2,5.6,9
