"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",292.8,544,515.6,573.7,154.6,604.5,561.1,650.5,138.2,498.6,460.7,539,97.4,178.5,162.6,195.6,52.2,213.5,187.5,242.3,45.2,155.2,135.1,177.7
"Oral cavity and pharynx",6.2,11.1,7.5,16,4.2,16.5,10,25.8,2,6.9,3.3,13.4,2.2,3.9,1.9,7.3,1.2,4.5,1.6,10.6,1,3.6,1.1,9
"Esophagus",4.2,7,4.3,11,3.2,10.3,5.8,17.5,1,3.7,1.2,9.3,3.6,6.5,3.8,10.6,2.6,9,4.7,16.1,1,3.9,1.2,9.7
"Stomach",3,5.8,3.2,9.9,1.8,6.7,3,13.4,1.2,4.7,1.7,10.7,1.4,2.2,0.9,5,1.4,5,1.9,11.1,0,0,0,3.8
"Colorectal",24,45.2,37.2,54.5,12.2,46.7,35.3,60.9,11.8,42.3,31.8,55.5,7.8,14.4,10.1,20.1,4.2,17.3,10.5,27.2,3.6,11.8,6.9,19.3
"Colon excluding rectum",15.8,30.3,23.8,38.2,7.4,28.8,19.9,40.6,8.4,30.2,21.5,41.6,6.6,12.1,8.2,17.3,3.6,14.5,8.3,23.6,3,9.9,5.5,17.1
"Rectum & rectosigmoid",8.2,14.9,10.6,20.6,4.8,17.9,11.3,27.3,3.4,12.1,6.8,20.2,1.2,2.3,0.8,5.4,0.6,2.9,0.6,8.6,0.6,1.9,0.4,6.5
"Liver / intrahepatic bile duct",6,10.6,7,15.4,3.8,13.7,8.1,22,2.2,7.4,3.5,14.1,5,8.9,5.7,13.4,2.6,9.8,5.1,17.4,2.4,7.9,4,14.5
"Pancreas",11.4,20.8,15.7,27.3,5.8,23.1,15.3,33.9,5.6,18.2,12,27,8.2,15.2,10.8,21,4,15.5,9.3,24.5,4.2,15.5,9.4,24.3
"Larynx",2.4,4.4,2.2,7.9,1.6,6.6,2.8,13.5,0.8,2.8,0.7,7.8,0.6,0.8,0.2,3.1,0.4,1.1,0.1,5.4,0.2,0.6,0,4.6
"Lung and bronchus",48.4,85.8,75.1,97.8,26,100.4,83.3,120.3,22.4,74.8,61.3,90.7,26.8,48.9,40.8,58.3,14.2,57.3,44.3,73.1,12.6,42.8,32.8,55.4
"Melanoma of the skin",16.4,32.2,25.3,40.5,9.6,39.5,28.8,53.2,6.8,26.4,17.8,37.8,1,1.9,0.6,4.6,0.6,2.5,0.5,7.8,0.4,1.3,0.2,5.6
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,29.8,110.7,93,130.9,NA,NA,NA,NA,NA,NA,NA,NA,4.4,14.9,9.2,23.2
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.4,5.8,2.2,12.6,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2.7,0.7,7.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,11.4,40.2,30.1,53,NA,NA,NA,NA,NA,NA,NA,NA,1.4,5,2,11
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,3,10.1,5.6,17.3,NA,NA,NA,NA,NA,NA,NA,NA,1.2,4,1.5,9.5
"Prostate",NA,NA,NA,NA,32,115.6,97.9,135.8,NA,NA,NA,NA,NA,NA,NA,NA,2.4,11.5,5.9,20.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.4,12,6.1,21.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",17,30.8,24.5,38.3,13.4,51.9,39.9,66.6,3.6,12.3,7.2,20.2,4.8,9.3,5.9,14.2,4,17.9,10.7,28.1,0.8,2.8,0.8,8
"Kidney and renal pelvis",10.2,19.6,14.5,26.2,5.6,22.9,15,33.7,4.6,17,10.6,26.2,2.6,4.4,2.3,7.8,1.8,6.1,2.7,12.3,0.8,2.6,0.7,7.7
"Brain and other central nervous system",2.6,5.6,2.9,9.8,1,4.8,1.5,11.4,1.6,6.5,2.7,13.5,2.8,5.6,3,9.8,1,4.8,1.5,11.6,1.8,6.5,2.8,13.2
"Thyroid",6.4,13.1,8.8,18.9,0.6,2.5,0.5,7.9,5.8,23.8,15.5,35,0,0,0,1.9,0,0,0,3.9,0,0,0,3.8
"Hodgkin lymphoma",1.6,3.3,1.4,6.7,0.6,2.1,0.4,7,1,4.5,1.4,10.8,0.2,0.4,0,2.7,0.2,0.9,0,5.5,0,0,0,3.8
"Non-Hodgkin lymphomas",11.4,20.7,15.6,27.2,6.2,23.4,15.7,34,5.2,18.4,11.8,27.6,4.4,8,5,12.4,2.4,9.8,5,17.6,2,6.5,3.1,12.7
"Myeloma",3.4,6.1,3.4,10.1,2.2,8.1,3.9,15.2,1.2,4.5,1.5,10.6,1,1.8,0.6,4.6,1,4.2,1.3,10.4,0,0,0,3.8
"Leukemias",10.2,20.6,15.2,27.5,6.4,27.5,18.5,39.4,3.8,15,8.6,24.3,3.4,7.1,4,11.6,1.8,8.2,3.7,16,1.6,6.7,2.7,13.9
