"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",402.6,487.6,465,511.1,203,513.6,480.8,548.2,199.6,474.1,442.5,507.7,131,146.5,135.1,158.9,69.8,173.9,155.5,194.2,61.2,124.9,110.6,140.8
"Oral cavity and pharynx",11.6,14.3,10.7,18.9,8.4,22.2,15.7,30.6,3.2,7.6,4.1,13.2,2.2,2.4,1.2,4.6,1.4,3.2,1.3,7.3,0.8,1.6,0.4,5
"Esophagus",4.6,5.2,3.2,8,4,9,5.5,14.5,0.6,1.6,0.3,5.4,4.2,5.3,3.1,8.4,3.2,8.1,4.4,13.9,1,2.7,0.8,7
"Stomach",3.8,4.7,2.7,7.8,2.6,7.2,3.6,13.1,1.2,2.3,0.8,6,1.4,1.8,0.6,4.2,1.2,3.3,1,7.9,0.2,0.4,0,3.5
"Colorectal",35.8,43.4,36.9,50.9,21.8,56.5,45.9,69,14,31.9,24.2,41.4,11.8,13.1,9.9,17.3,5.4,13.1,8.5,19.6,6.4,12.8,8.5,19
"Colon excluding rectum",23.2,28.2,23,34.4,13,33.6,25.6,43.5,10.2,23.4,16.8,32,8.4,9.3,6.6,12.8,3.8,9.6,5.7,15.5,4.6,8.5,5.3,13.6
"Rectum & rectosigmoid",12.6,15.2,11.5,19.9,8.8,23,16.3,31.6,3.8,8.5,5,14,3.4,3.9,2.2,6.5,1.6,3.4,1.5,7.5,1.8,4.3,1.8,9
"Liver / intrahepatic bile duct",5.6,6.8,4.4,10.1,4.4,11.1,6.9,17.3,1.2,2.9,1,7.1,3.8,4.4,2.6,7.2,2.4,5.7,2.9,10.5,1.4,3.5,1.3,8
"Pancreas",11,11.8,8.8,15.7,5.2,12.5,8.1,18.9,5.8,11.6,7.7,17.2,9.4,9.8,7.2,13.3,4.6,10.7,6.7,16.6,4.8,9.4,6,14.6
"Larynx",3.6,3.6,2.1,6,2.8,6.2,3.3,11,0.8,1.5,0.4,4.9,0.8,0.8,0.2,2.5,0.4,0.9,0.1,4.2,0.4,0.8,0.1,4
"Lung and bronchus",50.2,55.6,48.7,63.3,25.6,61.4,51,73.7,24.6,50.7,41.8,61.4,29,31.9,26.8,37.9,16.8,40.1,31.7,50.2,12.2,25.4,19.2,33.2
"Melanoma of the skin",23.8,31.2,25.4,38,16,42.3,33.2,53.4,7.8,23.2,15.7,33,2.2,2.4,1.2,4.7,1.2,2.9,1,7,1,1.7,0.5,5.1
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,57,144.5,126.8,164.1,NA,NA,NA,NA,NA,NA,NA,NA,7,13.8,9.4,20
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.8,6.2,2.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,0.1,4.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,18.2,44.1,34.7,55.5,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5.3,2.8,9.7
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,6,15.4,9.9,23.1,NA,NA,NA,NA,NA,NA,NA,NA,4.4,8.7,5.4,14
"Prostate",NA,NA,NA,NA,38,86.7,74.4,100.7,NA,NA,NA,NA,NA,NA,NA,NA,8.2,20.5,14.7,28.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,8.4,3.7,15.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",21.2,22.6,18.4,27.6,14.6,34.6,27,44,6.6,13.5,9.1,19.7,4.8,5,3.2,7.7,3,7.6,4.2,13,1.8,3.4,1.5,7.3
"Kidney and renal pelvis",13.8,16.3,12.5,21,10,25.6,18.7,34.4,3.8,8.2,4.9,13.4,3.8,4.1,2.5,6.7,2.6,6.3,3.3,11.3,1.2,2.4,0.9,6
"Brain and other central nervous system",7.8,12.2,8.3,17.2,4.2,14.4,8.5,22.7,3.6,10.1,5.4,17.1,4.8,6.1,3.8,9.6,2.4,6.2,3,11.6,2.4,6.1,2.9,11.4
"Thyroid",7.2,11.8,7.9,16.8,2,7.3,3.2,14.1,5.2,16.1,10,24.5,0.2,0.4,0,2.2,0,0,0,2.9,0.2,0.8,0,4.4
"Hodgkin lymphoma",1.8,3.3,1.4,6.6,1,3.2,0.9,8.2,0.8,3.5,0.8,8.9,0.2,0.2,0,1.7,0.2,0.4,0,3.5,0,0,0,2.9
"Non-Hodgkin lymphomas",18.4,22,17.4,27.5,10.2,25.6,18.7,34.5,8.2,18.9,13.2,26.5,4.6,5,3,7.9,2,5.2,2.3,10.3,2.6,4.8,2.5,9
"Myeloma",6,7.2,4.8,10.7,3.8,9.6,5.7,15.5,2.2,5.2,2.3,10.2,2.6,3,1.5,5.4,1.4,3.7,1.4,8.2,1.2,2.2,0.8,5.8
"Leukemias",12.8,15.2,11.4,20,7.2,20,13.6,28.5,5.6,11.1,7.2,17,4.6,5.7,3.5,8.9,3.4,9.6,5.4,16,1.2,2.1,0.8,5.6
