"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1040.2,522.5,507.9,537.4,527.2,570.5,548.1,593.6,513,489.5,470,509.6,323.8,161.6,153.7,169.9,164,189,175.8,202.8,159.8,142.6,132.6,153.2
"Oral cavity and pharynx",29.6,14,11.7,16.5,23.2,23.6,19.3,28.5,6.4,5.6,3.8,8,4.8,2.5,1.5,3.8,3.6,4.2,2.4,6.8,1.2,1,0.4,2.4
"Esophagus",15.4,7.5,5.9,9.5,12.2,13,9.8,16.9,3.2,2.8,1.6,4.7,9.6,4.8,3.5,6.4,8.4,9.1,6.5,12.5,1.2,1.2,0.4,2.7
"Stomach",13,6.6,5.1,8.5,8.6,9.7,6.9,13.2,4.4,4.1,2.6,6.4,4,2,1.2,3.2,2.4,2.6,1.3,4.6,1.6,1.5,0.6,3.1
"Colorectal",77.2,40.7,36.7,45.1,39.8,47.3,40.7,54.5,37.4,35.5,30.5,41.3,26.6,13.6,11.3,16.2,14,16.9,13.1,21.5,12.6,11.1,8.4,14.4
"Colon excluding rectum",55.2,29.2,25.8,33,26.2,31.7,26.3,37.8,29,27.3,22.9,32.4,20.2,10.3,8.3,12.6,9.4,11.1,8.1,15,10.8,9.5,7.1,12.6
"Rectum & rectosigmoid",22,11.5,9.4,14,13.6,15.6,12,19.9,8.4,8.3,5.9,11.3,6.4,3.3,2.2,4.7,4.6,5.8,3.6,8.8,1.8,1.6,0.7,3.2
"Liver / intrahepatic bile duct",19,9.1,7.3,11.2,14.4,14.8,11.5,18.9,4.6,4.2,2.7,6.5,12.6,6.2,4.7,8,9.6,10.2,7.4,13.7,3,2.8,1.6,4.8
"Pancreas",29.2,14.5,12.2,17.2,16.2,18.3,14.4,22.9,13,11.6,8.9,15,18.4,9.2,7.4,11.4,10.2,11.3,8.3,15.1,8.2,7.3,5.2,10.2
"Larynx",7.6,3.8,2.7,5.3,6.2,7.2,4.8,10.3,1.4,1.2,0.5,2.6,2.6,1.3,0.7,2.2,2.2,2.5,1.2,4.5,0.4,0.3,0,1.4
"Lung and bronchus",168,82,76.4,87.9,80.8,87.3,78.7,96.7,87.2,78.3,71,86.3,91,44.9,40.7,49.3,43.8,48.9,42.4,56.1,47.2,42.5,37.1,48.5
"Melanoma of the skin",43.8,22.4,19.4,25.7,25.6,28.3,23.5,33.9,18.2,18.1,14.4,22.5,6.4,3.3,2.2,4.7,3.8,4.4,2.6,7,2.6,2.5,1.3,4.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,137.2,133.7,123.5,144.6,NA,NA,NA,NA,NA,NA,NA,NA,21.8,19.6,15.9,23.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.4,5.6,3.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.2,0.5,2.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,33.4,29.9,25.4,35,NA,NA,NA,NA,NA,NA,NA,NA,5,4.5,2.9,6.7
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.9,9,15.6,NA,NA,NA,NA,NA,NA,NA,NA,8.6,7.7,5.5,10.5
"Prostate",NA,NA,NA,NA,112.4,109.8,100.6,119.7,NA,NA,NA,NA,NA,NA,NA,NA,13.6,17.4,13.5,22.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,5.2,6.9,4.5,10.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",51.4,25.2,22.2,28.6,35,39.7,33.9,46.3,16.4,13.9,11,17.4,9.6,4.6,3.4,6.2,5.8,7.1,4.7,10.2,3.8,3.1,1.8,5
"Kidney and renal pelvis",43.4,22.1,19.1,25.4,27.2,30.1,25.1,35.9,16.2,15.5,12.2,19.6,7.6,3.6,2.6,5.1,4.2,4.8,2.9,7.5,3.4,2.8,1.6,4.7
"Brain and other central nervous system",14.4,7.8,6,10,8.2,8.5,6,11.7,6.2,7.3,4.8,10.5,8.4,4.2,3,5.8,6,6.8,4.5,9.9,2.4,2,1,3.8
"Thyroid",25.6,15.2,12.6,18.2,8,9,6.3,12.5,17.6,21.2,16.9,26.4,0.6,0.3,0.1,0.9,0,0,0,1,0.6,0.5,0.1,1.8
"Hodgkin lymphoma",6,3.8,2.5,5.4,4.2,5.2,3.2,8.1,1.8,2.4,1.1,4.6,0.6,0.4,0.1,1.1,0.6,0.9,0.2,2.5,0,0,0,1
"Non-Hodgkin lymphomas",44.4,22.3,19.3,25.5,22.6,25.1,20.5,30.4,21.8,20.1,16.4,24.4,12.8,6.5,5,8.4,7,8.6,5.9,12,5.8,5.3,3.5,7.7
"Myeloma",14,6.6,5.1,8.5,8.2,8.3,5.9,11.5,5.8,5.1,3.4,7.5,6.2,3,2,4.3,2.4,2.5,1.2,4.4,3.8,3.2,1.9,5.1
"Leukemias",36.2,18.5,15.8,21.5,22.4,24.8,20.2,30.1,13.8,13.5,10.4,17.3,10.8,5.4,4,7.1,7,8.1,5.6,11.5,3.8,3.5,2.1,5.6
