"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",2999.2,526.2,517.6,535,1463,565,551.7,578.5,1536.2,501.8,490.3,513.6,834.2,145,140.5,149.6,415.2,170.8,163.3,178.6,419,127.5,122,133.2
"Oral cavity and pharynx",59.6,10.1,8.9,11.3,40.8,15.1,13,17.4,18.8,5.8,4.7,7.2,11.2,1.8,1.4,2.4,7.8,2.7,1.9,3.8,3.4,1,0.6,1.6
"Esophagus",25.8,4.3,3.6,5.1,19.4,7.1,5.7,8.8,6.4,2,1.4,2.9,20.4,3.5,2.8,4.2,15.4,5.7,4.5,7.3,5,1.6,1,2.4
"Stomach",50.8,8.8,7.7,10,30.8,12.2,10.2,14.3,20,6.2,5,7.6,22.6,3.8,3.2,4.6,11.6,4.7,3.6,6.2,11,3.2,2.4,4.3
"Colorectal",230.6,40.5,38.2,43,122,48.1,44.2,52.2,108.6,34,31.1,37.1,85.8,14.9,13.5,16.4,43.6,18.2,15.8,20.8,42.2,12.4,10.8,14.3
"Colon excluding rectum",165.6,29.1,27.2,31.2,83.6,33.4,30.1,36.8,82,25.5,23,28.2,70,12.2,10.9,13.6,34.2,14.3,12.2,16.7,35.8,10.6,9.1,12.4
"Rectum & rectosigmoid",65,11.4,10.1,12.7,38.4,14.7,12.7,17.1,26.6,8.5,7.1,10.1,15.8,2.7,2.1,3.4,9.4,3.9,2.8,5.2,6.4,1.8,1.2,2.6
"Liver / intrahepatic bile duct",65.4,10.9,9.7,12.2,46.8,17,14.8,19.4,18.6,5.7,4.6,7.1,41.2,6.9,5.9,7.9,27.6,10,8.3,11.9,13.6,4.2,3.2,5.4
"Pancreas",89.8,15.3,13.9,16.9,45,17.2,15,19.7,44.8,13.7,11.9,15.6,64.2,10.9,9.7,12.2,30,11.7,9.8,13.8,34.2,10.4,8.8,12.1
"Larynx",20.8,3.5,2.8,4.2,16.4,6.3,5,7.9,4.4,1.4,0.9,2.1,4.4,0.7,0.5,1.1,3.2,1.3,0.7,2.1,1.2,0.3,0.1,0.8
"Lung and bronchus",382.6,65.9,63,69,183.4,72.5,67.7,77.5,199.2,61.5,57.7,65.6,204.2,35.6,33.4,37.9,103.2,42.2,38.5,46.1,101,30.8,28.1,33.7
"Melanoma of the skin",88.4,15.6,14.2,17.2,49.4,19.4,17,22.1,39,12.9,11.1,15,9.8,1.7,1.3,2.3,5.8,2.6,1.7,3.7,4,1.2,0.7,1.9
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,407.8,134.4,128.4,140.5,NA,NA,NA,NA,NA,NA,NA,NA,56.8,16.8,14.8,18.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,22.4,8.2,6.7,10,NA,NA,NA,NA,NA,NA,NA,NA,6.8,2.2,1.5,3.1
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,115.8,35.9,32.9,39,NA,NA,NA,NA,NA,NA,NA,NA,20.6,6.3,5.1,7.6
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,41.6,13.6,11.8,15.7,NA,NA,NA,NA,NA,NA,NA,NA,20,6,4.8,7.3
"Prostate",NA,NA,NA,NA,328.8,117.6,111.8,123.6,NA,NA,NA,NA,NA,NA,NA,NA,37,17,14.6,19.6,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,13.2,6,4.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,0.1,0.8,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",147.8,25.6,23.7,27.5,113.8,45.7,42,49.8,34,10.3,8.7,12,29.6,5.3,4.5,6.3,20.8,9.5,7.7,11.5,8.8,2.6,1.9,3.6
"Kidney and renal pelvis",123,21.4,19.7,23.2,81.4,30.7,27.7,33.9,41.6,13.5,11.7,15.5,20.8,3.7,3,4.5,13.8,5.6,4.3,7.1,7,2.2,1.5,3.1
"Brain and other central nervous system",38.2,7,6,8.1,20,7.9,6.4,9.7,18.2,6.2,4.9,7.6,22.6,4,3.3,4.8,13.2,5.1,3.9,6.6,9.4,3,2.2,4
"Thyroid",173,33.7,31.4,36.1,46.4,18.3,15.9,20.9,126.6,48.1,44.3,52.1,3.4,0.6,0.3,1,1,0.4,0.1,0.9,2.4,0.7,0.4,1.3
"Hodgkin lymphoma",18.4,3.8,3,4.7,11.6,4.8,3.6,6.3,6.8,2.8,1.9,4,2.4,0.4,0.2,0.7,1.6,0.6,0.3,1.3,0.8,0.2,0.1,0.7
"Non-Hodgkin lymphomas",141.6,25.5,23.6,27.5,75.8,30.7,27.6,34.1,65.8,21.3,19,23.9,22.6,4.1,3.3,4.9,13.6,5.8,4.5,7.4,9,2.7,2,3.7
"Myeloma",53.2,9.2,8.1,10.4,30.6,12,10.1,14.2,22.6,6.9,5.7,8.3,15.2,2.7,2.1,3.4,9,3.7,2.6,4.9,6.2,2,1.3,2.8
"Leukemias",102,18.6,17,20.4,60.2,24.3,21.6,27.3,41.8,14.3,12.4,16.4,32,5.8,4.9,6.8,16,7,5.5,8.7,16,5.1,4,6.4
