"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",212.4,459,430.5,489.1,113.6,495.2,453.6,540.1,98.8,429.1,389.9,471.5,72.6,152.8,137,170.1,39,173.3,149.1,200.9,33.6,134.4,114.2,157.9
"Oral cavity and pharynx",6,13.3,8.8,19.5,4.6,21.1,13.1,32.7,1.4,5.8,2.3,13.3,0.8,1.6,0.4,4.8,0.4,1.3,0.2,6.8,0.4,1.7,0.2,7.8
"Esophagus",2.6,5.2,2.7,9.5,2,8.2,3.8,16.3,0.6,2,0.4,7.9,2.2,4.3,2.1,8.4,1.6,6.2,2.6,13.6,0.6,2.3,0.5,8.6
"Stomach",2.8,6.2,3.4,10.9,1.4,6.3,2.5,14,1.4,6.1,2.4,13.7,0.8,1.6,0.4,4.9,0.6,2.6,0.5,9,0.2,0.6,0,6.2
"Colorectal",14.4,32.2,24.8,41.4,7.4,34.7,23.8,49.4,7,29.7,20.2,42.7,5.8,12.2,8,18.2,2.6,11.8,6,21.5,3.2,12.6,7,21.8
"Colon excluding rectum",11,25.1,18.5,33.5,5.8,28.3,18.3,42.1,5.2,21.9,13.8,33.6,5.2,11,7,16.8,2.6,11.8,6,21.5,2.6,10.1,5.2,18.8
"Rectum & rectosigmoid",3.4,7.1,4.1,11.9,1.6,6.4,2.7,13.9,1.8,7.8,3.5,16,0.6,1.2,0.2,4.4,0,0,0,5.2,0.6,2.5,0.5,8.8
"Liver / intrahepatic bile duct",3.8,7.4,4.4,12.2,3.6,13.9,8.1,23.2,0.2,1.1,0,7.1,2.4,5.3,2.7,9.8,1.8,8.1,3.6,16.5,0.6,2.4,0.5,8.6
"Pancreas",5.8,12.7,8.3,18.9,2,9.2,4.4,17.9,3.8,16.3,9.4,26.9,3.8,8.5,4.9,13.9,1.8,8.3,3.7,16.7,2,9.2,4.1,18.4
"Larynx",0.8,1.7,0.5,5.1,0.8,3.5,0.9,10.2,0,0,0,5.4,0.2,0.5,0,3.4,0.2,1,0,6.8,0,0,0,5.4
"Lung and bronchus",29.8,60.9,51.2,72.2,15.2,64.7,50.4,82.3,14.6,57.8,44.9,74.1,21.4,46,37.4,56.3,10.6,47.8,35.3,63.7,10.8,44.2,32.7,59
"Melanoma of the skin",10.4,23.1,16.9,31.1,6.2,29.4,19.4,43.1,4.2,17.7,10.7,28.5,1.6,3.4,1.5,7.3,1.4,6.8,2.7,14.9,0.2,0.6,0,6.2
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,29,131.7,109.8,157.1,NA,NA,NA,NA,NA,NA,NA,NA,3.6,14.3,8.3,23.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1,7.4,2.3,17.4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.8,0,6.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,8.4,33.2,23.7,46.2,NA,NA,NA,NA,NA,NA,NA,NA,1.4,4.9,2,11.8
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,1.2,4.7,1.7,11.7,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,1.3,10.9
"Prostate",NA,NA,NA,NA,24.4,98.9,81.8,119.2,NA,NA,NA,NA,NA,NA,NA,NA,5,22.8,14.6,34.6,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.4,9.6,3.7,20.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",14.2,29.5,22.9,37.8,11,47.3,35.4,62.7,3.2,12.7,7.2,21.9,1.6,3.3,1.4,7.1,1.2,5.2,1.8,12.5,0.4,1.5,0.2,7.4
"Kidney and renal pelvis",9.8,20.8,15.2,28.2,6,25.7,17.1,37.9,3.8,16.1,9.4,26.7,2.4,5.1,2.6,9.5,1,4.8,1.5,12.4,1.4,5.2,2.1,12.2
"Brain and other central nervous system",3.2,6.7,3.7,11.7,2.2,8.3,4.1,16.2,1,5.5,1.5,14.3,2.4,4.7,2.3,8.9,1.8,7,3.1,14.8,0.6,2.2,0.5,8.4
"Thyroid",6,17.2,11.2,25.3,1.4,8.7,3,19.2,4.6,25.7,15.8,39.8,0.2,0.5,0,3.4,0,0,0,5.2,0.2,1,0,6.9
"Hodgkin lymphoma",1,2.8,0.9,6.8,0.8,4.7,1.2,12.6,0.2,0.8,0,6.4,0,0,0,2.7,0,0,0,5.2,0,0,0,5.4
"Non-Hodgkin lymphomas",7.4,15.6,10.9,22,4.8,21.3,13.5,32.7,2.6,10.5,5.5,19.3,2.8,6,3.2,10.7,2,8.3,3.9,16.5,0.8,3.7,0.9,10.9
"Myeloma",3.2,6.1,3.5,10.6,2.6,9.9,5.2,18.2,0.6,2.5,0.5,9,1,2,0.6,5.5,0.8,3.3,0.9,9.9,0.2,1.1,0,7.1
"Leukemias",7.2,14.6,10.1,20.7,4.6,19,11.9,29.6,2.6,10.5,5.5,19.2,3.2,6.9,3.9,11.7,1.8,8.3,3.8,16.7,1.4,5.6,2.2,12.9
