"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",660,480.5,463.7,497.7,354,535.2,509.8,561.5,306,438,415.3,461.6,214.8,152.7,143.6,162.4,113.4,176.9,162.2,192.5,101.4,133.4,121.8,146
"Oral cavity and pharynx",18.2,12.7,10.2,15.8,12.6,18.7,14.2,24.2,5.6,6.8,4.5,10,3.2,2.2,1.2,3.7,2.2,3.5,1.7,6.4,1,1.1,0.3,2.9
"Esophagus",9,6.3,4.6,8.6,7.6,11.2,7.8,15.6,1.4,1.9,0.8,4.2,8.4,5.8,4.1,7.9,7.6,11,7.7,15.3,0.8,1.1,0.3,3.1
"Stomach",10.6,7.8,5.8,10.3,7.6,11.7,8.2,16.3,3,4.7,2.6,8,3.2,2.3,1.3,3.9,2.6,4.3,2.3,7.5,0.6,0.7,0.1,2.4
"Colorectal",55.4,40.9,36.1,46.1,27.2,42.3,35.3,50.3,28.2,39.3,32.9,46.8,17,12.6,10,15.7,8.2,13.3,9.5,18.3,8.8,11.9,8.6,16.3
"Colon excluding rectum",37.8,28.2,24.2,32.7,18,28.2,22.6,34.9,19.8,27.9,22.5,34.3,12.2,9.2,7,12,5.6,9.2,6.1,13.5,6.6,9.2,6.2,13.2
"Rectum & rectosigmoid",17.6,12.7,10.1,15.7,9.2,14,10.2,18.9,8.4,11.4,8.2,15.8,4.8,3.4,2.1,5.1,2.6,4.1,2.1,7.2,2.2,2.8,1.4,5.2
"Liver / intrahepatic bile duct",9.6,6.7,4.9,9,6.4,9.4,6.3,13.4,3.2,4.1,2.3,7,7.4,5.1,3.5,7.1,4,5.8,3.5,9.2,3.4,4.1,2.4,6.9
"Pancreas",20.2,14.1,11.4,17.3,8.6,12.3,8.8,16.8,11.6,15.2,11.4,19.9,15.2,10.8,8.5,13.6,6.8,10.1,6.9,14.4,8.4,11,7.8,15.1
"Larynx",7.6,5.3,3.7,7.4,5.8,8.4,5.6,12.3,1.8,2.5,1.1,5,0.6,0.4,0.1,1.2,0.6,0.9,0.2,2.8,0,0,0,1.4
"Lung and bronchus",106.4,74.3,68,81,54.8,81.4,71.8,91.9,51.6,68.7,60.4,77.8,64.2,44.6,39.8,49.9,36,54,46.2,62.8,28.2,37.5,31.5,44.4
"Melanoma of the skin",28.8,22.2,18.6,26.3,17.6,28.4,22.6,35.3,11.2,17.6,13.1,23.3,3,2.2,1.2,3.8,2.8,4.9,2.6,8.3,0.2,0.2,0,1.7
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,74.2,109.2,97.8,121.7,NA,NA,NA,NA,NA,NA,NA,NA,10.4,14.3,10.5,19
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.8,7.2,4.2,11.4,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.4,1,5.1
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,21,29,23.5,35.5,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.9,2.2,6.7
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.8,9.3,6,13.7,NA,NA,NA,NA,NA,NA,NA,NA,4.4,5.7,3.6,8.9
"Prostate",NA,NA,NA,NA,86.8,124.5,112.8,137.2,NA,NA,NA,NA,NA,NA,NA,NA,7.8,14.2,10.1,19.5,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,3.8,7.1,4.2,11.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.4,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",45,32,27.9,36.6,32.6,51.1,43.4,59.9,12.4,16.6,12.6,21.6,6.6,4.7,3.2,6.7,4,6.5,3.9,10.1,2.6,3.2,1.7,5.7
"Kidney and renal pelvis",22.2,17,13.8,20.6,15,23.5,18.3,29.7,7.2,10.5,7.2,14.8,4.8,3.3,2.1,5.1,2.6,3.7,1.9,6.5,2.2,2.8,1.4,5.3
"Brain and other central nervous system",9.4,7.4,5.3,10,4.6,7.5,4.7,11.5,4.8,7,4.4,10.8,4.8,3.6,2.3,5.5,2.4,4,2,7.2,2.4,3,1.6,5.6
"Thyroid",11.8,10.7,8.1,14,2.4,4.1,2.1,7.4,9.4,17.9,12.9,24.2,0.6,0.5,0.1,1.4,0.4,0.8,0.1,2.8,0.2,0.3,0,1.9
"Hodgkin lymphoma",2.6,2.3,1.2,3.9,1.4,2.3,0.9,4.8,1.2,2.3,0.8,5.1,0.4,0.3,0,1.2,0.4,0.6,0.1,2.4,0,0,0,1.4
"Non-Hodgkin lymphomas",24.8,18.6,15.4,22.4,13.6,21,16.2,26.9,11.2,16.1,12,21.2,6.8,4.9,3.3,6.9,3.8,5.9,3.5,9.4,3,3.9,2.2,6.7
"Myeloma",7.4,5.4,3.8,7.6,4.6,7.4,4.6,11.2,2.8,3.9,2,6.9,4,2.9,1.7,4.5,2.4,3.8,1.9,6.8,1.6,2.2,0.9,4.7
"Leukemias",21.4,16,13,19.5,13.2,20.9,16,26.8,8.2,11.2,8,15.5,6.4,5,3.4,7.2,3.6,6.6,3.9,10.6,2.8,3.7,2,6.4
