"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",9853.4,530.5,525.7,535.3,4975,583.7,576.3,591.2,4878.4,496,489.6,502.5,2703.4,142.2,139.7,144.6,1360.8,165.9,161.9,169.9,1342.6,126.3,123.2,129.4
"Oral cavity and pharynx",227.2,11.8,11.1,12.6,157.4,17.6,16.4,18.9,69.8,6.8,6.1,7.6,31,1.6,1.4,1.9,22,2.6,2.1,3.2,9,0.9,0.6,1.2
"Esophagus",92.2,4.7,4.3,5.2,72.6,8.2,7.4,9.1,19.6,1.9,1.5,2.3,72.6,3.7,3.3,4.1,60,6.9,6.1,7.7,12.6,1.2,0.9,1.6
"Stomach",138,7.4,6.9,8,81.8,9.7,8.7,10.7,56.2,5.7,5,6.4,52.8,2.8,2.5,3.2,29.2,3.4,2.9,4,23.6,2.3,1.9,2.8
"Colorectal",743.4,40.2,38.9,41.5,386.2,46.2,44.1,48.3,357.2,35.4,33.8,37.2,228.6,12,11.3,12.7,118,14.4,13.3,15.7,110.6,10.2,9.3,11.1
"Colon excluding rectum",535.2,29.1,28,30.2,263,31.9,30.1,33.7,272.2,26.9,25.5,28.5,189.2,9.9,9.3,10.6,96,11.8,10.7,12.9,93.2,8.6,7.8,9.4
"Rectum & rectosigmoid",208.2,11.1,10.4,11.8,123.2,14.3,13.2,15.5,85,8.5,7.7,9.4,39.4,2.1,1.8,2.4,22,2.7,2.2,3.2,17.4,1.7,1.3,2.1
"Liver / intrahepatic bile duct",159.6,8.2,7.6,8.8,118.6,13.2,12.1,14.3,41,3.9,3.3,4.5,100.8,5.2,4.8,5.7,66.4,7.7,6.9,8.6,34.4,3.2,2.7,3.7
"Pancreas",299.2,15.8,15,16.6,159.8,18.7,17.4,20.1,139.4,13.4,12.4,14.5,211.6,11.1,10.4,11.8,114,13.5,12.4,14.7,97.6,9.1,8.3,10
"Larynx",59,3,2.7,3.4,47.2,5.4,4.7,6.1,11.8,1.1,0.8,1.4,14.4,0.8,0.6,1,11.2,1.3,1,1.7,3.2,0.3,0.2,0.5
"Lung and bronchus",1260.2,66.3,64.6,68,571,68.5,65.9,71.1,689.2,65.4,63.2,67.6,646.6,33.9,32.8,35.1,311.8,38,36.1,39.9,334.8,31.2,29.7,32.8
