"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",460.8,453.9,434.9,473.7,237.4,466.2,439,494.7,223.4,451.6,424.1,480.4,164.6,161.5,150.4,173.3,87,177.9,161,196.2,77.6,147.9,133.2,164
"Oral cavity and pharynx",11.8,10.8,8.1,14.2,9,16.2,11.7,22.2,2.8,5.7,3,10,1.6,1.2,0.5,2.7,1.4,2.1,0.8,4.9,0.2,0.3,0,2.6
"Esophagus",5.2,4.9,3.1,7.3,3.8,7.5,4.4,12.1,1.4,2.6,1,5.8,5,5,3.2,7.6,4.2,8.6,5.2,13.5,0.8,1.6,0.4,4.6
"Stomach",5,5,3.2,7.6,3.2,6.4,3.5,10.8,1.8,3.8,1.7,7.7,1.4,1.4,0.6,3.1,1.2,2.7,0.9,6.2,0.2,0.5,0,2.9
"Colorectal",40.4,40.8,35.1,47.1,25,51,42.1,61.4,15.4,30.3,23.6,38.4,13.4,13.3,10.3,17.1,6.8,14.1,9.6,20.1,6.6,12.2,8.4,17.5
"Colon excluding rectum",28.2,27.5,23,32.6,17,33.4,26.5,41.7,11.2,21.5,16.1,28.4,10.4,10.4,7.7,13.8,5.4,11.2,7.3,16.6,5,9.2,5.9,14
"Rectum & rectosigmoid",12.2,13.3,10,17.4,8,17.6,12.3,24.5,4.2,8.7,5.2,13.8,3,3,1.6,5.1,1.4,2.9,1.1,6.4,1.6,3,1.3,6.3
"Liver / intrahepatic bile duct",11.4,9.8,7.4,12.9,9.6,16.8,12.3,22.7,1.8,2.9,1.3,6,6.2,5.4,3.6,7.8,4.8,8.4,5.3,12.9,1.4,2.4,1,5.5
"Pancreas",17.2,16.1,12.8,20.1,9.6,17.5,12.7,23.6,7.6,14.3,10,20.1,13.8,13.2,10.2,17,7.2,13.8,9.6,19.6,6.6,12.5,8.5,18.1
"Larynx",4.2,4,2.4,6.3,3,6.1,3.4,10.4,1.2,2.1,0.8,5,0.8,0.8,0.2,2.2,0.6,1.2,0.2,4,0.2,0.4,0,2.8
"Lung and bronchus",70.6,66.1,59.2,73.6,35.8,70,59.8,81.5,34.8,63,53.8,73.5,49.2,46.1,40.4,52.4,26.8,53.3,44.4,63.6,22.4,39.4,32.3,47.8
"Melanoma of the skin",17.2,17.7,14,22.2,11.4,22.2,16.6,29.3,5.8,13.6,8.8,20.1,2.2,2.1,1,4,1.4,2.9,1.1,6.4,0.8,1.4,0.4,4.2
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,57.8,115.6,102,130.7,NA,NA,NA,NA,NA,NA,NA,NA,11.8,24.3,18.4,31.8
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.2,9.4,5.6,15,NA,NA,NA,NA,NA,NA,NA,NA,2.4,5.5,2.7,10
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.6,39.2,31.4,48.5,NA,NA,NA,NA,NA,NA,NA,NA,2.6,5.2,2.8,9.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,10.9,6.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,3,5.5,3,9.5
"Prostate",NA,NA,NA,NA,44.6,79.8,69.4,91.5,NA,NA,NA,NA,NA,NA,NA,NA,6.8,15.6,10.6,22.1,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,1.8,4.6,2.1,9,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,0,2.6,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",26,25.6,21.4,30.6,21.2,45.5,37,55.5,4.8,9,5.7,13.7,3.6,3.6,2.1,5.8,3.4,7.6,4.3,12.4,0.2,0.4,0,2.6
"Kidney and renal pelvis",16.4,16.3,12.8,20.5,9.8,19.6,14.3,26.4,6.6,13.2,8.9,19,4.8,4.8,3,7.3,3.2,7,3.9,11.6,1.6,2.8,1.2,6
"Brain and other central nervous system",6.2,7,4.7,10.1,4.2,9.6,5.8,14.9,2,4.7,2.2,9,4.2,4.4,2.7,6.9,2.8,6.3,3.3,10.9,1.4,2.4,1,5.5
"Thyroid",14,16.5,12.7,21.1,3.2,7.5,4.2,12.6,10.8,26.2,19.3,34.6,0.2,0.1,0,1.2,0.2,0.3,0,2.4,0,0,0,2.1
"Hodgkin lymphoma",1.6,2.1,0.9,4.2,1.2,2.9,1,6.5,0.4,1.3,0.1,4.5,0,0,0,1,0,0,0,2,0,0,0,2.1
"Non-Hodgkin lymphomas",18.2,18.5,14.8,23,9.2,18.9,13.6,25.6,9,19.1,13.7,26.1,3.4,3.5,2,5.8,2.6,5.6,2.9,9.9,0.8,1.7,0.4,4.7
"Myeloma",9.2,8.8,6.4,11.9,5.6,10.4,6.8,15.4,3.6,7.1,4.1,11.5,1.6,1.8,0.8,3.6,0.8,2,0.5,5.4,0.8,1.8,0.5,4.8
"Leukemias",13,13.8,10.5,17.8,7.4,16.4,11.3,23,5.6,11.5,7.5,17.1,6.6,6.6,4.5,9.4,3.8,8.7,5.1,13.8,2.8,5,2.7,8.8
