,Year,County,Industry.sector,Chemical,Clean.air.act.chemical,Classification,Metal,Metal.category,Carcinogen,PFAS,Fugitive.air.emissions,Stack.air.emissions,Surface.water.discharges,Class.1.well.injections,Class.2.well.injections,RCRA.landfill,non-RCRA.landfill,Land.treatment.application.farming,RCRA.surface.impoundment,non-RCRA.surface.impoundment,non.landfill.land.treatment.surface.impoundment.disposal,Onsite.total.release,POTW.transfers.for.release.disposal.,POTW.transfers.for.treatment,POTW.total.transfers,transfer.for.storage.only,transfer.for.solidification,transfer.of.wastewater.treatment,transfer.of.m40.metal,transfer.of.m61.metal,transfer.for.underground.injection,transfer.for.class1.injection,transfer.for.class2.injection,transfer.for.landfills.surface.impoundments,transfer.for RCRA.subtitle3.surface.impoundments,transfer.of.other.surface.impoundments,transfer.to.other.landfills,transfer.to.RCRA.subtitle3.landfills,transfer.for.land.treatment,transfer.for.land.disposal,transfer.for.other.offsite.management,transfer.to.waste.broker,unknown.transfer,offsite.release.total,transfer.of.solvents/organics,transfer.for.metals.recovery,transfer.for.other.recovery/reuse,transfer.for.acid.regeneration,transfer.to.waste.broker,off.site.recycled.total,transfer.for.energy.recover,transfer.to.waste.broker/energy.recovery,offsite.energy.recovery.total,non-metal.solidification/stabilization,transfer.for.incineration/thermal.treatment,transfer.for.incineration/insignificant.fuel.value,transfer.of.m61.non.metal,transfer.for.other.waste.treatment,transfer.to.waste.broker/waste.treatment,offsite.treated.total,total.quantity.of.unclassified,total.offsite.transfer.quantity,on.site.and.off.site.total.releases,some.other.total.releases,onsite.contained.releases,onsite.other.releases,offsite.contained.releases,offsite.other.releases,energy.recovery.onsite,energy.recovery.offsite,recycling.onsite.,recycling.offsite,treatment.onsite,treatment.offsite,production.waste,one.time.release,production.ratio.or.activity.index,production.ratio
1,2014,MONTGOMERY,Computers and Electronic Products,Lead,YES,PBT,YES,1,YES,NO,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.14,NA,PRODUCTION,0.95
2,2014,CHAUTAUQUA,Fabricated Metals,Cobalt,YES,TRI,YES,1,YES,NO,0,6.14,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17853,0,0,840,18693,0,0,0,0,0,0,0,0,0,0,0,18693,6.14,0,0,6.14,0,0,0,0,0,18693,0,0,18699.14,NA,PRODUCTION,1.1
3,2014,MONROE,Computers and Electronic Products,Diisocyanates,YES,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA
4,2014,MONTGOMERY,Primary Metals,Diisocyanates,YES,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA
5,2014,ERIE,Chemicals,Bifenthrin,NO,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,PRODUCTION,1
6,2014,ERIE,Petroleum Bulk Terminals,Ethylene glycol,YES,TRI,NO,0,NO,NO,0.04,0.04,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61276,0,0,0,0,61276,0,0,0,0,0,0,0,0,0,0,0,61276,0.08,0,0,0.08,0,0,0,0,0,61276,0,0,61276.08,NA,PRODUCTION,0.8
7,2014,NIAGARA,Electric Utilities,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,TRI,NO,0,NO,NO,0,44265,0,0,0,0,0,0,0,0,0,44265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44265,0,0,44265,0,0,0,0,0,0,362964,0,407229,NA,ACTIVITY,1
8,2014,CATTARAUGUS,Machinery,Manganese,YES,TRI,YES,1,NO,NO,5,1.57,1.87,0,0,0,0,0,0,0,0,8.44,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,8.49,0,0,8.44,0.038,0.012,0,0,0,0,0,0,8.49,NA,PRODUCTION,1.1
9,2014,SARATOGA,Food,Nitric acid,NO,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37946,0,37946,NA,ACTIVITY,1.05
10,2014,SUFFOLK,Petroleum Bulk Terminals,Toluene,YES,TRI,NO,0,NO,NO,77,645,0,0,0,0,0,0,0.067,0,0,722.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.26,0,0,1436.26,0,0,0,0,0,0,0,0,0,0,0,1436.26,722.067,0,0,722.067,0,0,0,0,0,1436.26,12.1,0,2170.427,NA,PRODUCTION,0.98
11,2014,WASHINGTON,Paper,Zinc compounds,NO,TRI,YES,1,NO,NO,0,0,133,0,0,0,4986,0,0,0,0,5119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4306,0,0,0,0,0,0,4306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4306,9425,0,4986,133,4306,0,0,0,0,0,0,0,9425,NA,ACTIVITY,0.85
12,2014,SUFFOLK,Hazardous Waste,Polycyclic aromatic compounds,YES,PBT,NO,0,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6108.6,0,0,6108.6,0,0,0,0,0,0,0,0,0,0,0,6108.6,0,0,0,0,0,0,0,0,0,6109,0,0,6109,NA,ACTIVITY,1.98
13,2014,MONROE,Electric Utilities,Ethylene glycol,YES,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20500,0,20500,NA,PRODUCTION,3
14,2014,ONONDAGA,Chemicals,Sodium nitrite,NO,TRI,NO,2,NO,NO,0,11976.82,0,0,0,0,0,0,0,0,0,11976.82,74.32,0,74.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.32,12051.14,0,0,11976.82,1.4864,72.8336,0,0,0,0,0,0,12051.14,NA,PRODUCTION,0.84
15,2014,CAYUGA,Food,Nitric acid,NO,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,0,68000,NA,,NA
16,2014,SCHENECTADY,Miscellaneous Manufacturing,Manganese compounds,YES,TRI,YES,1,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA
17,2014,WARREN,Paper,Manganese compounds,YES,TRI,YES,1,NO,NO,0,439,38627,0,0,0,0,0,0,0,0,39066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964,0,0,0,0,0,0,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964,42030,0,0,39066,2964,0,0,0,0,0,0,0,42030,NA,PRODUCTION,0.87
18,2014,GENESEE,Paper,Zinc compounds,NO,TRI,YES,1,NO,NO,270,14,250,0,0,0,0,0,0,480,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,1014,0,0,0,0,0,0,0,0,1014,NA,PRODUCTION,0.98
19,2014,CHEMUNG,Fabricated Metals,Lead,YES,PBT,YES,1,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1.251,0,0,0,0,0,0,1.281,0,400,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,401.281,1.281,0,0,0,1.2699,0.0111,0,0,0,400,0,0,401.281,NA,PRODUCTION,1.05
