"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",455.8,429.2,411.1,447.9,222,451.2,424,479.7,233.8,416.8,392.3,442.6,151.4,141.6,131.4,152.5,72.4,153.9,138,171.3,79,135,121.5,149.6
"Oral cavity and pharynx",11,10,7.5,13.2,7.6,14.9,10.4,20.7,3.4,5.8,3.3,9.6,1.6,1.4,0.6,2.9,1.4,2.7,1,5.8,0.2,0.4,0,2.5
"Esophagus",7.6,6.7,4.7,9.3,5.6,11.1,7.2,16.3,2,3.3,1.6,6.4,4.8,4.2,2.6,6.3,3.4,6.8,3.9,11.2,1.4,2,0.8,4.6
"Stomach",5.2,5.7,3.7,8.5,3.4,8,4.6,12.9,1.8,3.7,1.6,7.1,2.2,2.4,1.1,4.3,1,2.5,0.8,5.8,1.2,2.1,0.7,4.8
"Colorectal",23,22.5,18.4,27.2,11.6,23.4,17.6,30.7,11.4,21.2,15.9,27.8,9.6,9.1,6.6,12.2,4.8,9.4,5.9,14.3,4.8,9.2,5.8,14
"Colon excluding rectum",17.4,17,13.5,21.1,8.2,16.9,12,23.2,9.2,16.9,12.2,22.9,8.4,7.9,5.6,10.8,3.8,7.2,4.2,11.5,4.6,8.7,5.4,13.4
"Rectum & rectosigmoid",5.6,5.5,3.5,8.1,3.4,6.5,3.7,10.8,2.2,4.3,2.1,8,1.2,1.2,0.4,2.7,1,2.2,0.7,5.4,0.2,0.5,0,2.6
"Liver / intrahepatic bile duct",5.6,5.1,3.3,7.5,3.8,7.5,4.4,12.1,1.8,3.1,1.4,6.1,6.2,5.3,3.5,7.6,4.2,8,4.8,12.5,2,3,1.4,5.9
"Pancreas",17,16,12.7,19.9,7.2,15,10.3,21,9.8,16.8,12.3,22.6,12.8,11.9,9.1,15.3,5.4,11.5,7.4,17,7.4,12,8.4,16.9
"Larynx",2,1.6,0.8,3.1,1.8,3,1.3,6.1,0.2,0.4,0,2.5,1.2,1.2,0.4,2.8,1.2,2.7,0.9,6.1,0,0,0,1.8
"Lung and bronchus",56.4,52.2,46.1,58.9,27.8,57.6,48.1,68.5,28.6,49,41.1,58.1,34,32,27.2,37.4,18.6,39.2,31.4,48.4,15.4,26.7,21,33.7
"Melanoma of the skin",23.6,21.6,17.8,26.1,13.6,27.2,21,34.9,10,17.2,12.5,23.1,2.2,1.8,0.9,3.4,1.4,2.9,1.1,6.2,0.8,1.4,0.3,3.9
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,73.2,136.2,122,151.6,NA,NA,NA,NA,NA,NA,NA,NA,12.2,21.4,16.2,27.9
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2,4.1,1.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.6,0.4,4.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15.8,25.8,20.2,32.6,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.2,1.4,6.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,7.4,13.5,9.3,19.1,NA,NA,NA,NA,NA,NA,NA,NA,4.2,6.5,4,10.3
"Prostate",NA,NA,NA,NA,54,100.1,88.1,113.4,NA,NA,NA,NA,NA,NA,NA,NA,7.4,16.8,11.8,23.4,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,3,7.2,3.9,12.1,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,0,2.6,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",22.2,21.6,17.6,26.1,16.4,36.7,28.9,45.8,5.8,10.4,6.8,15.3,4,3.9,2.4,6.2,2.6,6,3.2,10.5,1.4,2.4,0.9,5.3
"Kidney and renal pelvis",12.2,11.6,8.8,15.1,8.2,16.6,11.7,22.9,4,7.5,4.5,11.7,3.4,3.2,1.8,5.3,2.6,5.6,2.9,9.9,0.8,1.5,0.4,4
"Brain and other central nervous system",7.6,7.3,5.1,10.2,5,10.4,6.5,15.8,2.6,4.5,2.3,7.9,6.8,6.5,4.4,9.3,3.8,8,4.7,12.7,3,5.3,2.9,9.1
"Thyroid",10.8,10.7,7.9,14.1,3.4,6.4,3.6,10.7,7.4,14.6,10.1,20.5,0.6,0.6,0.1,1.8,0.2,0.6,0,3,0.4,0.5,0.1,2.4
"Hodgkin lymphoma",3.6,3.7,2.1,6,1.8,4,1.7,7.9,1.8,3.4,1.5,6.7,0.4,0.5,0.1,1.7,0,0,0,1.9,0.4,0.9,0.1,3.3
"Non-Hodgkin lymphomas",19.2,18.6,15,22.9,10.2,22.1,16.2,29.3,9,15.7,11.3,21.3,4,3.9,2.3,6.1,1.8,3.8,1.7,7.4,2.2,3.8,1.8,7
"Myeloma",9.4,8.4,6.1,11.3,5,10.1,6.4,15.1,4.4,7.1,4.4,11.1,3.6,3.1,1.8,5.1,2.4,4.9,2.4,8.8,1.2,1.8,0.6,4.2
"Leukemias",18,16.8,13.4,20.9,9.4,20.7,15,27.8,8.6,14.3,10.2,19.6,7.6,7.4,5.2,10.2,3.4,8,4.6,12.9,4.2,7.4,4.5,11.5
