"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",1152.8,464.7,452.3,477.4,587.4,499.8,481.3,519,565.4,443.4,426.3,461.1,394,155.3,148.3,162.5,201.6,177.1,166,188.7,192.4,138.9,130,148.4
"Oral cavity and pharynx",39.6,15.1,13,17.4,27.6,22,18.4,26.2,12,8.9,6.7,11.6,4.2,1.6,1,2.6,3.2,2.9,1.6,4.8,1,0.7,0.2,2
"Esophagus",15,5.6,4.4,7.1,11,8.8,6.6,11.7,4,2.6,1.6,4.3,12.2,4.8,3.6,6.2,8.6,7.4,5.3,10.1,3.6,2.3,1.4,3.9
"Stomach",16.8,6.8,5.4,8.5,10.8,9.2,6.9,12.2,6,4.8,3.2,7.1,5,1.9,1.2,2.9,3.2,2.8,1.6,4.8,1.8,1.2,0.5,2.4
"Colorectal",94,38.7,35.2,42.5,47.6,42.4,37,48.4,46.4,35.6,30.9,40.8,32.8,13.2,11.2,15.4,15.8,14.1,11.1,17.7,17,12.3,9.7,15.4
"Colon excluding rectum",65.6,27.1,24.2,30.4,31.8,29.1,24.6,34.2,33.8,25.6,21.7,30.1,25.4,10.2,8.5,12.2,12,10.6,8.1,13.9,13.4,9.7,7.5,12.5
"Rectum & rectosigmoid",28.4,11.6,9.7,13.7,15.8,13.3,10.5,16.8,12.6,10,7.5,13.1,7.4,3,2.1,4.2,3.8,3.5,2,5.5,3.6,2.6,1.5,4.3
"Liver / intrahepatic bile duct",28.4,10.5,8.8,12.5,22.8,17.6,14.4,21.4,5.6,4.2,2.7,6.3,18.6,7.1,5.7,8.8,13.8,11.2,8.6,14.4,4.8,3.5,2.2,5.4
"Pancreas",33.8,13.4,11.4,15.7,17.6,14.9,11.9,18.6,16.2,12,9.4,15.1,27.4,10.5,8.7,12.4,14.8,12.2,9.5,15.5,12.6,9,6.8,11.6
"Larynx",6.8,2.5,1.7,3.6,5.6,4.3,2.8,6.4,1.2,0.8,0.3,2,1.8,0.7,0.3,1.5,1.2,1,0.4,2.4,0.6,0.5,0.1,1.6
"Lung and bronchus",169.2,64.7,60.3,69.4,83.8,69.4,62.8,76.7,85.4,60.6,54.9,66.9,102,40,36.5,43.8,52.6,44.7,39.4,50.7,49.4,36,31.5,41
"Melanoma of the skin",38,16.4,14.1,19.1,20.4,19,15.3,23.3,17.6,15.2,12,19,5.8,2.5,1.6,3.6,2.8,2.4,1.3,4.2,3,2.5,1.3,4.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,152.4,121.6,112.6,131.1,NA,NA,NA,NA,NA,NA,NA,NA,26,18.6,15.4,22.3
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7,7,4.8,10,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.8,0.9,3.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,42.4,31.4,27.2,36.2,NA,NA,NA,NA,NA,NA,NA,NA,7.6,5.8,4,8.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,13.8,11.5,8.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,7.4,5.6,3.9,7.9
"Prostate",NA,NA,NA,NA,123.6,96.1,88.5,104.3,NA,NA,NA,NA,NA,NA,NA,NA,19.2,18.1,14.6,22.2,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,6.2,7.1,4.8,10.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.9,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",65.2,25.5,22.8,28.6,49.4,43.2,37.9,49.2,15.8,11.3,8.9,14.3,13.6,5.2,4,6.7,10,9.2,6.8,12.2,3.6,2.3,1.3,3.8
"Kidney and renal pelvis",34.8,14.3,12.2,16.7,22.2,18.4,15,22.3,12.6,10.6,8,13.9,8.2,3.3,2.4,4.6,4.6,4,2.5,6.2,3.6,2.7,1.5,4.5
"Brain and other central nervous system",17,7.8,6.2,9.8,10,9.4,6.9,12.6,7,6.2,4.2,8.9,8.8,3.7,2.6,5,4,3.7,2.2,5.9,4.8,3.6,2.2,5.5
"Thyroid",32.4,16.2,13.6,19,8.8,8,5.7,10.9,23.6,24.6,20.1,29.8,1.6,0.6,0.3,1.3,0.8,0.7,0.2,2,0.8,0.5,0.1,1.7
"Hodgkin lymphoma",6.8,3.5,2.4,4.9,3.6,3.7,2.1,5.9,3.2,3.3,1.8,5.5,1,0.4,0.1,1,1,0.8,0.2,2.1,0,0,0,0.9
"Non-Hodgkin lymphomas",52.2,21.7,19.1,24.7,30.6,27.4,23.1,32.4,21.6,17.5,14.2,21.5,13.6,5.2,4,6.7,8.8,7.9,5.7,10.7,4.8,3.3,2,5.1
"Myeloma",18.2,7.3,5.8,9.1,12.4,10.8,8.2,14.1,5.8,4.5,2.9,6.6,7.4,2.7,1.9,3.9,3.8,3.3,2,5.3,3.6,2.4,1.4,4
"Leukemias",40,16.3,14,18.9,23.6,20.8,17.1,25.1,16.4,12.5,9.7,15.8,17,6.9,5.5,8.7,10,9.4,6.9,12.6,7,5.1,3.5,7.4
