"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",634.8,518.3,499.7,537.5,326,554.8,527.1,583.6,308.8,490,464.8,516.4,212,170.1,159.8,181,104.8,184.8,168.9,202,107.2,160.7,147,175.5
"Oral cavity and pharynx",14.2,11.1,8.6,14.2,11,17.9,13.4,23.7,3.2,4.9,2.8,8.3,2,1.4,0.7,2.8,1.4,2.1,0.8,4.7,0.6,0.9,0.2,3.1
"Esophagus",7.4,5.4,3.8,7.6,6,9.4,6.2,13.7,1.4,1.8,0.7,4.1,7.8,5.7,4,8,6.2,9.6,6.5,14,1.6,2.2,0.9,4.7
"Stomach",6.4,4.9,3.3,7.1,4,6.6,3.9,10.5,2.4,3.3,1.7,6.2,3.8,3,1.8,4.8,2.4,4.4,2.2,7.9,1.4,1.8,0.7,4.1
"Colorectal",50.8,42,36.8,47.8,28,48.6,40.6,57.9,22.8,36.6,29.9,44.4,15.6,12.7,10,16.1,8.8,15.2,10.9,20.8,6.8,10.4,7.1,14.9
"Colon excluding rectum",35.8,29.9,25.6,34.9,19.4,35.1,28.2,43.3,16.4,25.6,20.2,32.1,11.4,9.5,7.1,12.5,5.6,9.7,6.3,14.5,5.8,9,5.9,13.3
"Rectum & rectosigmoid",15,12.1,9.4,15.4,8.6,13.5,9.7,18.6,6.4,11,7.3,16,4.2,3.2,2,5,3.2,5.5,3.1,9.2,1,1.4,0.4,3.6
"Liver / intrahepatic bile duct",8.4,6.1,4.4,8.4,5.4,8.2,5.3,12.3,3,4.3,2.4,7.4,4.6,3.2,2,5,2.6,3.7,1.9,6.7,2,2.8,1.3,5.5
"Pancreas",14.8,11.9,9.3,15.1,6.2,10.7,7.1,15.5,8.6,13.1,9.4,17.9,12.6,10.1,7.7,13.1,5.6,9.6,6.3,14.2,7,10.5,7.2,14.9
"Larynx",4,3.1,1.8,4.9,3,4.8,2.6,8.4,1,1.4,0.4,3.7,1.6,1.2,0.5,2.6,1.2,2,0.7,4.7,0.4,0.5,0.1,2.4
"Lung and bronchus",93.8,74.8,68,82.2,49.4,83.7,73.3,95.3,44.4,67.4,58.6,77.3,61,48.9,43.5,54.9,32,54.5,46.1,64,29,44.3,37.3,52.4
"Melanoma of the skin",29.2,26.1,21.8,30.9,15.8,28.9,22.6,36.4,13.4,24.1,18.4,31.1,4,3.1,1.8,4.9,2.4,4.3,2.2,7.8,1.6,2.2,0.9,4.8
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,89.2,144.9,131.1,159.8,NA,NA,NA,NA,NA,NA,NA,NA,13.2,19.7,15.1,25.4
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,5.2,12.1,7.7,18,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.9,1.7,7.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,23.4,33.9,27.9,41,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4.8,2.8,8
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,9.2,14.3,10.3,19.5,NA,NA,NA,NA,NA,NA,NA,NA,6.8,9.7,6.6,13.8
"Prostate",NA,NA,NA,NA,82.4,127.4,115.1,140.8,NA,NA,NA,NA,NA,NA,NA,NA,8.6,16.4,11.8,22.3,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,4.2,10.3,6.3,15.9,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.7,0,3.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",32.6,26.2,22.3,30.7,26,45.7,37.9,54.6,6.6,9.8,6.7,14,8.2,6.5,4.7,8.9,5.4,10.5,6.9,15.5,2.8,3.8,2,6.7
"Kidney and renal pelvis",30,25.1,21.1,29.7,18.8,33.3,26.6,41.3,11.2,17.5,13,23.1,4.6,3.7,2.3,5.7,3,5.3,2.9,9,1.6,2.6,1.1,5.4
"Brain and other central nervous system",9.2,7.9,5.7,10.7,5.8,10.2,6.6,15,3.4,5.5,3.2,9.1,8,7.2,5,10,4.6,8.2,5,12.8,3.4,6.2,3.5,10.3
"Thyroid",11.2,10.8,8,14.2,4.4,8.9,5.4,13.8,6.8,12.8,8.6,18.3,0.6,0.6,0.1,1.7,0.6,1.2,0.3,3.7,0,0,0,1.7
"Hodgkin lymphoma",2.2,2.4,1.2,4.4,1.8,4,1.7,7.7,0.4,0.8,0.1,3.1,0.4,0.4,0,1.5,0.2,0.3,0,2.3,0.2,0.4,0,2.3
"Non-Hodgkin lymphomas",30.2,25.7,21.6,30.4,15,26.6,20.7,33.7,15.2,24.7,19.2,31.5,6.6,5.2,3.6,7.5,2.4,4.2,2.1,7.7,4.2,5.7,3.5,9.1
"Myeloma",9.6,7.4,5.4,10,5.6,9.3,6,13.7,4,5.6,3.4,8.9,4.2,3.7,2.2,5.7,2.4,4.6,2.3,8.2,1.8,2.9,1.3,5.8
"Leukemias",18.8,15.6,12.5,19.3,11.2,20.2,15.1,26.6,7.6,11.2,7.8,15.7,7.8,6.7,4.7,9.3,3.6,6.9,4.1,11.1,4.2,6.6,4,10.5
