"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"All Invasive Malignant Tumors",5780.6,475.7,470.1,481.3,2830.6,519.7,511,528.5,2950,449.1,441.6,456.7,1438.6,111.8,109.1,114.5,686.6,127.4,123.1,131.8,752,102.1,98.7,105.5
"Oral cavity and pharynx",113.2,9.2,8.4,10,78,13.9,12.6,15.4,35.2,5.3,4.5,6.2,17.6,1.3,1.1,1.7,11.6,2.1,1.6,2.7,6,0.8,0.5,1.2
"Esophagus",45.2,3.6,3.1,4.1,31.2,5.7,4.8,6.7,14,1.9,1.5,2.5,32.6,2.6,2.2,3,22.2,4.2,3.4,5,10.4,1.4,1,1.8
"Stomach",104.4,8.6,7.8,9.3,60.2,11.4,10.1,12.8,44.2,6.5,5.6,7.4,38.4,3,2.6,3.5,21.6,4,3.2,4.8,16.8,2.4,1.9,3
"Colorectal",431,35.1,33.6,36.7,217.6,40.6,38.2,43.2,213.4,30.9,29,32.9,126.2,9.8,9,10.6,61.2,11.3,10.1,12.7,65,8.7,7.7,9.7
"Colon excluding rectum",302.8,24.6,23.4,25.9,147.6,27.8,25.8,30,155.2,22.2,20.6,23.9,98.6,7.6,6.9,8.3,48.6,9,7.8,10.2,50,6.6,5.8,7.5
"Rectum & rectosigmoid",128.2,10.5,9.7,11.4,70,12.8,11.5,14.2,58.2,8.8,7.8,9.9,27.6,2.2,1.8,2.6,12.6,2.4,1.8,3,15,2.1,1.6,2.6
"Liver / intrahepatic bile duct",95.6,7.5,6.9,8.3,66.8,11.6,10.4,13,28.8,4.2,3.5,5,56.4,4.4,3.9,5,37.4,6.6,5.7,7.6,19,2.7,2.2,3.3
"Pancreas",183.4,14.5,13.6,15.5,91.2,16.9,15.3,18.5,92.2,12.7,11.5,13.9,118.2,9.1,8.4,9.9,56.8,10.4,9.2,11.7,61.4,8.1,7.2,9.1
"Larynx",31.2,2.5,2.1,2.9,25.4,4.6,3.8,5.5,5.8,0.9,0.6,1.3,8,0.6,0.4,0.9,7,1.3,0.9,1.8,1,0.2,0,0.4
"Lung and bronchus",594.6,47.1,45.4,48.9,266.2,49.3,46.7,52.1,328.4,46,43.7,48.3,308,24,22.8,25.2,144,26.8,24.8,28.9,164,21.8,20.3,23.4
"Melanoma of the skin",227.4,18.6,17.5,19.7,132.6,24.7,22.9,26.7,94.8,14.1,12.8,15.5,20.6,1.6,1.3,1.9,12.4,2.2,1.7,2.9,8.2,1,0.7,1.4
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,912.2,144.5,140.2,148.9,NA,NA,NA,NA,NA,NA,NA,NA,112.4,16.3,14.9,17.7
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,35.2,6.3,5.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,7.8,1.2,0.8,1.7
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,191.8,28.4,26.6,30.3,NA,NA,NA,NA,NA,NA,NA,NA,39.4,5.4,4.7,6.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,79.4,12.4,11.2,13.8,NA,NA,NA,NA,NA,NA,NA,NA,40.6,5.7,4.9,6.6
"Prostate",NA,NA,NA,NA,776.2,135.3,131,139.8,NA,NA,NA,NA,NA,NA,NA,NA,81.4,15.4,13.9,16.9,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,26,5.9,5,7.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",276.4,21.9,20.7,23.1,201.6,37.5,35.2,39.9,74.8,10.5,9.4,11.6,40.6,3,2.6,3.5,28.8,5.4,4.6,6.4,11.8,1.5,1.1,1.9
"Kidney and renal pelvis",188.2,15.6,14.6,16.6,124.2,22.6,20.8,24.5,64,9.8,8.7,11,23,1.8,1.5,2.2,16,3,2.3,3.7,7,1,0.7,1.4
"Brain and other central nervous system",72.2,6.5,5.8,7.2,37.4,7.4,6.3,8.5,34.8,5.7,4.9,6.7,37.8,3.2,2.7,3.7,20.2,3.8,3.1,4.7,17.6,2.6,2.1,3.3
"Thyroid",212.6,20.3,19.1,21.7,60.8,11.9,10.6,13.4,151.8,28.4,26.3,30.5,5.8,0.4,0.3,0.6,3.4,0.6,0.4,1,2.4,0.3,0.1,0.5
"Hodgkin lymphoma",31.8,3.2,2.7,3.7,17,3.5,2.8,4.3,14.8,2.9,2.2,3.6,2.8,0.2,0.1,0.4,1,0.2,0.1,0.4,1.8,0.2,0.1,0.5
"Non-Hodgkin lymphomas",289.4,23.9,22.7,25.2,155.8,29.4,27.3,31.6,133.6,19.7,18.2,21.3,51.6,4,3.5,4.5,24.2,4.5,3.7,5.4,27.4,3.7,3,4.4
"Myeloma",112,9.1,8.4,9.9,63,11.7,10.4,13.1,49,7.1,6.2,8,34.8,2.7,2.3,3.2,16,3,2.4,3.8,18.8,2.5,2,3
"Leukemias",223.4,18.7,17.6,19.9,132.4,25.1,23.2,27.2,91,13.7,12.4,15.1,62.6,4.8,4.2,5.3,34,6.3,5.4,7.4,28.6,3.7,3.1,4.4
